Study week,OR per sec of delay,95% CI,p
1,1.05,"[1.04, 1.05]",< .001
2,1.08,"[1.08, 1.09]",< .001
3,1.12,"[1.12, 1.13]",< .001
4,1.16,"[1.15, 1.17]",< .001
5,1.2,"[1.19, 1.21]",< .001
6,1.24,"[1.23, 1.26]",< .001
