Delay (s),Study week,Pr(dismiss),95% CI
3,1,0.266,"[0.257, 0.275]"
6,1,0.294,"[0.285, 0.303]"
10,1,0.333,"[0.323, 0.344]"
3,3,0.153,"[0.147, 0.16]"
6,3,0.204,"[0.196, 0.211]"
10,3,0.288,"[0.279, 0.297]"
3,6,0.0603,"[0.0554, 0.0656]"
6,6,0.11,"[0.104, 0.116]"
10,6,0.228,"[0.22, 0.236]"
