Delay (s),Study week,Mean attempts,95% CI
3,1,46.8,"[42.7, 51.3]"
6,1,43.3,"[39.6, 47.2]"
10,1,39,"[35.4, 43]"
3,3,30.8,"[27.5, 34.5]"
6,3,30.9,"[28.1, 34]"
10,3,31,"[28.4, 34]"
3,6,16.4,"[13.3, 20.3]"
6,6,18.6,"[16.1, 21.5]"
10,6,22,"[20, 24.3]"
