Study week,RR per sec of delay,95% CI,p
1,0.974,"[0.964, 0.985]",< .001
2,0.988,"[0.978, 0.997]",0.01
3,1,"[0.989, 1.01]",0.843
4,1.01,"[0.998, 1.03]",0.075
5,1.03,"[1.01, 1.05]",0.01
6,1.04,"[1.02, 1.07]",0.002
