Condition,Dismissal rate (%),SE,95% CI
ABC,26.1,1.19,"[23.9, 28.6]"
ACC,26,1.2,"[23.8, 28.5]"
BCC,23.8,1.17,"[21.6, 26.2]"
CCC,23.7,1.08,"[21.7, 25.9]"
