Condition,Mean attempts,SE,95% CI
ABC,73.858,4.722,"[65.2, 83.7]"
ACC,60.111,3.774,"[53.2, 68]"
BCC,73.791,5.006,"[64.6, 84.3]"
CCC,72.431,4.565,"[64, 82]"
