contrast,ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value,p
CCC / ABC,0.981,0.088,Inf,0.822,1.169,1,-0.217,0.828,0.828
CCC / ACC,1.205,0.107,Inf,1.012,1.434,1,2.095,0.036,0.036
CCC / BCC,0.982,0.091,Inf,0.819,1.177,1,-0.201,0.841,0.841
ABC / ACC,1.229,0.11,Inf,1.031,1.465,1,2.298,0.022,0.022
ABC / BCC,1.001,0.093,Inf,0.834,1.202,1,0.01,0.992,0.992
ACC / BCC,0.815,0.075,Inf,0.68,0.976,1,-2.218,0.027,0.027
