contrast,ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value,p
CCC / ABC,0.906,0.059,Inf,0.798,1.029,1,-1.525,0.127,0.127
CCC / ACC,0.91,0.059,Inf,0.801,1.033,1,-1.454,0.146,0.146
CCC / BCC,0.997,0.067,Inf,0.874,1.136,1,-0.05,0.96,0.96
ABC / ACC,1.004,0.065,Inf,0.885,1.139,1,0.065,0.948,0.948
ABC / BCC,1.1,0.073,Inf,0.965,1.254,1,1.429,0.153,0.153
ACC / BCC,1.095,0.074,Inf,0.96,1.25,1,1.357,0.175,0.175
