Predictor,OR,95% CI,p
(Intercept),0.494,"[0.465, 0.524]",< .001
delay_secs,1.012,"[1.006, 1.018]",< .001
study_week,0.638,"[0.623, 0.653]",< .001
delay_secs:study_week,1.035,"[1.032, 1.037]",< .001
