purpose,timestamp,resolution,isReIntervention,interventionDuration,timezone,app,interventionType
,1751961210.2569818,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1751961443.927589,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1751971345.607561,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1751990801.9418159,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1752000597.062382,openedApp,False,6.0,Europe/Berlin,youtube,breathingExercise
,1752000881.656153,dismissedAppOpening,False,6.0,Europe/Berlin,youtube,breathingExercise
Entertainment,1752000912.4882278,openedApp,False,6.0,Europe/Berlin,youtube,breathingExercise
Entertainment,1752003300.277333,openedApp,False,6.0,Europe/Berlin,youtube,breathingExercise
Entertainment,1752004188.665195,openedApp,False,6.0,Europe/Berlin,youtube,breathingExercise
,1752005906.110616,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752006036.277674,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752006047.126519,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Message,1752006066.4087749,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752006329.7568212,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Message,1752010923.8088279,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752042738.1801481,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752042743.094878,dismissedAppOpening,False,6.0,Europe/Berlin,youtube,breathingExercise
,1752090849.558598,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
Escape / Avoid,1752091223.170166,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Escape / Avoid,1752091378.475462,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Escape / Avoid,1752092453.296447,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1752093405.3375149,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1752093601.490108,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1752093768.244708,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Message,1752095532.151923,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1752096096.499092,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Message,1752096250.042098,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
Entertainment,1752133022.214474,openedApp,False,6.0,Europe/Berlin,linkedin,breathingExercise
,1752133330.553817,dismissedAppOpening,False,6.0,Europe/Berlin,linkedin,breathingExercise
