app,resolution,interventionDuration,isReIntervention,timezone,timestamp,interventionType
youtube,openedApp,1.5,False,Europe/Berlin,1751954306.249927,breathingExercise
instagram,closedApp,,False,Europe/Berlin,1751954574.0116758,
instagram,openedApp,1.5,False,Europe/Berlin,1751954594.823185,breathingExercise
youtube,closedApp,,False,Europe/Berlin,1751957443.739887,
youtube,closedApp,,False,Europe/Berlin,1751958082.93933,
youtube,closedApp,,False,Europe/Berlin,1751958389.534802,
bild,closedApp,,False,Europe/Berlin,1751958498.416656,
bild,closedApp,,False,Europe/Berlin,1751960473.908262,
bild,closedApp,,False,Europe/Berlin,1751960492.627986,
bild,closedApp,,False,Europe/Berlin,1751960534.697927,
kicker,closedApp,,False,Europe/Berlin,1751965068.5901608,
kicker,closedApp,,False,Europe/Berlin,1751965101.738132,
kicker,closedApp,,False,Europe/Berlin,1751965107.8078709,
kicker,closedApp,,False,Europe/Berlin,1751965116.0980392,
kicker,closedApp,,False,Europe/Berlin,1751965127.581565,
kicker,closedApp,,False,Europe/Berlin,1751965146.12762,
instagram,openedApp,1.5,False,Europe/Berlin,1751965158.813906,breathingExercise
instagram,closedApp,,False,Europe/Berlin,1751965792.930372,
youtube,closedApp,,False,Europe/Berlin,1751968335.603204,
instagram,openedApp,1.5,False,Europe/Berlin,1751974761.053399,breathingExercise
instagram,closedApp,,False,Europe/Berlin,1751974996.647612,
youtube,closedApp,,False,Europe/Berlin,1751976622.362072,
youtube,closedApp,,False,Europe/Berlin,1751976653.525278,
youtube,closedApp,,False,Europe/Berlin,1751977723.3194818,
youtube,closedApp,,False,Europe/Berlin,1751978106.424324,
youtube,closedApp,,False,Europe/Berlin,1751979075.42733,
kicker,closedApp,,False,Europe/Berlin,1751977960.3534498,
instagram,openedApp,1.5,False,Europe/Berlin,1751979199.8963242,breathingExercise
instagram,closedApp,,False,Europe/Berlin,1751979347.1724539,
bild,closedApp,,False,Europe/Berlin,1751980391.636191,
bild,closedApp,,False,Europe/Berlin,1751980433.064218,
instagram,openedApp,1.5,False,Europe/Berlin,1751981362.734015,breathingExercise
instagram,closedApp,,False,Europe/Berlin,1751981945.0842419,
instagram,openedApp,1.5,False,Europe/Berlin,1751982342.045296,breathingExercise
instagram,closedApp,,False,Europe/Berlin,1751982560.5623899,
youtube,closedApp,,False,Europe/Berlin,1751983952.887909,
bild,closedApp,,False,Europe/Berlin,1751986514.997205,
bild,closedApp,,False,Europe/Berlin,1751986550.043601,
bild,closedApp,,False,Europe/Berlin,1751986551.920833,
bild,closedApp,,False,Europe/Berlin,1751986560.081465,
bild,closedApp,,False,Europe/Berlin,1751986572.079164,
bild,closedApp,,False,Europe/Berlin,1751986592.6029859,
kicker,closedApp,,False,Europe/Berlin,1751987381.979861,
kicker,closedApp,,False,Europe/Berlin,1751987393.832962,
instagram,openedApp,1.5,False,Europe/Berlin,1751990845.0707211,breathingExercise
instagram,closedApp,,False,Europe/Berlin,1751990896.532536,
bild,closedApp,,False,Europe/Berlin,1751996230.290019,
bild,closedApp,,False,Europe/Berlin,1751996231.718051,
bild,closedApp,,False,Europe/Berlin,1751996336.566986,
kicker,closedApp,,False,Europe/Berlin,1751995991.8664842,
kicker,closedApp,,False,Europe/Berlin,1751996023.970942,
kicker,closedApp,,False,Europe/Berlin,1751996036.102089,
kicker,closedApp,,False,Europe/Berlin,1751996042.262687,
kicker,closedApp,,False,Europe/Berlin,1751996052.1888928,
kicker,closedApp,,False,Europe/Berlin,1751996080.2744951,
kicker,closedApp,,False,Europe/Berlin,1751996112.642844,
kicker,closedApp,,False,Europe/Berlin,1751996120.611227,
kicker,closedApp,,False,Europe/Berlin,1751996159.808748,
kicker,closedApp,,False,Europe/Berlin,1751996174.809001,
kicker,closedApp,,False,Europe/Berlin,1751996188.462754,
kicker,closedApp,,False,Europe/Berlin,1751996193.48877,
kicker,closedApp,,False,Europe/Berlin,1751997384.547639,
kicker,closedApp,,False,Europe/Berlin,1751997386.524582,
kicker,closedApp,,False,Europe/Berlin,1751997389.869828,
kicker,closedApp,,False,Europe/Berlin,1752002349.6454139,
instagram,openedApp,1.5,False,Europe/Berlin,1752002359.146589,breathingExercise
instagram,closedApp,,False,Europe/Berlin,1752002408.308289,
youtube,closedApp,,False,Europe/Berlin,1752037330.976035,
instagram,openedApp,1.5,False,Europe/Berlin,1752037344.039441,breathingExercise
instagram,closedApp,,False,Europe/Berlin,1752037689.1933289,
bild,closedApp,,False,Europe/Berlin,1752037749.697772,
bild,closedApp,,False,Europe/Berlin,1752037816.6857738,
bild,closedApp,,False,Europe/Berlin,1752037869.765568,
kicker,closedApp,,False,Europe/Berlin,1752037881.859838,
kicker,closedApp,,False,Europe/Berlin,1752037913.741951,
kicker,closedApp,,False,Europe/Berlin,1752037957.7044492,
instagram,dismissedAppOpening,1.5,False,Europe/Berlin,1752037962.4870958,breathingExercise
youtube,closedApp,,False,Europe/Berlin,1752042990.645393,
instagram,openedApp,1.5,False,Europe/Berlin,1752049433.911055,breathingExercise
instagram,closedApp,,False,Europe/Berlin,1752049809.514237,
bild,closedApp,,False,Europe/Berlin,1752052112.818272,
bild,closedApp,,False,Europe/Berlin,1752052122.931051,
bild,closedApp,,False,Europe/Berlin,1752052150.26968,
bild,closedApp,,False,Europe/Berlin,1752052165.266931,
tagesschau,closedApp,,False,Europe/Berlin,1752052176.08821,
zeitOnline,closedApp,,False,Europe/Berlin,1752052181.694073,
zeitOnline,closedApp,,False,Europe/Berlin,1752052201.465945,
instagram,openedApp,1.5,False,Europe/Berlin,1752052392.4882941,breathingExercise
instagram,closedApp,,False,Europe/Berlin,1752052782.009213,
instagram,closedApp,,False,Europe/Berlin,1752052793.2253451,
instagram,closedApp,,False,Europe/Berlin,1752053291.034793,
instagram,openedApp,1.5,False,Europe/Berlin,1752058157.580042,breathingExercise
instagram,closedApp,,False,Europe/Berlin,1752058302.935214,
