timestamp,interventionType,app,interventionDuration,timezone,isReIntervention,resolution,purpose
1748966727.951822,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
1748968279.1155062,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
1748970375.6740642,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
1748971841.0324159,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
1748973336.616883,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Post something
1748973435.8271508,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Post something
1748978354.750939,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stay In the Loop
1749003030.672145,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stay In the Loop
1749003507.248352,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
1749004900.339695,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
1749010012.4447,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
1749012129.46908,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stay In the Loop
1749012645.140922,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
1749013658.279885,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Search Info
1749025236.208081,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Message
1749025639.4854832,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
1749028104.133172,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Bored
1749028344.168684,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
1749031199.497665,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Post something
1749031402.5826988,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Post something
1749032770.563196,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Search Info
1749034650.302538,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
1749037825.1100988,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stay In the Loop
1749039792.372785,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Message
1749040624.112853,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
1749051673.9905381,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stay In the Loop
1749058293.6323152,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stalk crush
1749063300.384135,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stay In the Loop
1749064046.628958,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
1749090263.946862,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stay In the Loop
1749101698.81738,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stay In the Loop
1749101882.12709,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
1749103121.382127,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Search Info
1749103329.9555979,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
1749107723.389096,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Search Info
1749107797.918314,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
1749107948.501473,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Search Info
1749108179.192964,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
1749108182.137723,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
1749108498.256446,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stay In the Loop
1749109649.367336,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Search Info
1749110788.18952,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Entertainment
1749117116.141664,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
1749121840.0270162,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
1749121907.325912,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Can’t sleep
1749122217.224567,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stay In the Loop
1749122770.240407,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Escape / Avoid
1749123267.788752,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
1749133035.9750519,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stay In the Loop
1749134070.559188,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
1749139051.652789,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stay In the Loop
1749140918.894661,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Toilet
1749143550.122273,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
1749143809.313345,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stay In the Loop
1749144821.32248,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
1749145518.647766,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stay In the Loop
1749146856.7801461,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stay In the Loop
1749147326.041033,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stay In the Loop
1749148444.2410522,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stay In the Loop
1749150704.5397382,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stay In the Loop
1749150747.6240091,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stay In the Loop
1749154512.731282,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Entertainment
1749182446.547631,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stay In the Loop
1749190390.0067759,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stay In the Loop
1749195553.2088041,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Bored
1749196200.925984,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Entertainment
1749199693.9464478,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stay In the Loop
1749201101.935514,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stay In the Loop
1749210588.56984,breathingExercise,instagram,1.5,Asia/Kolkata,False,openedApp,Stay In the Loop
1749210873.970776,breathingExercise,instagram,1.5,Asia/Kolkata,False,dismissedAppOpening,
