timestamp,purpose,interventionDuration,timezone,resolution,app,isReIntervention,interventionType
1753566899.909459,Message,1.5,Europe/Dublin,openedApp,instagram,False,breathingExercise
1753600907.384066,Message,1.5,Europe/Dublin,openedApp,instagram,False,breathingExercise
1753601421.721682,Message,1.5,Europe/Dublin,openedApp,instagram,False,breathingExercise
1753609970.478797,Message,1.5,Europe/Dublin,openedApp,instagram,False,breathingExercise
1753614567.205974,Message,1.5,Europe/Dublin,openedApp,instagram,False,breathingExercise
1753615574.822021,Message,1.5,Europe/Dublin,openedApp,instagram,False,breathingExercise
1753615884.129951,Message,1.5,Europe/Dublin,openedApp,instagram,False,breathingExercise
1753616231.720613,Message,1.5,Europe/Dublin,openedApp,instagram,False,breathingExercise
1753616485.155016,Message,1.5,Europe/Dublin,openedApp,instagram,False,breathingExercise
1753616722.837644,Message,1.5,Europe/Dublin,openedApp,instagram,False,breathingExercise
1753618247.0945191,,1.5,Europe/Dublin,dismissedAppOpening,instagram,False,breathingExercise
1753619515.742145,Entertainment,1.5,Europe/Dublin,openedApp,instagram,False,breathingExercise
1753620050.577444,Entertainment,1.5,Europe/Dublin,openedApp,instagram,False,breathingExercise
1753622647.20241,Message,1.5,Europe/Dublin,openedApp,instagram,False,breathingExercise
1753623525.8351278,Message,1.5,Europe/Dublin,openedApp,instagram,False,breathingExercise
1753624546.338584,,1.5,Europe/Dublin,dismissedAppOpening,instagram,False,breathingExercise
1753624582.34094,Message,1.5,Europe/Dublin,openedApp,instagram,False,breathingExercise
1753629590.107737,Message,1.5,Europe/Dublin,openedApp,instagram,False,breathingExercise
1753631136.232619,Message,1.5,Europe/Dublin,openedApp,instagram,False,breathingExercise
1753631810.859034,,1.5,Europe/Dublin,dismissedAppOpening,tikTok,False,breathingExercise
1753633792.998065,Message,1.5,Europe/Dublin,openedApp,instagram,False,breathingExercise
1753643025.1693501,Message,1.5,Europe/Dublin,openedApp,instagram,False,breathingExercise
