timezone,interventionType,app,interventionDuration,isReIntervention,resolution,timestamp,purpose
America/Toronto,breathingExercise,instagram,1.5,False,dismissedAppOpening,1749392653.455103,
America/Toronto,breathingExercise,tikTok,1.5,False,dismissedAppOpening,1749392693.681958,
America/Toronto,breathingExercise,tikTok,1.5,False,dismissedAppOpening,1749392880.175638,
America/Toronto,breathingExercise,tikTok,1.5,False,dismissedAppOpening,1749392885.3564491,
America/Toronto,breathingExercise,tikTok,1.5,False,dismissedAppOpening,1749392895.7342691,
America/Toronto,breathingExercise,instagram,1.5,False,dismissedAppOpening,1749393488.633115,
America/Toronto,breathingExercise,instagram,1.5,False,dismissedAppOpening,1749393506.146048,
America/Toronto,breathingExercise,instagram,1.5,False,dismissedAppOpening,1749393647.8403358,
America/Toronto,breathingExercise,instagram,1.5,False,dismissedAppOpening,1749394838.92668,
America/Toronto,breathingExercise,instagram,1.5,False,dismissedAppOpening,1749394920.21837,
America/Toronto,breathingExercise,tikTok,1.5,False,dismissedAppOpening,1749394927.475657,
America/Toronto,breathingExercise,tikTok,1.5,False,dismissedAppOpening,1749394971.849409,
America/Toronto,breathingExercise,instagram,1.5,False,dismissedAppOpening,1749395058.921472,
America/Toronto,breathingExercise,instagram,1.5,False,dismissedAppOpening,1749395078.0616841,
America/Toronto,breathingExercise,tikTok,1.5,False,dismissedAppOpening,1749395085.775342,
America/Toronto,breathingExercise,instagram,1.5,False,dismissedAppOpening,1749395091.95457,
America/Toronto,breathingExercise,instagram,1.5,False,dismissedAppOpening,1749395725.4565802,
America/Toronto,breathingExercise,instagram,1.5,False,dismissedAppOpening,1749397490.735379,
America/Toronto,breathingExercise,instagram,1.5,False,dismissedAppOpening,1749397786.1481729,
America/Toronto,breathingExercise,instagram,1.5,False,dismissedAppOpening,1749397789.3006139,
America/Toronto,breathingExercise,instagram,1.5,False,dismissedAppOpening,1749397796.901891,
America/Toronto,breathingExercise,instagram,1.5,False,dismissedAppOpening,1749398143.783133,
America/Toronto,breathingExercise,tikTok,1.5,False,dismissedAppOpening,1749398198.544596,
America/Toronto,breathingExercise,tikTok,1.5,False,dismissedAppOpening,1749398203.015479,
America/Toronto,breathingExercise,tikTok,1.5,False,dismissedAppOpening,1749398211.1572719,
America/Toronto,breathingExercise,instagram,1.5,False,dismissedAppOpening,1749398239.584165,
America/Toronto,breathingExercise,instagram,1.5,False,dismissedAppOpening,1749398625.2424731,
