timeIntervalUntilReIntervention,interventionType,app,isReIntervention,timezone,interventionDuration,timestamp,resolution,purpose
300.0,askForTimeLimit,facebook,False,America/Toronto,1.5,1749190803.860395,openedApp,
,,facebook,False,America/Toronto,,1749191969.011364,closedApp,
,askForTimeLimit,facebook,False,America/Toronto,1.5,1749192019.208209,dismissedAppOpening,
,askForTimeLimit,facebook,False,America/Toronto,1.5,1749192208.494196,dismissedAppOpening,
,askForTimeLimit,facebook,False,America/Toronto,1.5,1749192215.504974,dismissedAppOpening,
60.0,askForTimeLimit,facebook,False,America/Toronto,1.5,1749192332.51399,openedApp,
,,facebook,False,America/Toronto,,1749192412.935411,closedApp,
,breathingExercise,facebook,True,America/Toronto,1.5,1749192420.466288,dismissedAppOpening,
60.0,askForTimeLimit,facebook,False,America/Toronto,1.5,1749204921.545721,openedApp,
,,facebook,False,America/Toronto,,1749204997.482269,closedApp,
,askForTimeLimit,facebook,False,America/Toronto,1.5,1749206656.562959,dismissedAppOpening,
60.0,askForTimeLimit,facebook,False,America/Toronto,1.5,1749206661.2560282,openedApp,
,,facebook,False,America/Toronto,,1749206733.032208,closedApp,
,breathingExercise,facebook,True,America/Toronto,1.5,1749206740.016309,dismissedAppOpening,
,askForTimeLimit,facebook,False,America/Toronto,1.5,1749207656.677308,dismissedAppOpening,
,askForTimeLimit,facebook,False,America/Toronto,1.5,1749207945.000257,dismissedAppOpening,
60.0,askForTimeLimit,facebook,False,America/Toronto,1.5,1749208427.893693,openedApp,
,,facebook,False,America/Toronto,,1749208498.2103071,closedApp,
60.0,askForTimeLimit,facebook,False,America/Toronto,1.5,1749209023.801003,openedApp,
,,facebook,False,America/Toronto,,1749209092.959245,closedApp,
60.0,askForTimeLimit,facebook,False,America/Toronto,1.5,1749212563.298791,openedApp,
,,facebook,False,America/Toronto,,1749212650.967998,closedApp,
60.0,breathingExercise,facebook,False,America/Toronto,1.5,1749212675.6372662,openedApp,Stay In the Loop
,,facebook,False,America/Toronto,,1749212749.123735,closedApp,
300.0,breathingExercise,facebook,False,America/Toronto,1.5,1749212762.438277,openedApp,Stay In the Loop
,,facebook,False,America/Toronto,,1749213073.9078379,closedApp,
,askForTimeLimit,facebook,False,America/Toronto,1.5,1749214661.984846,dismissedAppOpening,
