resolution,interventionType,timestamp,app,timezone,interventionDuration,isReIntervention
dismissedAppOpening,breathingExercise,1751553570.740834,instagram,Pacific/Auckland,1.5,False
dismissedAppOpening,breathingExercise,1751600321.809746,instagram,Pacific/Auckland,1.5,False
dismissedAppOpening,breathingExercise,1751600912.342375,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1751608184.830204,instagram,Pacific/Auckland,1.5,False
openedApp,,1751608668.5718021,instagram,Pacific/Auckland,,False
closedApp,,1751608788.571803,instagram,Pacific/Auckland,,False
dismissedAppOpening,,1751608788.571803,instagram,Pacific/Auckland,,False
dismissedAppOpening,breathingExercise,1751609649.207705,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1751615114.048078,instagram,Pacific/Auckland,1.5,False
dismissedAppOpening,breathingExercise,1751616134.696432,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1751638122.4241061,instagram,Pacific/Auckland,1.5,False
openedApp,,1751638306.201726,instagram,Pacific/Auckland,,False
closedApp,,1751638426.201726,instagram,Pacific/Auckland,,False
dismissedAppOpening,,1751638426.201726,instagram,Pacific/Auckland,,False
openedApp,breathingExercise,1751682175.672762,instagram,Pacific/Auckland,1.5,False
openedApp,,1751692517.664178,instagram,Pacific/Auckland,,False
closedApp,,1751692637.6641788,instagram,Pacific/Auckland,,False
dismissedAppOpening,,1751692637.6641788,instagram,Pacific/Auckland,,False
dismissedAppOpening,breathingExercise,1751701495.0206552,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1751701510.578316,instagram,Pacific/Auckland,1.5,False
dismissedAppOpening,breathingExercise,1751761908.4618049,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1751769585.1295161,instagram,Pacific/Auckland,1.5,False
dismissedAppOpening,breathingExercise,1751772978.8899841,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1751772994.611507,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1751773484.726987,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1751794139.378491,instagram,Pacific/Auckland,1.5,False
openedApp,,1751803612.642363,instagram,Pacific/Auckland,,False
closedApp,,1751803732.642364,instagram,Pacific/Auckland,,False
dismissedAppOpening,,1751803732.642364,instagram,Pacific/Auckland,,False
dismissedAppOpening,breathingExercise,1751803741.151758,instagram,Pacific/Auckland,1.5,False
dismissedAppOpening,breathingExercise,1751803789.272554,instagram,Pacific/Auckland,1.5,False
dismissedAppOpening,breathingExercise,1751804007.073201,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1751851844.764038,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1751853022.780919,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1751858255.277907,instagram,Pacific/Auckland,1.5,False
dismissedAppOpening,breathingExercise,1751860930.799446,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1751860982.3220248,instagram,Pacific/Auckland,1.5,False
dismissedAppOpening,breathingExercise,1751861587.8398929,instagram,Pacific/Auckland,1.5,False
dismissedAppOpening,breathingExercise,1751899727.2448568,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1751899741.132031,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1751900357.049444,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1751900534.003063,instagram,Pacific/Auckland,1.5,False
dismissedAppOpening,breathingExercise,1751955103.205419,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1751955128.456153,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1751968314.261571,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1751972533.133099,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1752017121.852583,instagram,Pacific/Auckland,1.5,False
dismissedAppOpening,breathingExercise,1752017893.812154,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1752044667.3348699,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1752056391.7420259,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1752112763.15343,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1752112931.101655,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1752114135.2456322,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1752118694.2462192,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1752130503.4294229,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1752130932.805587,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1752132134.953537,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1752134532.0721889,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1752141296.492025,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1752141734.117082,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1752146377.070589,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1752148191.260651,instagram,Pacific/Auckland,1.5,False
dismissedAppOpening,breathingExercise,1752148931.828886,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1752183112.79184,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1752186126.827028,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1752187337.30054,instagram,Pacific/Auckland,1.5,False
openedApp,breathingExercise,1752188531.665337,instagram,Pacific/Auckland,1.5,False
dismissedAppOpening,breathingExercise,1752200010.174298,instagram,Pacific/Auckland,1.5,False
dismissedAppOpening,breathingExercise,1752230349.101469,instagram,Pacific/Auckland,1.5,False
