interventionDuration,interventionType,resolution,app,timezone,isReIntervention,timestamp,purpose
1.5,breathingExercise,dismissedAppOpening,instagram,America/New_York,False,1753313744.148397,
1.5,breathingExercise,openedApp,tikTok,America/New_York,False,1753315362.8169389,Bored
1.5,breathingExercise,openedApp,tikTok,America/New_York,False,1753316369.806879,Entertainment
1.5,breathingExercise,openedApp,tikTok,America/New_York,False,1753316988.627664,Entertainment
1.5,breathingExercise,openedApp,tikTok,America/New_York,False,1753317579.8971171,Entertainment
1.5,breathingExercise,dismissedAppOpening,tikTok,America/New_York,False,1753318254.018805,
1.5,breathingExercise,openedApp,tikTok,America/New_York,False,1753318387.57177,Escape / Avoid
1.5,breathingExercise,openedApp,facebook,America/New_York,False,1753319720.32657,Entertainment
,,closedApp,facebook,America/New_York,False,1753319812.0593638,
1.5,breathingExercise,dismissedAppOpening,facebook,America/New_York,False,1753319855.376468,
1.5,breathingExercise,dismissedAppOpening,instagram,America/New_York,False,1753319860.794527,
1.5,breathingExercise,dismissedAppOpening,facebook,America/New_York,False,1753319870.639693,
1.5,breathingExercise,dismissedAppOpening,facebook,America/New_York,False,1753319880.643137,
1.5,breathingExercise,openedApp,instagram,America/New_York,False,1753319890.3050098,Entertainment
,,closedApp,instagram,America/New_York,False,1753320052.471839,
1.5,breathingExercise,openedApp,tikTok,America/New_York,False,1753320457.206279,Search Info
1.5,breathingExercise,openedApp,tikTok,America/New_York,False,1753322205.663563,Entertainment
1.5,breathingExercise,dismissedAppOpening,facebook,America/New_York,False,1753359653.749174,
1.5,breathingExercise,openedApp,facebook,America/New_York,False,1753359668.445792,Escape / Avoid
,,closedApp,facebook,America/New_York,False,1753359686.848009,
1.5,breathingExercise,dismissedAppOpening,tikTok,America/New_York,False,1753359781.907691,
1.5,breathingExercise,dismissedAppOpening,facebook,America/New_York,False,1753371566.189837,
1.5,breathingExercise,openedApp,facebook,America/New_York,False,1753371973.183941,Entertainment
,,closedApp,facebook,America/New_York,False,1753372010.923496,
1.5,breathingExercise,dismissedAppOpening,facebook,America/New_York,False,1753372171.090836,
1.5,breathingExercise,dismissedAppOpening,facebook,America/New_York,False,1753372174.1829848,
1.5,breathingExercise,openedApp,instagram,America/New_York,False,1753372456.265827,Entertainment
,,closedApp,instagram,America/New_York,False,1753372763.375987,
,,closedApp,instagram,America/New_York,False,1753372893.377913,
1.5,breathingExercise,dismissedAppOpening,facebook,America/New_York,False,1753373846.068235,
1.5,breathingExercise,dismissedAppOpening,facebook,America/New_York,False,1753373946.684022,
1.5,breathingExercise,dismissedAppOpening,instagram,America/New_York,False,1753374045.171607,
1.5,breathingExercise,openedApp,facebook,America/New_York,False,1753389386.7454162,Entertainment
,,closedApp,facebook,America/New_York,False,1753389434.695448,
1.5,breathingExercise,openedApp,instagram,America/New_York,False,1753389447.5656362,Entertainment
,,closedApp,instagram,America/New_York,False,1753389469.1801782,
1.5,breathingExercise,dismissedAppOpening,instagram,America/New_York,False,1753389484.155942,
1.5,breathingExercise,openedApp,facebook,America/New_York,False,1753390528.5827498,Entertainment
,,closedApp,facebook,America/New_York,False,1753390627.293937,
1.5,breathingExercise,openedApp,facebook,America/New_York,False,1753390640.526455,Entertainment
,,closedApp,facebook,America/New_York,False,1753390656.2976131,
1.5,breathingExercise,dismissedAppOpening,facebook,America/New_York,False,1753390736.187282,
1.5,breathingExercise,openedApp,instagram,America/New_York,False,1753390746.806686,Entertainment
,,closedApp,instagram,America/New_York,False,1753390832.7846699,
,,closedApp,instagram,America/New_York,False,1753390854.049716,
1.5,breathingExercise,dismissedAppOpening,instagram,America/New_York,False,1753400851.863305,
1.5,breathingExercise,openedApp,facebook,America/New_York,False,1753402468.320407,Entertainment
