interventionDuration,interventionType,timestamp,isReIntervention,timezone,purpose,app,resolution,terminationReason
1.5,breathingExercise,1750784620.953601,0.0,America/Chicago,Search Info,instagram,openedApp,
,,1750784665.219856,0.0,America/Chicago,,instagram,closedApp,
1.5,breathingExercise,1750792260.481065,0.0,America/Chicago,Stay In the Loop,snapchat,openedApp,
1.5,breathingExercise,1750792455.1753368,0.0,America/Chicago,Check likes,instagram,openedApp,
,,1750792669.2601929,0.0,America/Chicago,,instagram,closedApp,
1.5,breathingExercise,1750792671.115293,0.0,America/Chicago,,snapchat,dismissedAppOpening,
1.5,breathingExercise,1750801654.7197142,0.0,America/Chicago,Stay In the Loop,twitter,openedApp,
,,1750804458.628407,0.0,America/Chicago,,twitter,closedApp,
1.5,breathingExercise,1750804488.841434,0.0,America/Chicago,Entertainment,youtube,openedApp,
,,1750805127.622264,0.0,America/Chicago,,youtube,closedApp,
,,1750805407.8040771,0.0,America/Chicago,,youtube,closedApp,
1.5,breathingExercise,1750812911.2727242,0.0,America/Chicago,Entertainment,youtube,openedApp,
,,1750813569.46637,0.0,America/Chicago,,youtube,closedApp,
,,1750814211.998133,0.0,America/Chicago,,youtube,closedApp,
1.5,breathingExercise,1750814370.7924728,0.0,America/Chicago,Bored,instagram,openedApp,
,,1750815597.3516731,0.0,America/Chicago,,instagram,closedApp,
,,1750815919.4960709,0.0,America/Chicago,,instagram,closedApp,
,,1750816746.065465,0.0,America/Chicago,,instagram,closedApp,
1.5,breathingExercise,1750816957.536706,0.0,America/Chicago,,instagram,dismissedAppOpening,
1.5,breathingExercise,1750826034.931875,0.0,America/Chicago,Can’t sleep,twitter,openedApp,
,,1750826118.909982,0.0,America/Chicago,,twitter,closedApp,
1.5,breathingExercise,1750826131.269826,0.0,America/Chicago,Can’t sleep,twitter,openedApp,
1.5,breathingExercise,1750828760.268712,0.0,America/Chicago,,twitter,dismissedAppOpening,
1.5,breathingExercise,1750828770.233484,0.0,America/Chicago,Can’t sleep,youtube,openedApp,
,,1750828806.175291,0.0,America/Chicago,,youtube,closedApp,
,,1750830351.967402,0.0,America/Chicago,,youtube,closedApp,
,,1750828743.444378,0.0,America/Chicago,,twitter,closedApp,
1.5,breathingExercise,1750860883.2575722,0.0,America/Chicago,Stay In the Loop,twitter,openedApp,
,,1750861448.456711,0.0,America/Chicago,,twitter,closedApp,
,,1750861604.423337,0.0,America/Chicago,,twitter,closedApp,
1.5,breathingExercise,1750892444.0341802,0.0,America/Chicago,,youtube,dismissedAppOpening,
1.5,breathingExercise,1750892454.564355,0.0,America/Chicago,Entertainment,youtube,openedApp,
,,1750894709.278883,0.0,America/Chicago,,youtube,closedApp,
,,1750897261.332346,0.0,America/Chicago,,youtube,closedApp,
1.5,breathingExercise,1750897608.413179,0.0,America/Chicago,Entertainment,youtube,openedApp,
,,1750897696.8603492,0.0,America/Chicago,,youtube,closedApp,
1.5,breathingExercise,1750897785.210849,0.0,America/Chicago,Entertainment,youtube,openedApp,
,,1750897816.749031,0.0,America/Chicago,,youtube,closedApp,
,,1750898074.859067,0.0,America/Chicago,,youtube,closedApp,
1.5,breathingExercise,1750898093.45225,0.0,America/Chicago,Entertainment,twitter,openedApp,
,,1750898403.665358,0.0,America/Chicago,,twitter,closedApp,
1.5,breathingExercise,1750898417.908431,0.0,America/Chicago,Entertainment,twitter,openedApp,
,,1750901402.0961409,0.0,America/Chicago,,twitter,closedApp,
,,1750901770.975615,0.0,America/Chicago,,twitter,closedApp,
,,1750901856.889135,0.0,America/Chicago,,twitter,closedApp,
1.5,breathingExercise,1750904533.781354,0.0,America/Chicago,Stay In the Loop,instagram,openedApp,
,,1750905116.959518,0.0,America/Chicago,,instagram,closedApp,
1.5,breathingExercise,1750905123.002639,0.0,America/Chicago,Stay In the Loop,snapchat,openedApp,
1.5,breathingExercise,1750905233.713663,0.0,America/Chicago,Can’t sleep,youtube,openedApp,
,,1750905542.337494,0.0,America/Chicago,,youtube,closedApp,
1.5,breathingExercise,1750938673.855346,0.0,America/Chicago,Message,snapchat,openedApp,
1.5,breathingExercise,1750974608.235573,0.0,America/Chicago,Stay In the Loop,twitter,openedApp,
,,1750976529.246865,0.0,America/Chicago,,twitter,closedApp,
1.5,breathingExercise,1750978248.0337548,0.0,America/Chicago,Entertainment,youtube,openedApp,
,,1750978724.01996,0.0,America/Chicago,,youtube,closedApp,
,,1750979809.09802,0.0,America/Chicago,,youtube,closedApp,
,,1750982944.684585,0.0,America/Chicago,,youtube,closedApp,
1.5,breathingExercise,1750983166.907703,0.0,America/Chicago,Entertainment,youtube,openedApp,
,,1750984234.43298,0.0,America/Chicago,,youtube,closedApp,
1.5,breathingExercise,1750984259.2228122,0.0,America/Chicago,Entertainment,youtube,openedApp,
,,1750988003.392589,0.0,America/Chicago,,youtube,closedApp,
,,1750988931.831709,0.0,America/Chicago,,youtube,closedApp,
,,1750989684.846606,0.0,America/Chicago,,youtube,closedApp,
1.5,breathingExercise,1750989694.954354,0.0,America/Chicago,Message,snapchat,openedApp,
1.5,breathingExercise,1750990037.2626162,0.0,America/Chicago,,instagram,dismissedAppOpening,
1.5,breathingExercise,1750991784.32366,0.0,America/Chicago,Stay In the Loop,twitter,openedApp,
,,1750994296.74596,0.0,America/Chicago,,twitter,closedApp,
1.5,breathingExercise,1751025264.153816,0.0,America/Chicago,Stay In the Loop,instagram,openedApp,
,,1751025409.813249,0.0,America/Chicago,,instagram,closedApp,
1.5,breathingExercise,1751025469.228265,0.0,America/Chicago,,instagram,dismissedAppOpening,
1.5,breathingExercise,1751029767.0135798,0.0,America/Chicago,Stay In the Loop,instagram,openedApp,
,,1751031496.799757,0.0,America/Chicago,,instagram,closedApp,
1.5,breathingExercise,1751037105.682936,0.0,America/Chicago,Search Info,youtube,openedApp,
,,1751037357.342166,0.0,America/Chicago,,youtube,closedApp,
,,1751038215.728142,0.0,America/Chicago,,youtube,closedApp,
1.5,breathingExercise,1751049632.0851479,0.0,America/Chicago,Entertainment,youtube,openedApp,
,,1751050145.179079,0.0,America/Chicago,,youtube,closedApp,
1.5,breathingExercise,1751050159.117454,0.0,America/Chicago,Entertainment,youtube,openedApp,
,,1751050207.45651,0.0,America/Chicago,,youtube,closedApp,
1.5,breathingExercise,1751050246.878068,0.0,America/Chicago,Entertainment,youtube,openedApp,
,,1751050424.165968,0.0,America/Chicago,,youtube,closedApp,
,,1751050811.3186789,0.0,America/Chicago,,youtube,closedApp,
1.5,breathingExercise,1751050849.1390948,0.0,America/Chicago,Entertainment,youtube,openedApp,
,,1751052099.627637,0.0,America/Chicago,,youtube,closedApp,
,,1751052461.100636,0.0,America/Chicago,,youtube,closedApp,
,,1751057996.806518,0.0,America/Chicago,,youtube,closedApp,
1.5,breathingExercise,1751058067.482126,0.0,America/Chicago,Entertainment,youtube,openedApp,
,,1751058731.56495,0.0,America/Chicago,,youtube,closedApp,
1.5,breathingExercise,1751058773.2937078,0.0,America/Chicago,Entertainment,youtube,openedApp,
,,1751060267.0825,0.0,America/Chicago,,youtube,closedApp,
1.5,breathingExercise,1751060472.904988,0.0,America/Chicago,,youtube,dismissedAppOpening,
1.5,breathingExercise,1751062013.661569,0.0,America/Chicago,Search Info,youtube,openedApp,
,,1751064154.909614,0.0,America/Chicago,,youtube,closedApp,
1.5,breathingExercise,1751064165.95473,0.0,America/Chicago,Stay In the Loop,twitter,openedApp,
,,1751065252.1699538,0.0,America/Chicago,,twitter,closedApp,
1.5,breathingExercise,1751068254.746227,0.0,America/Chicago,,twitter,dismissedAppOpening,
1.5,breathingExercise,1751068266.087933,0.0,America/Chicago,Escape / Avoid,twitter,openedApp,
,,1751069364.112957,0.0,America/Chicago,,twitter,closedApp,
1.5,breathingExercise,1751069388.422526,0.0,America/Chicago,,twitter,dismissedAppOpening,
1.5,breathingExercise,1751069400.125938,0.0,America/Chicago,Entertainment,youtube,openedApp,
1.5,breathingExercise,1751069495.4212708,0.0,America/Chicago,Entertainment,youtube,openedApp,
,,1751069952.846346,0.0,America/Chicago,,youtube,closedApp,
1.5,breathingExercise,1751069968.869633,0.0,America/Chicago,Entertainment,youtube,openedApp,
,,1751071809.940896,0.0,America/Chicago,,youtube,closedApp,
1.5,breathingExercise,1751071831.4868078,0.0,America/Chicago,Search Info,instagram,openedApp,
1.5,breathingExercise,1751074990.301611,0.0,America/Chicago,Search Info,instagram,openedApp,
,,1751074387.699481,0.0,America/Chicago,,instagram,closedApp,
,,1751075088.025813,0.0,America/Chicago,,instagram,closedApp,
1.5,breathingExercise,1751075116.27251,0.0,America/Chicago,,instagram,dismissedAppOpening,
1.5,breathingExercise,1751075149.901598,0.0,America/Chicago,Entertainment,youtube,openedApp,
,,1751075400.784865,0.0,America/Chicago,,youtube,closedApp,
,,1751075575.888937,,,,,,terminatedByUser
