timestamp,isReIntervention,interventionDuration,app,purpose,timezone,interventionType,resolution,terminationReason
1750893868.933569,0.0,1.5,safari,Message,America/Chicago,breathingExercise,openedApp,
1750893975.6279469,,,,,,,,terminatedByUser
