resolution,interventionType,timezone,interventionDuration,timestamp,app,isReIntervention
openedApp,breathingExercise,America/Denver,1.5,1752345089.7815862,facebook,False
openedApp,breathingExercise,America/Denver,1.5,1752351701.705597,facebook,False
openedApp,breathingExercise,America/Denver,1.5,1752352595.806526,facebook,False
openedApp,breathingExercise,America/Denver,1.5,1752353297.708263,facebook,False
openedApp,breathingExercise,America/Denver,1.5,1752357010.21073,facebook,False
openedApp,breathingExercise,America/Denver,1.5,1752357070.9360762,facebook,False
openedApp,breathingExercise,America/Denver,1.5,1752357260.067356,facebook,False
openedApp,breathingExercise,America/Denver,1.5,1752359984.952148,facebook,False
openedApp,breathingExercise,America/Denver,1.5,1752392300.708178,facebook,False
openedApp,breathingExercise,America/Denver,1.5,1752392918.900996,facebook,False
openedApp,breathingExercise,America/Denver,1.5,1752423872.931477,facebook,False
openedApp,breathingExercise,America/Denver,1.5,1752477654.770925,facebook,False
openedApp,breathingExercise,America/Denver,1.5,1752481276.230905,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752512118.373394,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752513046.423777,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752513789.871931,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752515798.485256,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1752515954.024811,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752526995.042046,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752527216.156513,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1752527704.106748,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752527851.562704,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752540662.35518,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752541414.79465,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752546909.606924,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752548770.625918,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752565197.443764,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752565744.755616,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1752566906.816976,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752586000.740099,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752598359.5177,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752600532.050432,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752604058.343343,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1752613066.775305,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752613566.9200811,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1752613811.3164,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1752645682.0649471,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1752645707.939184,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752661102.336389,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752685297.511818,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1752685964.528383,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1752691035.226049,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1752692771.14097,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752692785.335217,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752706330.156446,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752770170.365535,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1752771423.864923,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1752771425.202873,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1752775077.2821012,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752775348.82367,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1752775688.33061,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752775843.470405,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1752776267.296566,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1752777369.377342,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1752777561.736902,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752777574.672412,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1752778809.246427,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752778838.2217832,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752778969.357634,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752781883.301611,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752782138.123286,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752801990.597179,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752852579.3594952,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752852800.669945,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752852885.1882381,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752852944.8912091,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752853293.611651,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752854532.5249372,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752856925.2519789,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752859189.682334,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752905648.605538,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752907483.1781402,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752913289.539422,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752956490.608777,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1752996144.098717,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1753047232.397275,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753064642.1674628,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753070775.1081839,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753073742.858735,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753120163.4617481,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753129271.160551,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1753134693.93575,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1753150162.5665898,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753156627.97856,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1753207492.495222,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753207511.062365,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753209771.2930322,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1753223021.0327911,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753269691.816098,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753270278.157611,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753288584.854463,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753298272.85961,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753309849.921804,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753327050.0705218,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753331929.0682368,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753345280.294406,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753346875.350517,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1753350744.246369,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753350756.816462,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753369489.454891,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1753369826.294863,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753369929.471252,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1753370224.098384,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753370258.9892402,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753477734.467236,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753480169.138301,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753542272.003108,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753587629.498811,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753672884.015345,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753673117.146034,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1753677447.921082,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753721288.7646642,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753724235.314439,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1753727387.968435,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753727448.733532,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753742094.5382562,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1753742268.475791,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753742290.315563,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753742769.582581,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753753549.7899861,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753754556.0707011,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1753827577.326878,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753827974.735203,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753836116.5776892,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753836223.298207,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753836745.7270641,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753836973.393938,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1753837033.589957,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753837052.7669501,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753837136.507038,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753837566.7970362,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753838199.8469229,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753838271.174212,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753838514.4866018,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1753853452.2497602,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753853493.225369,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753853690.133642,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753855442.7353249,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753884409.671006,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753896735.389666,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753919895.840657,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1753920053.16186,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753955792.820736,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753983025.338685,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1753987722.538064,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1754053415.033945,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1754059153.554563,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1754067026.4371529,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1754067169.632005,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1754067325.186996,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1754067789.205764,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1754068486.782569,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1754068796.591335,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1754075722.983259,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1754084417.1909142,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1754086734.1237059,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1754087250.01667,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1754087982.675232,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1754088081.569768,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1754094290.987688,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1754106652.8196201,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1754113295.680218,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1754114033.2283468,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1754114643.25496,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1754114680.825817,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1754145153.343062,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1754169499.595551,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1754170105.104209,facebook,False
dismissedAppOpening,breathingExercise,America/Denver,6.0,1754170800.2746902,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1754276993.113358,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1754277128.429811,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1754277418.164818,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1754330472.403147,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1754344996.187654,facebook,False
openedApp,breathingExercise,America/Denver,6.0,1754345896.5760999,facebook,False
