resolution,interventionDuration,timezone,timestamp,interventionType,app,isReIntervention
dismissedAppOpening,1.5,Europe/Amsterdam,1748624443.186979,breathingExercise,whastapp,False
openedApp,1.5,Europe/Amsterdam,1748676251.3899322,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748676976.145771,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748686524.345659,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748687440.723093,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748688654.0712419,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748697709.447828,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748699113.963676,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748701392.199902,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748714763.853353,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748715612.934797,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748715950.682023,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748751746.706316,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748754631.1829638,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748755842.6446,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748758929.653141,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748761973.589168,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748763640.870858,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748766194.799156,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748767957.051146,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748768050.11779,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748774742.5035648,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748777627.164006,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748780030.2064738,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748781091.991267,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748794596.643816,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748803001.894485,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748803330.851777,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748805127.799706,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748837891.807241,breathingExercise,tikTok,False
dismissedAppOpening,1.5,Europe/Amsterdam,1748845893.947274,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748848796.381884,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748852614.860034,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748855923.1941938,breathingExercise,tikTok,False
dismissedAppOpening,1.5,Europe/Amsterdam,1748857992.802061,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748858079.7477698,breathingExercise,tikTok,False
openedApp,1.5,Europe/Amsterdam,1748858308.2578669,breathingExercise,tikTok,False
