app,interventionType,isReIntervention,timezone,timestamp,interventionDuration,resolution
whastapp,breathingExercise,False,Europe/Rome,1751408151.173312,1.5,openedApp
whastapp,breathingExercise,False,Europe/Rome,1751443255.5165272,1.5,openedApp
whastapp,breathingExercise,False,Europe/Rome,1751443627.8316622,1.5,openedApp
whastapp,breathingExercise,False,Europe/Rome,1751447574.158527,1.5,dismissedAppOpening
whastapp,breathingExercise,False,Europe/Rome,1751447576.7473059,1.5,dismissedAppOpening
whastapp,breathingExercise,False,Europe/Rome,1751447840.252671,1.5,openedApp
whastapp,breathingExercise,False,Europe/Rome,1751448282.158284,1.5,dismissedAppOpening
whastapp,breathingExercise,False,Europe/Rome,1751448899.458765,1.5,dismissedAppOpening
whastapp,breathingExercise,False,Europe/Rome,1751448906.9723802,1.5,openedApp
whastapp,breathingExercise,False,Europe/Rome,1751450204.747587,1.5,openedApp
whastapp,breathingExercise,False,Europe/Rome,1751450350.108808,1.5,dismissedAppOpening
whastapp,breathingExercise,False,Europe/Rome,1751452111.446758,1.5,openedApp
whastapp,breathingExercise,False,Europe/Rome,1751457248.739394,1.5,dismissedAppOpening
whastapp,breathingExercise,False,Europe/Rome,1751457253.372549,1.5,dismissedAppOpening
whastapp,breathingExercise,False,Europe/Rome,1751457262.076751,1.5,dismissedAppOpening
whastapp,breathingExercise,False,Europe/Rome,1751458888.853775,1.5,openedApp
whastapp,breathingExercise,False,Europe/Rome,1751458967.511248,1.5,dismissedAppOpening
whastapp,breathingExercise,False,Europe/Rome,1751463466.439697,1.5,dismissedAppOpening
whastapp,breathingExercise,False,Europe/Rome,1751463482.638575,1.5,openedApp
whastapp,breathingExercise,False,Europe/Rome,1751463545.916017,1.5,openedApp
whastapp,breathingExercise,False,Europe/Rome,1751463768.106092,1.5,dismissedAppOpening
whastapp,breathingExercise,False,Europe/Rome,1751469044.864444,1.5,openedApp
whastapp,breathingExercise,False,Europe/Rome,1751470632.615349,1.5,openedApp
whastapp,breathingExercise,False,Europe/Rome,1751470849.769283,1.5,dismissedAppOpening
whastapp,breathingExercise,False,Europe/Rome,1751473371.299738,1.5,openedApp
whastapp,breathingExercise,False,Europe/Rome,1751473450.9711251,1.5,openedApp
whastapp,breathingExercise,False,Europe/Rome,1751477686.39132,1.5,openedApp
whastapp,breathingExercise,False,Europe/Rome,1751480509.2725,1.5,openedApp
whastapp,breathingExercise,False,Europe/Rome,1751480615.021854,1.5,dismissedAppOpening
whastapp,breathingExercise,False,Europe/Rome,1751480736.0002608,1.5,openedApp
whastapp,breathingExercise,False,Europe/Rome,1751485857.295598,1.5,openedApp
whastapp,breathingExercise,False,Europe/Rome,1751486412.58173,1.5,openedApp
whastapp,breathingExercise,False,Europe/Rome,1751487431.66427,1.5,openedApp
whastapp,breathingExercise,False,Europe/Rome,1751487625.312039,1.5,dismissedAppOpening
whastapp,breathingExercise,False,Europe/Rome,1751487655.080673,1.5,dismissedAppOpening
whastapp,breathingExercise,False,Europe/Rome,1751487659.501255,1.5,openedApp
whastapp,breathingExercise,False,Europe/Rome,1751487735.817492,1.5,openedApp
whastapp,breathingExercise,False,Europe/Rome,1751494030.880032,1.5,openedApp
whastapp,breathingExercise,False,Europe/Rome,1751496066.399212,1.5,openedApp
whastapp,breathingExercise,False,Europe/Rome,1751496397.515548,1.5,dismissedAppOpening
