timestamp,interventionType,isReIntervention,resolution,timezone,interventionDuration,app,purpose,timeIntervalUntilReIntervention
1752073635.078264,breathingExercise,False,dismissedAppOpening,America/Los_Angeles,1.5,tikTok,,
1752077415.3568,breathingExercise,False,dismissedAppOpening,America/Los_Angeles,1.5,tikTok,,
1752084288.15699,,False,openedApp,America/Los_Angeles,,twitter,,
1752084468.15699,,False,closedApp,America/Los_Angeles,,twitter,,
1752084468.15699,,False,dismissedAppOpening,America/Los_Angeles,,twitter,,
1752087255.806944,breathingExercise,False,dismissedAppOpening,America/Los_Angeles,1.5,instagram,,
1752097210.554996,breathingExercise,False,dismissedAppOpening,America/Los_Angeles,1.5,tikTok,,
1752098337.132893,breathingExercise,False,dismissedAppOpening,America/Los_Angeles,1.5,tikTok,,
1752101288.2856178,breathingExercise,False,dismissedAppOpening,America/Los_Angeles,1.5,tikTok,,
1752102621.1630092,breathingExercise,False,dismissedAppOpening,America/Los_Angeles,1.5,tikTok,,
1752110010.670545,breathingExercise,False,dismissedAppOpening,America/Los_Angeles,1.5,instagram,,
1752111082.730329,breathingExercise,False,dismissedAppOpening,America/Los_Angeles,1.5,tikTok,,
1752111209.6314158,breathingExercise,False,dismissedAppOpening,America/Los_Angeles,1.5,tikTok,,
1752117901.098672,breathingExercise,False,dismissedAppOpening,America/Los_Angeles,1.5,instagram,,
1752118500.019713,breathingExercise,False,openedApp,America/Los_Angeles,1.5,instagram,Search Info,
1752118582.971363,breathingExercise,False,dismissedAppOpening,America/Los_Angeles,1.5,instagram,,
1752118585.847439,breathingExercise,False,dismissedAppOpening,America/Los_Angeles,1.5,instagram,,
1752118595.472549,breathingExercise,False,openedApp,America/Los_Angeles,1.5,instagram,Search Info,
1752118936.10682,breathingExercise,False,dismissedAppOpening,America/Los_Angeles,1.5,instagram,,
1752120666.633466,breathingExercise,False,dismissedAppOpening,America/Los_Angeles,1.5,tikTok,,
1752157319.967043,,False,openedApp,America/Los_Angeles,,twitter,,
1752157499.9670439,,False,closedApp,America/Los_Angeles,,twitter,,
1752157499.9670439,,False,dismissedAppOpening,America/Los_Angeles,,twitter,,
1752160219.735795,breathingExercise,False,openedApp,America/Los_Angeles,1.5,instagram,Post something,
1752162878.6684651,breathingExercise,False,openedApp,America/Los_Angeles,1.5,instagram,Check likes,
1752177429.027168,breathingExercise,False,openedApp,America/Los_Angeles,1.5,instagram,Check likes,
1752201633.643292,journaling,False,dismissedAppOpening,America/Toronto,,instagram,,
1752201648.179362,breathingExercise,False,openedApp,America/Toronto,1.5,instagram,Stay In the Loop,
1752201782.251906,breathingExercise,False,openedApp,America/Toronto,1.5,instagram,Stay In the Loop,
1752201837.144865,breathingExercise,False,openedApp,America/Toronto,1.5,instagram,Message,
1752202234.78924,breathingExercise,False,openedApp,America/Toronto,1.5,instagram,Message,
1752203903.5895529,breathingExercise,False,openedApp,America/Toronto,1.5,twitter,Escape / Avoid,
1752253000.881856,breathingExercise,False,openedApp,America/Toronto,1.5,instagram,Stay In the Loop,
1752253063.413228,breathingExercise,False,dismissedAppOpening,America/Toronto,1.5,instagram,,
1752257887.05691,breathingExercise,False,openedApp,America/Toronto,1.5,instagram,Search Info,
1752258868.353097,breathingExercise,False,openedApp,America/Toronto,1.5,instagram,Post something,
1752260509.430951,breathingExercise,False,openedApp,America/Toronto,1.5,instagram,Message,
1752271099.866699,breathingExercise,False,dismissedAppOpening,America/Toronto,1.5,tikTok,,
1752272867.494351,,False,openedApp,America/Toronto,,twitter,,
1752273047.494351,,False,closedApp,America/Toronto,,twitter,,
1752273047.4943519,,False,dismissedAppOpening,America/Toronto,,twitter,,
1752273866.675556,breathingExercise,False,openedApp,America/Toronto,1.5,instagram,Escape / Avoid,
1752273909.3154612,breathingExercise,False,openedApp,America/Toronto,1.5,instagram,Check likes,
1752274178.883861,breathingExercise,False,dismissedAppOpening,America/Toronto,1.5,instagram,,
1752276362.179556,breathingExercise,False,openedApp,America/Toronto,1.5,twitter,Escape / Avoid,
1752278119.966352,breathingExercise,False,openedApp,America/Toronto,1.5,instagram,Search Info,
1752278324.52806,breathingExercise,False,dismissedAppOpening,America/Toronto,1.5,instagram,,
1752280016.76056,breathingExercise,False,openedApp,America/Toronto,1.5,instagram,Search Info,
1752280193.637017,breathingExercise,False,dismissedAppOpening,America/Toronto,1.5,tikTok,,
1752280195.677486,breathingExercise,False,dismissedAppOpening,America/Toronto,1.5,tikTok,,
1752280198.5044498,breathingExercise,False,dismissedAppOpening,America/Toronto,1.5,instagram,,
1752280227.29076,breathingExercise,False,openedApp,America/Toronto,1.5,instagram,Search Info,
1752280716.260844,breathingExercise,False,openedApp,America/Toronto,1.5,instagram,Search Info,
1752281151.340886,breathingExercise,False,openedApp,America/Toronto,1.5,instagram,Search Info,
1752281214.298139,breathingExercise,False,openedApp,America/Toronto,1.5,instagram,Search Info,
1752283834.900003,breathingExercise,False,openedApp,America/Toronto,1.5,instagram,Search Info,
1752292990.8400111,breathingExercise,False,openedApp,America/Toronto,1.5,instagram,Message,
1752297057.0125089,breathingExercise,False,openedApp,America/Toronto,1.5,instagram,Search Info,
1752365981.0927792,breathingExercise,False,dismissedAppOpening,America/Toronto,1.5,instagram,,
1752424506.368009,,False,openedApp,America/Toronto,,twitter,,
1752424686.36801,,False,closedApp,America/Toronto,,twitter,,
1752424686.36801,,False,dismissedAppOpening,America/Toronto,,twitter,,
1752428966.749796,breathingExercise,False,dismissedAppOpening,America/Toronto,1.5,tikTok,,
1752432510.29389,breathingExercise,False,openedApp,America/Toronto,1.5,tikTok,Relax,360.0
1752432857.935955,breathingExercise,False,dismissedAppOpening,America/Toronto,1.5,tikTok,,
