timezone,app,resolution,timestamp,interventionType,interventionDuration,isReIntervention,purpose
America/Denver,instagram,dismissedAppOpening,1751693560.141412,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751693564.002008,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751693567.7299252,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751693571.6585531,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751693576.32371,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751693580.751729,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751693585.940012,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751697020.312859,breathingExercise,1.5,False,
America/Denver,instagram,openedApp,1751697045.552853,breathingExercise,1.5,False,Escape / Avoid
America/Denver,instagram,dismissedAppOpening,1751698510.721324,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698518.873201,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698527.4225311,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698732.36954,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698739.11348,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698744.2862701,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698749.584659,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698754.523216,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698763.628833,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698771.116885,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698776.797817,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698782.030726,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698787.586127,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698793.348598,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698798.9673629,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698805.948059,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698813.658757,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698820.6151881,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698828.12037,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698836.9506211,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698845.071684,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698852.952872,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698862.9766521,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698871.671373,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698880.399339,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751698893.9448872,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751704152.3607922,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751704157.28904,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751704163.590482,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751704169.342036,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751704174.4741678,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751704189.86285,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751704194.831891,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751704201.0493941,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751704206.6531348,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751704211.0599952,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751704217.4684138,breathingExercise,1.5,False,
America/Denver,instagram,openedApp,1751706516.1430979,breathingExercise,1.5,False,Message
America/Denver,instagram,dismissedAppOpening,1751747623.8397532,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751747909.960487,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751747913.3059602,breathingExercise,1.5,False,
America/Denver,instagram,dismissedAppOpening,1751747917.207203,breathingExercise,1.5,False,
