timestamp,timezone,resolution,app,interventionType,isReIntervention,interventionDuration,purpose
1748883342.2627459,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1748883348.653301,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1748896986.63849,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1748897829.314136,America/New_York,dismissedAppOpening,linkedin,breathingExercise,False,1.5,
1748898144.864582,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1748898151.7781239,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1748898213.133134,America/New_York,dismissedAppOpening,tikTok,breathingExercise,False,1.5,
1748909959.75875,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1748910228.7434149,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1748910399.0483909,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1748914283.46352,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Stay In the Loop
1748919889.6199431,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1748919898.758453,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Stay In the Loop
1748920270.000104,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Stay In the Loop
1748921690.359947,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1748921721.6316051,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
1748925849.860766,America/New_York,dismissedAppOpening,snapchat,breathingExercise,False,1.5,
1748958445.105994,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1748975694.157037,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1748985607.4965138,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Stay In the Loop
1748985887.652337,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1748986216.183022,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1748986229.721291,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
1748989331.5500422,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1748989783.415375,America/New_York,dismissedAppOpening,snapchat,breathingExercise,False,1.5,
1748989786.764297,America/New_York,dismissedAppOpening,snapchat,breathingExercise,False,1.5,
1748989789.590097,America/New_York,dismissedAppOpening,snapchat,breathingExercise,False,1.5,
1748989800.1817122,America/New_York,openedApp,snapchat,breathingExercise,False,1.5,Stay In the Loop
1748990156.762978,America/New_York,dismissedAppOpening,snapchat,breathingExercise,False,1.5,
1748991071.396673,America/New_York,openedApp,tikTok,breathingExercise,False,1.5,Entertainment
1748991090.252852,America/New_York,openedApp,tikTok,breathingExercise,False,1.5,Stay In the Loop
1748991114.935235,America/New_York,openedApp,tikTok,breathingExercise,False,1.5,Stay In the Loop
1748991132.964037,America/New_York,dismissedAppOpening,tikTok,breathingExercise,False,1.5,
1748994182.6816149,America/New_York,dismissedAppOpening,snapchat,breathingExercise,False,1.5,
1748994448.465141,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1748994552.461635,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1748994554.892739,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1748994977.612458,America/New_York,dismissedAppOpening,tikTok,breathingExercise,False,1.5,
1748997005.2221432,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1748997018.253557,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1748997029.302247,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
1748998172.915596,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749010067.154288,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
1749010134.802706,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
1749011398.194817,America/New_York,dismissedAppOpening,tikTok,breathingExercise,False,1.5,
1749015289.607763,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Relax
1749016546.090118,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749016560.1247911,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Post something
1749016705.9903278,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Post something
1749017205.7110739,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749017210.064035,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749017216.989023,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749038079.804081,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749047944.13103,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Bored
1749048894.5309029,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Bored
1749054288.8410301,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Bored
1749054584.070019,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Stalk crush
1749055392.6899939,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749055401.615528,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749055402.970406,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749055405.9540849,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749055408.670445,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749055411.311522,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749055419.310985,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749071986.076201,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Search Info
1749072999.489418,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Search Info
1749073405.071875,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Search Info
1749075125.93509,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749088494.59933,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Search Info
1749088683.655431,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Stay In the Loop
1749129809.369083,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Search Info
1749131082.458521,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
1749140477.222036,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Search Info
1749140628.599585,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749140744.406505,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Search Info
1749140940.2207022,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
1749141229.726976,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Search Info
1749141276.287787,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
1749143615.0503879,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Search Info
1749145855.4198852,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749154574.30868,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Can’t sleep
1749154896.118521,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Can’t sleep
1749155452.773684,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749155456.148124,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749155471.117379,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749155872.918027,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749155882.9494681,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749155885.018832,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749186156.1529,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749186202.567439,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Stay In the Loop
1749212726.833345,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749220921.654657,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
1749221775.466268,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
1749225581.295161,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
1749225613.344605,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
1749226626.313043,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
1749229804.111054,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Search Info
1749229990.79281,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749229993.4438748,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749230004.731279,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Stay In the Loop
1749251985.715754,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749251998.627444,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Search Info
1749253054.444756,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
1749254912.510952,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
1749255825.131038,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
1749257200.443465,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749257209.624094,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749259089.331365,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
1749260863.3380132,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749298980.602056,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
1749299047.39042,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
1749303127.01776,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Search Info
1749306258.645296,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
1749308534.766623,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749315987.2519999,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
1749316098.622592,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
1749316841.65715,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
1749318410.755941,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
1749319027.755861,America/New_York,dismissedAppOpening,instagram,breathingExercise,False,1.5,
1749320209.865983,America/New_York,openedApp,instagram,breathingExercise,False,1.5,Entertainment
