interventionType,timezone,app,isReIntervention,timestamp,interventionDuration,resolution
,Europe/Prague,facebook,False,1752696926.513094,,closedApp
breathingExercise,Europe/Prague,facebook,False,1752759660.227731,1.5,openedApp
,Europe/Prague,facebook,False,1752759727.594697,,closedApp
breathingExercise,Europe/Prague,facebook,False,1752770105.700642,1.5,openedApp
,Europe/Prague,facebook,False,1752770840.886866,,closedApp
breathingExercise,Europe/Prague,facebook,False,1752781522.324709,1.5,openedApp
,Europe/Prague,facebook,False,1752781671.560104,,closedApp
breathingExercise,Europe/Prague,facebook,False,1752826967.914256,1.5,openedApp
,Europe/Prague,facebook,False,1752827031.778308,,closedApp
breathingExercise,Europe/Prague,facebook,False,1752827103.385386,1.5,openedApp
,Europe/Prague,facebook,False,1752827192.662225,,closedApp
breathingExercise,Europe/Prague,facebook,False,1752829515.5477939,1.5,dismissedAppOpening
breathingExercise,Europe/Prague,facebook,False,1752837987.507334,1.5,openedApp
,Europe/Prague,facebook,False,1752838345.40036,,closedApp
breathingExercise,Europe/Prague,facebook,False,1752856435.409615,1.5,openedApp
,Europe/Prague,facebook,False,1752856474.539624,,closedApp
breathingExercise,Europe/Prague,facebook,False,1752856533.5973701,1.5,openedApp
,Europe/Prague,facebook,False,1752856854.300314,,closedApp
breathingExercise,Europe/Prague,facebook,False,1752862568.507176,1.5,openedApp
,Europe/Prague,facebook,False,1752863219.00418,,closedApp
breathingExercise,Europe/Prague,facebook,False,1752925183.2272182,1.5,openedApp
,Europe/Prague,facebook,False,1752925455.939177,,closedApp
breathingExercise,Europe/Prague,facebook,False,1752933623.856958,1.5,openedApp
,Europe/Prague,facebook,False,1752934413.788303,,closedApp
,Europe/Prague,facebook,False,1752934446.37393,,closedApp
breathingExercise,Europe/Prague,facebook,False,1753430967.273615,6.0,openedApp
,Europe/Prague,facebook,False,1753430970.942311,,closedApp
breathingExercise,Europe/Prague,facebook,False,1753431925.911206,6.0,openedApp
,Europe/Prague,facebook,False,1753431962.85753,,closedApp
,Europe/Prague,facebook,False,1753431984.3863602,,closedApp
,Europe/Prague,facebook,False,1753432245.331285,,closedApp
breathingExercise,Europe/Prague,facebook,False,1753432569.4563808,6.0,openedApp
,Europe/Prague,facebook,False,1753432741.355424,,closedApp
breathingExercise,Europe/Prague,facebook,False,1753442242.6528702,6.0,dismissedAppOpening
breathingExercise,Europe/Prague,facebook,False,1753461803.803915,6.0,dismissedAppOpening
breathingExercise,Europe/Prague,facebook,False,1753530452.05356,6.0,openedApp
,Europe/Prague,facebook,False,1753531423.07194,,closedApp
breathingExercise,Europe/Prague,facebook,False,1753557563.1676478,6.0,openedApp
,Europe/Prague,facebook,False,1753558249.164723,,closedApp
breathingExercise,Europe/Prague,facebook,False,1753611955.1396542,6.0,openedApp
,Europe/Prague,facebook,False,1753612331.732792,,closedApp
breathingExercise,Europe/Prague,facebook,False,1753647043.944291,6.0,openedApp
,Europe/Prague,facebook,False,1753647319.407261,,closedApp
breathingExercise,Europe/Prague,facebook,False,1753681863.10174,6.0,openedApp
,Europe/Prague,facebook,False,1753681944.415776,,closedApp
,Europe/Prague,facebook,False,1753681988.4785218,,closedApp
breathingExercise,Europe/Prague,facebook,False,1753727375.293298,6.0,openedApp
,Europe/Prague,facebook,False,1753728181.491558,,closedApp
breathingExercise,Europe/Prague,facebook,False,1753730449.5169191,6.0,openedApp
,Europe/Prague,facebook,False,1753730724.1431699,,closedApp
breathingExercise,Europe/Prague,facebook,False,1753800950.646102,6.0,openedApp
,Europe/Prague,facebook,False,1753801672.635306,,closedApp
