interventionDuration,timestamp,resolution,app,timeIntervalUntilReIntervention,isReIntervention,timezone,interventionType
1.5,1752748042.4740071,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1752748107.489146,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1752750743.9079661,openedApp,instagram,180.0,False,Europe/Belgrade,breathingExercise
1.5,1752751794.955155,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1752753021.00297,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1752753634.49051,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1752759609.2866611,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1752759619.379884,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1752764533.979255,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1752766618.204657,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1752776390.8384109,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1752816980.866545,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1752823514.778405,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1752832732.311533,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1752837621.775751,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1752840629.816143,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1752844787.653002,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1752844797.567562,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1752845285.600774,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1752855404.923584,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1752855418.182234,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1752856005.059242,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1752857865.258041,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1752857874.4793038,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1752860601.915697,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1752860854.449184,openedApp,instagram,60.0,False,Europe/Belgrade,breathingExercise
1.5,1752870981.412869,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1752910645.064192,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1752920467.617804,openedApp,instagram,180.0,False,Europe/Belgrade,breathingExercise
1.5,1752923910.031011,openedApp,instagram,240.0,False,Europe/Belgrade,breathingExercise
1.5,1752924312.907329,openedApp,instagram,240.0,False,Europe/Belgrade,breathingExercise
1.5,1752924493.1110702,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1752928234.254178,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1752935607.507206,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1752941504.160544,openedApp,instagram,240.0,False,Europe/Belgrade,breathingExercise
1.5,1752941612.580833,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1752942436.6987839,openedApp,instagram,120.0,False,Europe/Belgrade,breathingExercise
1.5,1752942474.869369,openedApp,instagram,60.0,False,Europe/Belgrade,breathingExercise
1.5,1752957276.109846,openedApp,instagram,120.0,False,Europe/Belgrade,breathingExercise
1.5,1752957386.070977,openedApp,instagram,60.0,False,Europe/Belgrade,breathingExercise
1.5,1752957463.0443048,openedApp,instagram,60.0,False,Europe/Belgrade,breathingExercise
1.5,1752963428.150817,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753001916.4539862,openedApp,instagram,180.0,False,Europe/Belgrade,breathingExercise
1.5,1753002168.521364,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753009374.073298,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753009383.061664,openedApp,instagram,360.0,False,Europe/Belgrade,breathingExercise
1.5,1753012047.959137,openedApp,instagram,300.0,False,Europe/Belgrade,breathingExercise
1.5,1753022661.120312,openedApp,instagram,240.0,False,Europe/Belgrade,breathingExercise
1.5,1753026846.9174151,openedApp,instagram,240.0,False,Europe/Belgrade,breathingExercise
1.5,1753027470.45034,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753031808.7990499,openedApp,instagram,240.0,False,Europe/Belgrade,breathingExercise
1.5,1753032593.244108,openedApp,instagram,180.0,False,Europe/Belgrade,breathingExercise
1.5,1753033233.512591,openedApp,instagram,180.0,False,Europe/Belgrade,breathingExercise
1.5,1753034068.88488,openedApp,instagram,180.0,False,Europe/Belgrade,breathingExercise
1.5,1753038162.374158,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753049796.021666,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753089239.910346,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753113212.859648,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
1.5,1753113265.2245178,openedApp,instagram,240.0,False,Europe/Belgrade,breathingExercise
1.5,1753115894.718536,dismissedAppOpening,instagram,,False,Europe/Belgrade,breathingExercise
