interventionDuration,timezone,interventionType,app,resolution,isReIntervention,timestamp
1.5,America/New_York,breathingExercise,youtube,dismissedAppOpening,False,1752809501.5758228
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1752815734.184259
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1752852727.564466
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1752865860.750202
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1752874149.130945
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1752875349.3745189
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1752939883.589044
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1752949493.017906
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1752971852.017861
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1752984568.5955281
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1752988974.2591228
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1752988988.944888
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1752990189.300961
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1752990272.594809
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753020801.114001
1.5,America/New_York,breathingExercise,youtube,dismissedAppOpening,False,1753020919.594096
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753020924.218509
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753030497.9637809
1.5,America/New_York,breathingExercise,youtube,dismissedAppOpening,False,1753031003.396338
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753031014.5474792
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753050252.815732
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753069604.240941
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753069671.355186
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753073652.2962198
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753076009.014318
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753076076.1063719
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753076262.16602
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753077445.2591271
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753078395.58111
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753078423.352375
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753198165.8246431
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753199972.232143
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753218626.306085
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753218989.274843
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753219232.453208
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753219436.212476
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753219572.474557
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753227491.469046
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753230625.1353478
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753232117.6048641
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753243024.425233
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753244199.899214
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753247853.88065
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753284642.0548701
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753311048.843368
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753320903.246655
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753337755.297152
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753371284.0246549
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753410827.706973
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753424783.528346
1.5,America/New_York,breathingExercise,youtube,dismissedAppOpening,False,1753457817.4425402
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753459930.093044
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753460290.4476051
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753460609.91419
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753460837.939317
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753460964.710876
1.5,America/New_York,breathingExercise,youtube,dismissedAppOpening,False,1753461594.280167
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753462921.235584
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753479686.584367
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753507495.970238
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753510715.348164
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753548397.0877938
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753586399.031528
1.5,America/New_York,breathingExercise,youtube,dismissedAppOpening,False,1753587411.1456962
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753587416.807236
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753592540.818191
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753633790.430159
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753637398.582827
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753637541.221974
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753637605.9246578
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753638220.180026
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753646057.9259582
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753647156.659127
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753647771.852037
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753648807.362581
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753649197.3786922
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753649264.261939
1.5,America/New_York,breathingExercise,youtube,dismissedAppOpening,False,1753649719.038801
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753652346.3286529
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753708266.295281
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753708382.7972069
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753709668.6386828
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753715216.240757
1.5,America/New_York,breathingExercise,youtube,dismissedAppOpening,False,1753737901.829212
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753737947.515435
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753758711.724071
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753759801.338309
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753822347.439373
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753822468.5370789
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753838650.739431
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753847725.1030269
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753883916.863694
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753884336.742413
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753884980.283472
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753890371.3918672
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753890416.999498
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753895867.1037211
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753920363.612359
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753969186.299734
1.5,America/New_York,breathingExercise,youtube,openedApp,False,1753969848.0576658
6.0,America/New_York,breathingExercise,youtube,dismissedAppOpening,False,1754066659.753145
6.0,America/New_York,breathingExercise,youtube,openedApp,False,1754069403.636695
6.0,America/New_York,breathingExercise,youtube,openedApp,False,1754078286.9500442
6.0,America/New_York,breathingExercise,youtube,openedApp,False,1754151827.648541
6.0,America/New_York,breathingExercise,youtube,openedApp,False,1754152377.392834
6.0,America/New_York,breathingExercise,youtube,openedApp,False,1754163023.121881
6.0,America/New_York,breathingExercise,youtube,dismissedAppOpening,False,1754163108.92443
6.0,America/New_York,breathingExercise,youtube,openedApp,False,1754163145.587842
6.0,America/New_York,breathingExercise,youtube,openedApp,False,1754167838.691256
6.0,America/New_York,breathingExercise,youtube,openedApp,False,1754168948.023038
6.0,America/New_York,breathingExercise,youtube,openedApp,False,1754168989.802672
6.0,America/New_York,breathingExercise,youtube,openedApp,False,1754169047.359323
6.0,America/New_York,breathingExercise,youtube,openedApp,False,1754169342.3102698
6.0,America/New_York,breathingExercise,youtube,openedApp,False,1754172536.922927
6.0,America/New_York,breathingExercise,youtube,openedApp,False,1754235689.673164
6.0,America/New_York,breathingExercise,youtube,openedApp,False,1754236269.877583
6.0,America/New_York,breathingExercise,youtube,openedApp,False,1754236568.5409842
6.0,America/New_York,breathingExercise,youtube,dismissedAppOpening,False,1754241353.587883
6.0,America/New_York,breathingExercise,youtube,openedApp,False,1754244168.489705
6.0,America/New_York,breathingExercise,youtube,openedApp,False,1754287377.590543
6.0,America/New_York,breathingExercise,youtube,dismissedAppOpening,False,1754291329.478127
6.0,America/New_York,breathingExercise,youtube,dismissedAppOpening,False,1754291332.635293
6.0,America/New_York,breathingExercise,youtube,openedApp,False,1754315592.338702
6.0,America/New_York,breathingExercise,youtube,openedApp,False,1754315899.003211
6.0,America/New_York,breathingExercise,youtube,openedApp,False,1754319960.919554
6.0,America/New_York,breathingExercise,youtube,openedApp,False,1754320101.458947
6.0,America/New_York,breathingExercise,youtube,dismissedAppOpening,False,1754322215.8483438
6.0,America/New_York,breathingExercise,youtube,openedApp,False,1754335847.834337
6.0,America/New_York,breathingExercise,youtube,openedApp,False,1754376459.451806
6.0,America/New_York,breathingExercise,youtube,dismissedAppOpening,False,1754413603.292067
6.0,America/New_York,breathingExercise,youtube,openedApp,False,1754422012.863964
