resolution,timestamp,app,isReIntervention,interventionDuration,timezone,interventionType,terminationReason
dismissedAppOpening,1750717860.266045,instagram,0.0,1.5,America/El_Salvador,breathingExercise,
dismissedAppOpening,1750718173.911387,instagram,0.0,1.5,America/El_Salvador,breathingExercise,
,1750718388.7030048,,,,,,terminatedByUser
