interventionType,resolution,isReIntervention,app,timestamp,timezone,interventionDuration
breathingExercise,openedApp,False,tikTok,1750688673.9138951,Asia/Almaty,1.5
breathingExercise,dismissedAppOpening,False,tikTok,1750700297.072607,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750707788.0938559,Asia/Almaty,1.5
breathingExercise,dismissedAppOpening,False,tikTok,1750708169.504798,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750708183.386293,Asia/Almaty,1.5
breathingExercise,dismissedAppOpening,False,tikTok,1750710823.20698,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750718305.52876,Asia/Almaty,1.5
breathingExercise,dismissedAppOpening,False,tikTok,1750718586.29016,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750718593.0522342,Asia/Almaty,1.5
breathingExercise,dismissedAppOpening,False,tikTok,1750718789.471216,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750764831.080967,Asia/Almaty,1.5
breathingExercise,dismissedAppOpening,False,tikTok,1750765112.6450639,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750765296.573851,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750766202.762587,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750766447.408383,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750781913.26368,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750784527.3217812,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750785231.192562,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750785859.590725,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750786406.046345,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750791159.928872,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750794525.013628,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750794821.858478,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750795310.3715029,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750795977.247781,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750796173.060132,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750799665.997096,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750821195.2921162,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750827080.161964,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750834178.254548,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750836290.582268,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750840452.813534,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750840702.017939,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750854694.021797,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750854944.2021198,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750856542.493393,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750856830.963937,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750866104.272522,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750867281.041048,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750882715.1073852,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750883553.560031,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750883972.021154,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750886106.109404,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750887198.885024,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750888399.257112,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750892567.978273,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750929310.248022,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750930101.99319,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750937370.406786,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750959838.413667,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750962963.313128,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750963327.3032532,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750963426.726412,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750963948.291978,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750965910.470152,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750967754.789964,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1750968041.69824,Asia/Almaty,1.5
breathingExercise,dismissedAppOpening,False,tikTok,1750968303.276864,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751009043.717138,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751016838.3989801,Asia/Almaty,1.5
breathingExercise,dismissedAppOpening,False,tikTok,1751018698.104919,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751018705.160249,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751019909.355927,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751020910.611855,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751021173.147345,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751031415.8786268,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751045702.363298,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751045726.0323792,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751064817.5391989,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751066374.147933,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751066931.355717,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751102756.835098,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751103308.3076382,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751105801.123106,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751110086.988155,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751110385.209538,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751110451.2174258,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751111810.086872,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751119734.1862159,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751126369.1692948,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751128169.850189,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751128685.337585,Asia/Almaty,1.5
breathingExercise,dismissedAppOpening,False,tikTok,1751129059.627013,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751129139.539973,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751129739.5772018,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751136271.938283,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751166913.2815042,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751175896.436116,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751189535.103054,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751192420.7836452,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751192741.029004,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751193274.0871181,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751193754.157576,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751198847.1926851,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751199156.9560308,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751202064.816158,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751208495.9747891,Asia/Almaty,1.5
breathingExercise,dismissedAppOpening,False,tikTok,1751208904.2068748,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751208912.270318,Asia/Almaty,1.5
breathingExercise,openedApp,False,tikTok,1751209300.5626888,Asia/Almaty,1.5
