purpose,isReIntervention,timestamp,resolution,app,interventionDuration,timezone,interventionType,timeIntervalUntilReIntervention
Nieuwsgierig ,False,1749906547.9210958,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Bericht,False,1749913907.487846,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749913998.24129,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,True,1749914070.938165,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Zoek informatie,False,1749914254.247062,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749914332.561805,closedApp,NOS,,Europe/Amsterdam,,
,False,1749914560.028748,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1749923379.670603,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749923405.740282,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
,False,1749923520.312272,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
,False,1749923672.135583,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1749926360.5618649,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749926399.675905,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Zoek informatie,False,1749926825.404768,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749926912.2285051,closedApp,NOS,,Europe/Amsterdam,,
,False,1749926937.19576,closedApp,NOS,,Europe/Amsterdam,,
,False,1749926947.300552,closedApp,NOS,,Europe/Amsterdam,,
Nieuwsgierig ,False,1749929725.891817,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749931154.198808,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Zoek informatie,False,1749931254.17948,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749931263.882906,closedApp,NOS,,Europe/Amsterdam,,
,False,1749931265.289988,closedApp,NOS,,Europe/Amsterdam,,
,False,1749931265.464366,closedApp,NOS,,Europe/Amsterdam,,
,False,1749931290.7946382,closedApp,NOS,,Europe/Amsterdam,,
,False,1749931424.963917,closedApp,NOS,,Europe/Amsterdam,,
,False,1749931429.790635,closedApp,NOS,,Europe/Amsterdam,,
Nieuwsgierig ,False,1749932955.333626,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749933894.531269,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749933924.694351,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,300.0
,False,1749934460.674046,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Zoek informatie,False,1749935724.404659,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749935726.176352,closedApp,NOS,,Europe/Amsterdam,,
,False,1749935751.802834,closedApp,NOS,,Europe/Amsterdam,,
Zoek informatie,False,1749936307.7531781,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1749966600.470041,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,300.0
,False,1749936442.720039,closedApp,NOS,,Europe/Amsterdam,,
,False,1749936607.166984,closedApp,NOS,,Europe/Amsterdam,,
,False,1749936756.531241,closedApp,NOS,,Europe/Amsterdam,,
Nieuwsgierig ,False,1749966855.226161,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,120.0
Nieuwsgierig ,False,1749966989.6316519,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1749967017.39004,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Zoek informatie,False,1749967107.0814018,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749967413.5829139,closedApp,NOS,,Europe/Amsterdam,,
Zoek informatie,False,1749968744.329391,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749968766.0079532,closedApp,NOS,,Europe/Amsterdam,,
,False,1749968817.044788,closedApp,NOS,,Europe/Amsterdam,,
,False,1749968969.182798,closedApp,NOS,,Europe/Amsterdam,,
Nieuwsgierig ,False,1749969377.637171,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749978544.805567,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1749983521.694481,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1749984485.286003,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749984507.270853,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,120.0
,False,1749984564.708438,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
,False,1749984598.982635,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1749986138.147225,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749986285.306535,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749988792.7370992,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,True,1749988880.182283,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
,False,1749989192.9640799,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1749989436.104127,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749990107.381304,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749991521.9272032,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,240.0
Nieuwsgierig ,False,1749991853.509294,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Blijf in de lus,True,1749991927.813777,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,300.0
,False,1749992200.2654161,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1749992352.425386,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
,False,1749992540.3144941,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1749992612.666781,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,300.0
Nieuwsgierig ,False,1749992849.0146852,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1749993204.90031,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,300.0
Zoek informatie,False,1749993497.0036669,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749993498.9943938,closedApp,NOS,,Europe/Amsterdam,,
,False,1749993650.001576,closedApp,NOS,,Europe/Amsterdam,,
Nieuwsgierig ,False,1749993906.9246569,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,120.0
Nieuwsgierig ,False,1749996128.874769,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,120.0
Nieuwsgierig ,False,1749996387.274565,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Zoek informatie,False,1749996470.555276,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749996474.9124851,closedApp,NOS,,Europe/Amsterdam,,
,False,1749996513.284025,closedApp,NOS,,Europe/Amsterdam,,
Nieuwsgierig ,False,1749997463.548229,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,300.0
Nieuwsgierig ,False,1749997859.575491,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,True,1749998053.559915,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,300.0
Zoek informatie,False,1749998404.825292,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1749998415.745317,closedApp,NOS,,Europe/Amsterdam,,
,False,1749998436.511819,closedApp,NOS,,Europe/Amsterdam,,
,False,1749998437.7936091,closedApp,NOS,,Europe/Amsterdam,,
,False,1749998782.069769,closedApp,NOS,,Europe/Amsterdam,,
Nieuwsgierig ,False,1749999294.142302,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750001023.864567,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
,False,1750002297.341192,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1750006166.592875,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
,False,1750006706.188179,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1750006716.4384809,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,120.0
Nieuwsgierig ,False,1750006762.9219542,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750012270.799485,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1750014352.426008,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,240.0
Nieuwsgierig ,False,1750014792.868648,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750016346.219442,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1750016456.589038,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
Zoek informatie,False,1750017558.472084,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1750017562.015585,closedApp,NOS,,Europe/Amsterdam,,
,False,1750017677.4181151,closedApp,NOS,,Europe/Amsterdam,,
Nieuwsgierig ,False,1750018622.21486,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Zoek informatie,False,1750021077.160681,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1750021082.720093,closedApp,NOS,,Europe/Amsterdam,,
,False,1750021250.550764,closedApp,NOS,,Europe/Amsterdam,,
Nieuwsgierig ,False,1750021904.036285,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Post iets,False,1750052985.408977,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,300.0
Nieuwsgierig ,False,1750053277.198519,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
Bericht,False,1750053349.7405992,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1750053488.9852982,closedApp,NOS,,Europe/Amsterdam,,
Nieuwsgierig ,False,1750054031.6224198,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
Blijf in de lus,True,1750054227.603733,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
,False,1750054486.005169,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Bericht,False,1750055247.8497329,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1750056227.8078961,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1750058141.534895,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,240.0
Bericht,False,1750060177.461862,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750060298.5128012,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750061816.970595,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750064156.790865,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1750064925.6110659,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1750065595.8659601,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750068586.413245,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
,False,1750068874.514247,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1750068890.515308,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,240.0
Zoek informatie,False,1750069120.958754,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,240.0
Nieuwsgierig ,False,1750069879.5257812,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750070052.794909,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,240.0
Nieuwsgierig ,False,1750072077.9826589,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1750072426.9439359,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,240.0
,False,1750072529.9930692,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1750072936.60121,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,240.0
,False,1750073156.98764,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1750073249.844688,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
,False,1750073561.8843231,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Zoek informatie,False,1750073590.3747048,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1750073599.273354,closedApp,NOS,,Europe/Amsterdam,,
,False,1750073639.245676,closedApp,NOS,,Europe/Amsterdam,,
,False,1750073676.9343638,closedApp,NOS,,Europe/Amsterdam,,
,False,1750073752.228924,closedApp,NOS,,Europe/Amsterdam,,
,False,1750073852.666645,closedApp,NOS,,Europe/Amsterdam,,
,False,1750074192.024364,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1750074210.7443562,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750074745.943089,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750074858.4008431,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1750076536.8361201,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Bericht,False,1750078159.608173,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750079848.1895242,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Bericht,False,1750081287.255258,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1750081360.739614,closedApp,NOS,,Europe/Amsterdam,,
Bericht,False,1750081388.0348392,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,120.0
Nieuwsgierig ,False,1750082258.924487,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,True,1750082349.575966,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
,False,1750082818.731431,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1750084626.721078,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,120.0
,False,1750084765.071549,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1750085082.308199,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,True,1750085174.779519,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,300.0
Bericht,False,1750085372.426083,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750086077.629702,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
,False,1750086168.670455,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1750090168.944752,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750090182.593161,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750093151.127365,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750093949.606618,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,240.0
Nieuwsgierig ,False,1750094311.1861281,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750095032.9865398,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750095947.898669,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,True,1750096036.832137,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,240.0
Zoek informatie,False,1750096082.731526,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1750096177.819886,closedApp,NOS,,Europe/Amsterdam,,
,False,1750096290.165293,closedApp,NOS,,Europe/Amsterdam,,
,False,1750096341.6293612,closedApp,NOS,,Europe/Amsterdam,,
Post iets,False,1750097776.092146,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,300.0
Nieuwsgierig ,False,1750097960.5552778,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750098448.3322148,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750098716.064701,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750101015.754318,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,120.0
Nieuwsgierig ,False,1750101413.3142881,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,120.0
Nieuwsgierig ,True,1750101548.322669,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1750102577.5756931,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750103806.868943,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,120.0
Zoek informatie,False,1750103929.6188312,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1750104026.5702128,closedApp,NOS,,Europe/Amsterdam,,
Nieuwsgierig ,False,1750105518.0703921,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750105525.6602979,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750105604.351629,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1750106941.8266711,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1750141906.302144,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,True,1750142103.659243,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,True,1750142293.276013,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,300.0
Nieuwsgierig ,False,1750142416.6479669,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,300.0
,False,1750142842.899909,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1750143429.083911,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750144764.359586,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,300.0
Nieuwsgierig ,True,1750145078.9872332,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,240.0
Nieuwsgierig ,False,1750146445.97297,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,240.0
Nieuwsgierig ,True,1750146701.4139528,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Zoek informatie,False,1750147078.1879048,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1750147817.389693,closedApp,NOS,,Europe/Amsterdam,,
Nieuwsgierig ,False,1750147825.510062,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750149521.024693,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750150734.123699,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750151792.045566,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,True,1750151912.431662,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,240.0
Zoek informatie,True,1750152161.697654,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
Zoek informatie,False,1750152271.7048259,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1750152283.636138,closedApp,NOS,,Europe/Amsterdam,,
,False,1750152346.208272,closedApp,NOS,,Europe/Amsterdam,,
Nieuwsgierig ,False,1750153526.4717422,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750155812.43426,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750155852.895121,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
,False,1750156271.8437881,dismissedAppOpening,facebook,1.5,Europe/Amsterdam,breathingExercise,
Zoek informatie,False,1750156288.553742,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1750156300.9242868,closedApp,NOS,,Europe/Amsterdam,,
,False,1750156671.214606,closedApp,NOS,,Europe/Amsterdam,,
Blijf in de lus,False,1750157177.189907,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,120.0
Nieuwsgierig ,False,1750160889.4549599,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
Zoek informatie,False,1750161569.6072369,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,True,1750161721.164437,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,300.0
Nieuwsgierig ,False,1750162360.942522,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1750165094.468935,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Zoek informatie,False,1750166766.971333,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1750166791.5400882,closedApp,NOS,,Europe/Amsterdam,,
Nieuwsgierig ,False,1750168619.053993,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750170782.389255,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1750174675.580741,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750174708.800929,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Bericht,False,1750177925.981617,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Ontsnappen / Vermijden,False,1750181092.972423,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,240.0
Nieuwsgierig ,False,1750181347.436985,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,120.0
,False,1750181678.8630009,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1750182525.584653,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750182546.110735,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
,False,1750182673.12538,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1750183235.49305,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,240.0
Nieuwsgierig ,False,1750183288.8017821,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750185254.334619,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750185398.546103,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750186315.166572,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750186373.637906,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1750186895.147571,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Zoek informatie,False,1750186989.1314769,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1750186993.1651978,closedApp,NOS,,Europe/Amsterdam,,
,False,1750187202.209618,closedApp,NOS,,Europe/Amsterdam,,
Nieuwsgierig ,False,1750191259.4125462,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1750191283.005721,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1750191495.794673,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,300.0
,False,1750192199.0643358,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1750193200.094009,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
,False,1750193271.0266109,dismissedAppOpening,instagram,1.5,Europe/Amsterdam,breathingExercise,
Nieuwsgierig ,False,1750193283.3741179,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,300.0
Nieuwsgierig ,False,1750193475.328207,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,120.0
Nieuwsgierig ,False,1750194462.2939448,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
Bericht,False,1750195911.862706,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1750195915.574195,closedApp,NOS,,Europe/Amsterdam,,
,False,1750195948.449391,closedApp,NOS,,Europe/Amsterdam,,
Blijf in de lus,False,1750196583.005087,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1750224703.095087,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,True,1750224781.170552,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1750225712.178259,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,300.0
Nieuwsgierig ,True,1750226026.931354,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,300.0
Zoek informatie,False,1750226316.9547,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1750226318.889291,closedApp,NOS,,Europe/Amsterdam,,
,False,1750226560.5740108,closedApp,NOS,,Europe/Amsterdam,,
Zoek informatie,False,1750226717.9711518,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1750226857.417107,closedApp,NOS,,Europe/Amsterdam,,
Nieuwsgierig ,False,1750227574.898096,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1750228576.981419,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,180.0
Zoek informatie,False,1750228760.600525,openedApp,NOS,1.5,Europe/Amsterdam,breathingExercise,
,False,1750228763.09307,closedApp,NOS,,Europe/Amsterdam,,
,False,1750228880.571563,closedApp,NOS,,Europe/Amsterdam,,
Nieuwsgierig ,False,1750230306.5851011,openedApp,facebook,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750230419.773031,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Nieuwsgierig ,False,1750230671.4832,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
Blijf in de lus,True,1750230743.1040912,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,180.0
Nieuwsgierig ,False,1750231091.475816,openedApp,instagram,1.5,Europe/Amsterdam,breathingExercise,60.0
