interventionDuration,resolution,timeIntervalUntilReIntervention,timezone,timestamp,app,interventionType,isReIntervention,purpose
1.5,openedApp,60.0,Europe/Kiev,1751071990.0540152,instagram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751071992.268517,telegram,askForTimeLimit,False,
1.5,dismissedAppOpening,,Europe/Kiev,1751072075.775624,threads,breathingExercise,False,
1.5,openedApp,60.0,Europe/Kiev,1751072078.822969,telegram,askForTimeLimit,False,
1.5,openedApp,360.0,Europe/Kiev,1751075299.273493,telegram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751075448.508719,telegram,askForTimeLimit,False,
1.5,openedApp,1800.0,Europe/Kiev,1751106565.89554,telegram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751106783.095975,telegram,askForTimeLimit,False,
1.5,openedApp,420.0,Europe/Kiev,1751107198.2632399,telegram,askForTimeLimit,False,
1.5,openedApp,660.0,Europe/Kiev,1751113601.896216,telegram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751113723.746295,telegram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751113789.105507,telegram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751113848.87872,instagram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751113851.626396,telegram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751113876.067466,telegram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751113938.394884,telegram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751114032.649127,telegram,breathingExercise,True,Message
1.5,openedApp,60.0,Europe/Kiev,1751114200.014235,telegram,breathingExercise,False,Message
1.5,openedApp,60.0,Europe/Kiev,1751118095.456806,telegram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751118102.319632,instagram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751118659.4884439,instagram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751118661.2775111,telegram,askForTimeLimit,False,
1.5,openedApp,540.0,Europe/Kiev,1751120372.060777,telegram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751120695.595607,telegram,askForTimeLimit,False,
1.5,openedApp,60.0,Europe/Kiev,1751120770.9871511,telegram,breathingExercise,True,Message
1.5,openedApp,60.0,Europe/Kiev,1751122381.616751,telegram,askForTimeLimit,False,
