timezone,timestamp,resolution,interventionDuration,app,interventionType,isReIntervention,purpose,terminationReason
America/Los_Angeles,1748839954.616407,dismissedAppOpening,1.5,firefoxFocus,breathingExercise,0.0,,
America/Los_Angeles,1748883776.9075341,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Search Info,
America/Los_Angeles,1748896728.716619,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Bored,
America/Los_Angeles,1748897271.661055,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Bored,
America/Los_Angeles,1748908830.168864,dismissedAppOpening,1.5,firefoxFocus,breathingExercise,0.0,,
America/Los_Angeles,1748934419.456003,dismissedAppOpening,1.5,google,breathingExercise,0.0,,
America/Los_Angeles,1748935290.63991,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Relax,
America/Los_Angeles,1748968273.383933,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Message,
America/Los_Angeles,1748968348.59743,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Message,
America/Los_Angeles,1748977024.1783009,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Bored,
America/Los_Angeles,1748979375.067864,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Escape / Avoid,
America/Los_Angeles,1748987239.407028,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Search Info,
America/Los_Angeles,1749005642.839178,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Search Info,
America/Los_Angeles,1749007454.950311,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Entertainment,
America/Los_Angeles,1749009640.6162739,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Entertainment,
America/Los_Angeles,1749016192.709618,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Entertainment,
America/Los_Angeles,1749021649.692669,dismissedAppOpening,1.5,firefoxFocus,breathingExercise,0.0,,
America/Los_Angeles,1749021663.566553,dismissedAppOpening,1.5,firefoxFocus,breathingExercise,0.0,,
America/Los_Angeles,1749052845.448894,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Search Info,
America/Los_Angeles,1749054616.7689528,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Escape / Avoid,
America/Los_Angeles,1749057002.373263,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Search Info,
America/Los_Angeles,1749059860.701658,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Escape / Avoid,
America/Los_Angeles,1749062322.532432,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Entertainment,
America/Los_Angeles,1749077428.941988,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Entertainment,
America/Los_Angeles,1749092857.848494,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Search Info,
America/Los_Angeles,1749093020.0001411,dismissedAppOpening,1.5,firefoxFocus,breathingExercise,0.0,,
America/Los_Angeles,1749093048.026448,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Entertainment,
America/Los_Angeles,1749100226.409542,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Search Info,
America/Los_Angeles,1749109259.175661,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Search Info,
America/Los_Angeles,1749109360.434854,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Search Info,
America/Los_Angeles,1749143019.3638592,openedApp,1.5,firefoxFocus,breathingExercise,0.0,Entertainment,
