timestamp,timezone,interventionType,app,interventionDuration,isReIntervention,resolution,purpose,timeIntervalUntilReIntervention
1751037791.3277822,America/Toronto,breathingExercise,instagram,1.5,False,openedApp,Work,
1751060220.463423,America/Toronto,breathingExercise,facebook,1.5,False,openedApp,Message,
1751060563.7290468,America/Toronto,breathingExercise,facebook,1.5,False,openedApp,Message,
1751060587.884208,America/Toronto,breathingExercise,facebook,1.5,False,openedApp,Message,
1751060607.0448198,America/Toronto,breathingExercise,facebook,1.5,False,dismissedAppOpening,,
1751060681.847918,America/Toronto,breathingExercise,facebook,1.5,False,dismissedAppOpening,,
1751060684.7200599,America/Toronto,breathingExercise,facebook,1.5,False,dismissedAppOpening,,
1751060687.5536551,America/Toronto,breathingExercise,facebook,1.5,False,dismissedAppOpening,,
1751112348.8866029,America/Toronto,breathingExercise,instagram,1.5,False,dismissedAppOpening,,
1751136253.766375,America/Toronto,breathingExercise,facebook,1.5,False,openedApp,Message,120.0
1751138487.3447251,America/Toronto,breathingExercise,instagram,1.5,False,openedApp,Post something,180.0
1751138568.740385,America/Toronto,breathingExercise,instagram,1.5,False,dismissedAppOpening,,
1751138588.3697119,America/Toronto,breathingExercise,instagram,1.5,False,openedApp,Post something,60.0
1751138729.660109,America/Toronto,breathingExercise,instagram,1.5,False,openedApp,Post something,180.0
1751138910.26753,America/Toronto,breathingExercise,instagram,1.5,False,openedApp,Post something,180.0
1751139073.2226992,America/Toronto,breathingExercise,facebook,1.5,False,openedApp,Post something,180.0
1751139271.902227,America/Toronto,breathingExercise,instagram,1.5,False,dismissedAppOpening,,
1751154203.3849468,America/Toronto,breathingExercise,facebook,1.5,False,openedApp,Stay In the Loop,180.0
1751154402.589241,America/Toronto,breathingExercise,facebook,1.5,False,dismissedAppOpening,,
1751157830.864625,America/Toronto,breathingExercise,instagram,1.5,False,openedApp,Check likes,120.0
1751161370.7030668,America/Toronto,breathingExercise,instagram,1.5,False,openedApp,Check likes,120.0
1751219874.199336,America/Toronto,breathingExercise,instagram,1.5,False,openedApp,Work,60.0
1751296984.462582,America/Toronto,breathingExercise,facebook,1.5,False,openedApp,Check likes,180.0
1751297186.6306438,America/Toronto,breathingExercise,instagram,1.5,False,openedApp,Check likes,300.0
1751297825.808007,America/Toronto,breathingExercise,instagram,1.5,False,openedApp,Check likes,180.0
1751298026.4014812,America/Toronto,breathingExercise,instagram,1.5,False,openedApp,Stay In the Loop,360.0
1751298115.476719,America/Toronto,breathingExercise,instagram,1.5,False,openedApp,Check likes,300.0
1751388076.8358011,America/Toronto,breathingExercise,instagram,1.5,False,openedApp,Work,480.0
1751388156.150095,America/Toronto,breathingExercise,instagram,1.5,False,openedApp,Work,420.0
1751388321.316827,America/Toronto,breathingExercise,instagram,1.5,False,openedApp,Work,360.0
1751421101.8204331,America/Toronto,breathingExercise,instagram,1.5,False,dismissedAppOpening,,
1751482852.457768,America/Toronto,breathingExercise,instagram,1.5,False,openedApp,Work,480.0
1751483005.865351,America/Toronto,breathingExercise,instagram,1.5,False,openedApp,Work,420.0
1751546546.161037,America/Toronto,breathingExercise,instagram,1.5,False,openedApp,Stay In the Loop,180.0
1751568460.121917,America/Toronto,breathingExercise,instagram,1.5,False,openedApp,Work,420.0
1751568916.0609589,America/Toronto,breathingExercise,instagram,1.5,False,openedApp,Work,360.0
