interventionDuration,timestamp,isReIntervention,interventionType,timezone,app,resolution
1.5,1750743044.702399,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750743057.1406898,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750743067.204639,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750747713.789833,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750747817.9163089,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750747864.671376,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750747942.6601949,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750747976.492237,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750748218.3813229,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750748682.488277,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750751157.144702,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750751200.868136,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750752092.734439,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750754719.6029139,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750754853.737808,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750758975.087741,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750762354.554009,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750762486.301806,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750767507.026486,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750770444.346301,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
,1750770669.698337,False,,Asia/Kolkata,instagram,closedApp
,1750770669.707278,False,,Asia/Kolkata,instagram,closedApp
,1750770681.207926,False,,Asia/Kolkata,instagram,closedApp
,1750770681.212678,False,,Asia/Kolkata,instagram,closedApp
1.5,1750776131.467039,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750776295.3085032,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750780554.831712,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750780829.27595,False,breathingExercise,Asia/Kolkata,whastapp,dismissedAppOpening
1.5,1750780910.515312,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750780942.379345,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750781016.74797,False,breathingExercise,Asia/Kolkata,instagram,openedApp
,1750781245.890757,False,,Asia/Kolkata,instagram,closedApp
1.5,1750783393.716229,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750784659.2612848,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
1.5,1750785276.068777,False,breathingExercise,Asia/Kolkata,whastapp,openedApp
