timestamp,isReIntervention,resolution,app,timezone,interventionType,interventionDuration
1751192941.310101,False,openedApp,youtube,Europe/Lisbon,,
1751193001.310101,False,closedApp,youtube,Europe/Lisbon,,
1751193001.310101,False,dismissedAppOpening,youtube,Europe/Lisbon,,
1751209683.024805,False,dismissedAppOpening,youtube,Europe/Lisbon,breathingExercise,1.5
1751231551.449599,False,openedApp,youtube,Europe/Lisbon,,
1751231611.449599,False,closedApp,youtube,Europe/Lisbon,,
1751231611.4496,False,dismissedAppOpening,youtube,Europe/Lisbon,,
1751234846.430242,False,openedApp,youtube,Europe/Lisbon,,
1751234906.430242,False,closedApp,youtube,Europe/Lisbon,,
1751234906.430242,False,dismissedAppOpening,youtube,Europe/Lisbon,,
1751277489.006118,False,openedApp,youtube,Europe/Lisbon,,
1751277549.006118,False,closedApp,youtube,Europe/Lisbon,,
1751277549.006118,False,dismissedAppOpening,youtube,Europe/Lisbon,,
1751292795.07566,False,openedApp,youtube,Europe/Lisbon,,
1751292855.07566,False,closedApp,youtube,Europe/Lisbon,,
1751292855.07566,False,dismissedAppOpening,youtube,Europe/Lisbon,,
1751462475.901135,False,openedApp,youtube,Europe/Lisbon,,
1751462535.901135,False,closedApp,youtube,Europe/Lisbon,,
1751462535.901135,False,dismissedAppOpening,youtube,Europe/Lisbon,,
1751470116.023501,False,openedApp,youtube,Europe/Lisbon,breathingExercise,1.5
1751476781.015255,False,openedApp,youtube,Europe/Lisbon,,
1751476841.015255,False,closedApp,youtube,Europe/Lisbon,,
1751476841.015255,False,dismissedAppOpening,youtube,Europe/Lisbon,,
1751476982.795485,False,openedApp,youtube,Europe/Lisbon,,
1751477042.795486,False,closedApp,youtube,Europe/Lisbon,,
1751477042.795486,False,dismissedAppOpening,youtube,Europe/Lisbon,,
1751533063.15115,False,openedApp,youtube,Europe/Lisbon,,
1751533123.15115,False,closedApp,youtube,Europe/Lisbon,,
1751533123.15115,False,dismissedAppOpening,youtube,Europe/Lisbon,,
1751538739.806487,False,openedApp,youtube,Europe/Lisbon,,
1751538799.806487,False,closedApp,youtube,Europe/Lisbon,,
1751538799.806487,False,dismissedAppOpening,youtube,Europe/Lisbon,,
1751543715.3143759,False,openedApp,youtube,Europe/Lisbon,,
1751543775.3143759,False,closedApp,youtube,Europe/Lisbon,,
1751543775.3143759,False,dismissedAppOpening,youtube,Europe/Lisbon,,
1751560591.4477391,False,openedApp,youtube,Europe/Lisbon,,
1751560651.4477391,False,closedApp,youtube,Europe/Lisbon,,
1751560651.4477391,False,dismissedAppOpening,youtube,Europe/Lisbon,,
1751563852.396048,False,openedApp,youtube,Europe/Lisbon,,
1751563912.396049,False,closedApp,youtube,Europe/Lisbon,,
1751563912.396049,False,dismissedAppOpening,youtube,Europe/Lisbon,,
1751583639.188818,False,openedApp,youtube,Europe/Lisbon,,
1751583699.188818,False,closedApp,youtube,Europe/Lisbon,,
1751583699.188818,False,dismissedAppOpening,youtube,Europe/Lisbon,,
1751646790.7480059,False,openedApp,youtube,Europe/Lisbon,,
1751646850.7480059,False,closedApp,youtube,Europe/Lisbon,,
1751646850.7480059,False,dismissedAppOpening,youtube,Europe/Lisbon,,
1751648671.4712229,False,openedApp,youtube,Europe/Lisbon,,
1751648731.4712229,False,closedApp,youtube,Europe/Lisbon,,
1751648731.4712238,False,dismissedAppOpening,youtube,Europe/Lisbon,,
1751711346.0398731,False,openedApp,youtube,Europe/Lisbon,,
1751711406.039874,False,closedApp,youtube,Europe/Lisbon,,
1751711406.039874,False,dismissedAppOpening,youtube,Europe/Lisbon,,
1751711410.0536199,False,openedApp,youtube,Europe/Lisbon,,
1751711470.0536199,False,closedApp,youtube,Europe/Lisbon,,
1751711470.0536199,False,dismissedAppOpening,youtube,Europe/Lisbon,,
1751740616.150425,False,openedApp,youtube,Europe/Lisbon,breathingExercise,1.5
1751741533.600606,False,openedApp,youtube,Europe/Lisbon,breathingExercise,1.5
1751919187.251593,False,openedApp,youtube,Europe/Lisbon,,
1751919247.251593,False,closedApp,youtube,Europe/Lisbon,,
1751919247.251593,False,dismissedAppOpening,youtube,Europe/Lisbon,,
1751926995.012671,False,openedApp,youtube,Europe/Lisbon,,
1751927055.012672,False,closedApp,youtube,Europe/Lisbon,,
1751927055.012672,False,dismissedAppOpening,youtube,Europe/Lisbon,,
1751930263.381274,False,openedApp,youtube,Europe/Lisbon,breathingExercise,1.5
1752078762.814985,False,openedApp,youtube,Europe/Lisbon,,
1752078822.814986,False,closedApp,youtube,Europe/Lisbon,,
