interventionType,app,interventionDuration,isReIntervention,timestamp,timezone,resolution,purpose
breathingExercise,snapchat,1.5,False,1752519248.968701,Asia/Kolkata,dismissedAppOpening,
breathingExercise,snapchat,1.5,False,1752521078.745388,Asia/Kolkata,dismissedAppOpening,
breathingExercise,instagram,1.5,False,1752523798.196281,Asia/Kolkata,dismissedAppOpening,
breathingExercise,youtube,1.5,False,1752523896.236409,Asia/Kolkata,dismissedAppOpening,
breathingExercise,snapchat,1.5,False,1752523972.042667,Asia/Kolkata,dismissedAppOpening,
breathingExercise,snapchat,1.5,False,1752525699.975326,Asia/Kolkata,dismissedAppOpening,
breathingExercise,instagram,1.5,False,1752536937.495395,Asia/Kolkata,openedApp,Entertainment
breathingExercise,snapchat,1.5,False,1752536998.788444,Asia/Kolkata,openedApp,Entertainment
breathingExercise,snapchat,1.5,False,1752537074.5248241,Asia/Kolkata,dismissedAppOpening,
breathingExercise,youtube,1.5,False,1752537158.390316,Asia/Kolkata,openedApp,Entertainment
breathingExercise,instagram,1.5,False,1752550860.27932,Asia/Kolkata,dismissedAppOpening,
breathingExercise,snapchat,1.5,False,1752566285.9690619,Asia/Kolkata,dismissedAppOpening,
breathingExercise,instagram,1.5,False,1752566638.1326308,Asia/Kolkata,openedApp,Entertainment
breathingExercise,clashOfClans,1.5,False,1752567258.2156491,Asia/Kolkata,openedApp,Entertainment
breathingExercise,clashOfClans,1.5,False,1752567399.5544848,Asia/Kolkata,dismissedAppOpening,
breathingExercise,youtube,1.5,False,1752569460.271816,Asia/Kolkata,openedApp,Entertainment
breathingExercise,youtube,1.5,False,1752569749.9110708,Asia/Kolkata,openedApp,Entertainment
breathingExercise,youtube,1.5,False,1752580193.3148541,Asia/Kolkata,dismissedAppOpening,
breathingExercise,instagram,1.5,False,1752580397.725152,Asia/Kolkata,openedApp,Entertainment
breathingExercise,snapchat,1.5,False,1752581637.709207,Asia/Kolkata,openedApp,Entertainment
breathingExercise,clashOfClans,1.5,False,1752582071.271234,Asia/Kolkata,openedApp,Entertainment
breathingExercise,snapchat,1.5,False,1752583226.435421,Asia/Kolkata,dismissedAppOpening,
breathingExercise,instagram,1.5,False,1752583422.4183578,Asia/Kolkata,openedApp,Escape / Avoid
breathingExercise,snapchat,1.5,False,1752585912.739948,Asia/Kolkata,dismissedAppOpening,
breathingExercise,instagram,1.5,False,1752586168.757128,Asia/Kolkata,dismissedAppOpening,
breathingExercise,instagram,1.5,False,1752588439.988477,Asia/Kolkata,openedApp,Escape / Avoid
breathingExercise,instagram,1.5,False,1752588882.388438,Asia/Kolkata,dismissedAppOpening,
breathingExercise,instagram,1.5,False,1752588889.364437,Asia/Kolkata,openedApp,Escape / Avoid
breathingExercise,youtube,1.5,False,1752590877.3964682,Asia/Kolkata,openedApp,Study
breathingExercise,youtube,1.5,False,1752591173.144738,Asia/Kolkata,dismissedAppOpening,
breathingExercise,youtube,1.5,False,1752591175.491678,Asia/Kolkata,dismissedAppOpening,
breathingExercise,youtube,1.5,False,1752591178.4404712,Asia/Kolkata,dismissedAppOpening,
breathingExercise,youtube,1.5,False,1752591195.905643,Asia/Kolkata,openedApp,Study
breathingExercise,clashOfClans,1.5,False,1752593357.5697222,Asia/Kolkata,openedApp,Entertainment
breathingExercise,snapchat,1.5,False,1752596130.244492,Asia/Kolkata,dismissedAppOpening,
breathingExercise,instagram,1.5,False,1752597053.251285,Asia/Kolkata,openedApp,Escape / Avoid
breathingExercise,youtube,1.5,False,1752599545.452859,Asia/Kolkata,openedApp,Study
breathingExercise,youtube,1.5,False,1752600716.777646,Asia/Kolkata,openedApp,Study
breathingExercise,instagram,1.5,False,1752603381.434204,Asia/Kolkata,dismissedAppOpening,
breathingExercise,instagram,1.5,False,1752604377.933738,Asia/Kolkata,dismissedAppOpening,
breathingExercise,youtube,1.5,False,1752604734.957934,Asia/Kolkata,openedApp,Study
breathingExercise,youtube,1.5,False,1752604929.539191,Asia/Kolkata,openedApp,Relax
breathingExercise,youtube,1.5,False,1752605145.286799,Asia/Kolkata,openedApp,Study
