interventionType,resolution,timestamp,purpose,timezone,interventionDuration,isReIntervention,app,timeIntervalUntilReIntervention
,closedApp,1750783962.566391,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750784123.681601,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750784631.390863,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750784634.612407,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750784754.348651,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1750787278.492332,Find information,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750790204.722344,Find information,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750792944.056925,Hold dig opdateret,Europe/Copenhagen,1.5,False,facebook,
,closedApp,1750787927.165734,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750788605.5499659,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750792262.36338,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750793003.018929,,Europe/Copenhagen,,False,facebook,
breathingExercise,dismissedAppOpening,1750794798.6039271,,Europe/Copenhagen,1.5,False,instagram,
breathingExercise,openedApp,1750794821.281005,Hold dig opdateret,Europe/Copenhagen,1.5,False,instagram,300.0
,closedApp,1750795132.2884521,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1750834107.415015,Besked,Europe/Copenhagen,1.5,False,instagram,180.0
,closedApp,1750834181.918494,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1750841357.23194,Hold dig opdateret,Europe/Copenhagen,1.5,False,facebook,300.0
,closedApp,1750841408.9886851,,Europe/Copenhagen,,False,facebook,
breathingExercise,openedApp,1750841428.86488,Hold dig opdateret,Europe/Copenhagen,1.5,False,tikTok,600.0
breathingExercise,openedApp,1750842092.856443,Lave et opslag,Europe/Copenhagen,1.5,True,tikTok,600.0
,closedApp,1750842078.3228889,,Europe/Copenhagen,,False,tikTok,
,closedApp,1750842678.003099,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1750853712.5495338,Besked,Europe/Copenhagen,1.5,False,instagram,600.0
,closedApp,1750854146.060557,,Europe/Copenhagen,,False,instagram,
,closedApp,1750854179.502388,,Europe/Copenhagen,,False,instagram,
breathingExercise,dismissedAppOpening,1750855388.6429238,,Europe/Copenhagen,1.5,False,tikTok,
breathingExercise,openedApp,1750856953.13341,Underholdning,Europe/Copenhagen,1.5,False,tikTok,600.0
,closedApp,1750857559.670586,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1750857570.23843,Find information,Europe/Copenhagen,1.5,True,tikTok,300.0
,closedApp,1750857766.7701678,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1750863946.9268441,Find information,Europe/Copenhagen,1.5,False,facebook,600.0
,closedApp,1750864226.826952,,Europe/Copenhagen,,False,facebook,
,closedApp,1750864736.7205691,,Europe/Copenhagen,,False,facebook,
breathingExercise,openedApp,1750865354.454513,Kedsomhed,Europe/Copenhagen,1.5,False,tikTok,540.0
,closedApp,1750865519.0018501,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1750865590.117974,Kedsomhed,Europe/Copenhagen,1.5,False,tikTok,480.0
,closedApp,1750865667.896611,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1750866181.704753,Find information,Europe/Copenhagen,1.5,False,instagram,420.0
,closedApp,1750866503.440587,,Europe/Copenhagen,,False,instagram,
,closedApp,1750866850.667237,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1750866875.463397,Kedsomhed,Europe/Copenhagen,1.5,True,instagram,600.0
,closedApp,1750867370.2408261,,Europe/Copenhagen,,False,instagram,
,closedApp,1750867479.0735168,,Europe/Copenhagen,,False,instagram,
breathingExercise,openedApp,1750871849.49653,Kedsomhed,Europe/Copenhagen,1.5,False,tikTok,600.0
,closedApp,1750871933.6909652,,Europe/Copenhagen,,False,tikTok,
breathingExercise,openedApp,1750876334.5705929,Hold dig opdateret,Europe/Copenhagen,1.5,False,tikTok,600.0
,closedApp,1750876558.046811,,Europe/Copenhagen,,False,tikTok,
