app,interventionType,timestamp,resolution,isReIntervention,interventionDuration,timezone
facebook,breathingExercise,1750824850.308344,dismissedAppOpening,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750825241.153667,dismissedAppOpening,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750825904.798949,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750826116.536175,dismissedAppOpening,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750836412.086848,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750838460.581238,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750839207.7355971,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750839230.319207,dismissedAppOpening,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750844793.716772,dismissedAppOpening,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750847403.48105,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750848631.7914839,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750853413.5976,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750853435.148421,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750856534.964298,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750860501.6626449,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750861678.8441858,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750863603.503665,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750864808.029726,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750865601.7373152,dismissedAppOpening,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750866557.396112,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750868939.942292,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750869819.6835098,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750870709.40876,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750871691.111465,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750874328.424127,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750874573.065634,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750875372.895969,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750875868.9126139,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750876102.2188911,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750876521.8588529,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750876703.2607632,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750877197.061372,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750878396.221628,openedApp,False,1.5,Europe/Copenhagen
facebook,breathingExercise,1750879142.307605,openedApp,False,1.5,Europe/Copenhagen
