condition,intensity,n,mean_dismissed_w6,mean_attempted_w6,mean_pct_dismissed_w6,mean_initial_w6
ABC,1,55,24.6,95.4,25.4,95.4
ACC,2,57,16.7,78.9,26.4,78.9
BCC,3,49,21.5,79,21.6,79
CCC,4,57,26.3,89.4,25.9,89.4
