Predictor,B (SE),Rate Ratio,95% CI,p
(Intercept),3.415 (0.153),30.402,"[22.411, 41.575]",< .001
intensity,0.022 (0.05),1.022,"[0.93, 1.124]",0.661
initial_w1,0.005 (0),1.005,"[1.004, 1.006]",< .001
