timezone,interventionDuration,resolution,interventionType,app,timestamp,isReIntervention,purpose
Europe/London,1.5,dismissedAppOpening,breathingExercise,facebook,1751406593.8132958,False,
Europe/London,1.5,dismissedAppOpening,breathingExercise,instagram,1751407706.100473,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751435487.1525578,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751435504.954125,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751435537.955667,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751440060.704093,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751440126.303299,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751440137.136467,False,
Europe/London,1.5,openedApp,breathingExercise,instagram,1751448076.252787,False,showing a friend something
Europe/London,1.5,dismissedAppOpening,breathingExercise,instagram,1751453058.664751,False,
Europe/London,1.5,openedApp,breathingExercise,facebook,1751457502.0412421,False,lunch time browsing
Europe/London,1.5,dismissedAppOpening,breathingExercise,facebook,1751462575.557403,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751463435.128067,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751463449.3366709,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751463781.027699,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751470747.322362,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751470762.9788032,False,
Europe/London,1.5,openedApp,breathingExercise,facebook,1751485067.844973,False,catch up
Europe/London,,closedApp,,mailOnlineDailyNews,1751491753.159951,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751491868.3209472,False,
Europe/London,1.5,dismissedAppOpening,breathingExercise,facebook,1751517516.940359,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751517546.103919,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751517624.583379,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751517683.005403,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751517699.034847,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751517776.138916,False,
Europe/London,1.5,dismissedAppOpening,breathingExercise,instagram,1751520094.593456,False,
Europe/London,1.5,openedApp,breathingExercise,facebook,1751520476.03496,False,look up someone from the news
Europe/London,1.5,openedApp,breathingExercise,facebook,1751522075.915909,False,browse
Europe/London,1.5,openedApp,breathingExercise,facebook,1751527015.400041,False,georges butthday 
Europe/London,,closedApp,,mailOnlineDailyNews,1751531501.0789351,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751531636.6167579,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751531670.56193,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751531694.392332,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751531702.7495089,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751531743.338969,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751531752.781649,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751533170.348833,False,
Europe/London,1.5,openedApp,breathingExercise,instagram,1751533191.4304929,False,looking fir soneone 
Europe/London,1.5,openedApp,breathingExercise,facebook,1751533217.945334,False,gh
Europe/London,,closedApp,,mailOnlineDailyNews,1751540852.168736,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751540880.375304,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751540917.85196,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751540980.5370069,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751541063.643784,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751541070.1424608,False,
Europe/London,1.5,dismissedAppOpening,breathingExercise,facebook,1751541086.6722069,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751541165.7584162,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751541172.390511,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751541185.340652,False,
Europe/London,1.5,openedApp,breathingExercise,facebook,1751541202.313175,False,looking at a business
Europe/London,1.5,dismissedAppOpening,breathingExercise,facebook,1751546615.275157,False,
Europe/London,1.5,dismissedAppOpening,breathingExercise,facebook,1751547253.677567,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751547708.566643,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751547725.986115,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751547745.120603,False,
Europe/London,1.5,dismissedAppOpening,breathingExercise,facebook,1751552738.350033,False,
Europe/London,1.5,openedApp,breathingExercise,facebook,1751554404.25169,False,stephen hilton
Europe/London,,closedApp,,mailOnlineDailyNews,1751556418.596587,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751556481.930921,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751566006.446257,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751566018.774627,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751566071.290501,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751566117.023562,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751566191.583931,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751566197.6814718,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751566216.90604,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751566235.226007,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751568478.3945951,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751575151.007963,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751575221.5816488,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751575223.75001,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751579691.8615742,False,
Europe/London,1.5,openedApp,breathingExercise,facebook,1751580009.5457978,False,look uo someone
Europe/London,1.5,openedApp,breathingExercise,instagram,1751580641.655292,False,h
Europe/London,1.5,openedApp,breathingExercise,facebook,1751603538.167428,False,morning browse
Europe/London,1.5,openedApp,breathingExercise,facebook,1751606113.0590858,False,h
Europe/London,1.5,dismissedAppOpening,breathingExercise,facebook,1751608512.851653,False,
Europe/London,1.5,dismissedAppOpening,breathingExercise,facebook,1751619454.1440868,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751608568.160331,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751608605.872414,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751615768.119019,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751615775.681531,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751618814.612616,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751618846.313789,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751618863.8907409,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751618879.291429,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751618900.096455,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751618915.667917,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751619364.874288,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751622221.286391,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751622251.859079,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751625614.9833632,False,
Europe/London,,closedApp,,mailOnlineDailyNews,1751628337.240237,False,
