timezone,app,resolution,interventionDuration,interventionType,timestamp,isReIntervention
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754004548.252747,False
Europe/Lisbon,tikTok,dismissedAppOpening,1.5,breathingExercise,1754004659.798152,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754053626.787027,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754053809.325614,False
Europe/Lisbon,tikTok,dismissedAppOpening,1.5,breathingExercise,1754056781.199203,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754056786.596181,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754057522.856395,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754057726.05971,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754058246.0817242,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754062590.172554,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754063137.0716581,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754063606.712759,False
Europe/Lisbon,tikTok,dismissedAppOpening,1.5,breathingExercise,1754065480.266427,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754065489.4143481,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754066541.259214,False
Europe/Lisbon,tikTok,dismissedAppOpening,1.5,breathingExercise,1754066900.156939,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754067925.30703,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754074747.615526,False
Europe/Lisbon,tikTok,dismissedAppOpening,1.5,breathingExercise,1754074827.4869552,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754074838.246603,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754074948.3852859,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754075313.5074492,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754075386.357904,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754075596.503232,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754093465.6116471,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754093828.8926291,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754094451.237167,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754095018.5195289,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754095236.280456,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754095505.1915941,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754095929.561594,False
Europe/Lisbon,tikTok,dismissedAppOpening,1.5,breathingExercise,1754096081.614516,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754134036.040561,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754137870.74861,False
Europe/Lisbon,tikTok,dismissedAppOpening,1.5,breathingExercise,1754137975.156595,False
Europe/Lisbon,tikTok,dismissedAppOpening,1.5,breathingExercise,1754138001.660547,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754138015.504617,False
Europe/Lisbon,tikTok,dismissedAppOpening,1.5,breathingExercise,1754138103.5388908,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754138137.000423,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754138186.628106,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754138390.4860458,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754138554.349076,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754138662.9858608,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754138716.425473,False
Europe/Lisbon,tikTok,dismissedAppOpening,1.5,breathingExercise,1754138839.745708,False
Europe/Lisbon,tikTok,dismissedAppOpening,1.5,breathingExercise,1754138843.055577,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754139772.553199,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754140602.0094,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754147194.851849,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754147374.513655,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754147717.486269,False
Europe/Lisbon,tikTok,dismissedAppOpening,1.5,breathingExercise,1754147962.0643802,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754147968.106736,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754148474.978078,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754148689.933154,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754150269.0861669,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754152294.165926,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754153177.2197828,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754153626.225497,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754153972.908397,False
Europe/Lisbon,tikTok,dismissedAppOpening,1.5,breathingExercise,1754154278.674468,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754154347.072689,False
Europe/Lisbon,tikTok,dismissedAppOpening,1.5,breathingExercise,1754166683.175811,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754168802.828906,False
Europe/Lisbon,tikTok,dismissedAppOpening,1.5,breathingExercise,1754168946.021953,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754169098.630526,False
Europe/Lisbon,tikTok,dismissedAppOpening,1.5,breathingExercise,1754169352.936527,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754172297.137411,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754174151.1283689,False
Europe/Lisbon,tikTok,dismissedAppOpening,1.5,breathingExercise,1754174585.447041,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754174590.993112,False
Europe/Lisbon,tikTok,dismissedAppOpening,1.5,breathingExercise,1754174726.684665,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754174733.885102,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754175058.287365,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754176102.009572,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754176625.733683,False
Europe/Lisbon,tikTok,dismissedAppOpening,1.5,breathingExercise,1754177287.668583,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754230182.564451,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754239206.664087,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754253023.389106,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754253574.461635,False
Europe/Lisbon,tikTok,dismissedAppOpening,1.5,breathingExercise,1754253655.689048,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754254246.543301,False
Europe/Lisbon,tikTok,dismissedAppOpening,1.5,breathingExercise,1754254608.523891,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754255501.195147,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754255882.602406,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754256087.6253328,False
Europe/Lisbon,tikTok,openedApp,1.5,breathingExercise,1754261937.663041,False
