interventionType,isReIntervention,purpose,app,resolution,interventionDuration,timezone,timestamp,terminationReason
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750290572.0219069,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750290616.5010839,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750290753.297278,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750291663.814791,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750292983.585558,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750294939.63943,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750295730.323396,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750299513.776768,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750299883.253922,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750305194.246667,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750305220.843697,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750305242.263575,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750315143.851513,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750315156.465016,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750315310.854196,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750316203.89698,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750319038.474362,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750319793.615823,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750319888.065899,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750321842.104138,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750322476.929451,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750322624.8220181,
breathingExercise,0.0,,instagram,dismissedAppOpening,1.5,Asia/Kolkata,1750323995.1883101,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750324012.3284001,
,0.0,,instagram,closedApp,,Asia/Kolkata,1750324160.300138,
breathingExercise,0.0,Message,instagram,openedApp,1.5,Asia/Kolkata,1750324919.219648,
