timestamp,timezone,resolution,purpose,app,interventionType,interventionDuration,isReIntervention
1753958475.041967,Europe/Berlin,openedApp,Langeweile,instagram,breathingExercise,1.5,False
1753958764.187275,Europe/Berlin,closedApp,,instagram,,,False
1753967715.499516,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1753968331.116231,Europe/Berlin,closedApp,,instagram,,,False
1753999667.024342,Europe/Berlin,openedApp,Langeweile,instagram,breathingExercise,1.5,False
1754000067.82697,Europe/Berlin,closedApp,,instagram,,,False
1754000802.896519,Europe/Berlin,openedApp,Langeweile,instagram,breathingExercise,1.5,False
1754030225.598333,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1754031516.552485,Europe/Berlin,closedApp,,instagram,,,False
1754033721.750238,Europe/Berlin,dismissedAppOpening,,instagram,breathingExercise,1.5,False
1754049744.933195,Europe/Berlin,openedApp,Langeweile,instagram,breathingExercise,1.5,False
1754050700.277257,Europe/Berlin,closedApp,,instagram,,,False
1754052158.389431,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1754056768.363251,Europe/Berlin,closedApp,,instagram,,,False
1754068100.773096,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1754068364.443615,Europe/Berlin,closedApp,,instagram,,,False
1754068572.1507201,Europe/Berlin,openedApp,Langeweile,instagram,breathingExercise,1.5,False
1754069284.6680532,Europe/Berlin,closedApp,,instagram,,,False
1754093354.934803,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1754093959.895436,Europe/Berlin,closedApp,,instagram,,,False
1754094011.9482589,Europe/Berlin,openedApp,Ablenkung,instagram,breathingExercise,1.5,False
1754097759.218548,Europe/Berlin,closedApp,,instagram,,,False
1754121389.932883,Europe/Berlin,openedApp,Klo,instagram,breathingExercise,1.5,False
1754121617.119254,Europe/Berlin,closedApp,,instagram,,,False
1754129275.588593,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1754129598.980019,Europe/Berlin,closedApp,,instagram,,,False
1754130704.760124,Europe/Berlin,dismissedAppOpening,,instagram,breathingExercise,1.5,False
1754132132.117162,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1754132282.0605001,Europe/Berlin,closedApp,,instagram,,,False
1754132780.76608,Europe/Berlin,openedApp,Entspannung,instagram,breathingExercise,1.5,False
1754132958.9962301,Europe/Berlin,closedApp,,instagram,,,False
1754133117.812949,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1754133246.483607,Europe/Berlin,closedApp,,instagram,,,False
1754137427.365907,Europe/Berlin,openedApp,Ablenkung,instagram,breathingExercise,1.5,False
1754137449.2239661,Europe/Berlin,closedApp,,instagram,,,False
1754141062.295805,Europe/Berlin,openedApp,Likes checken,instagram,breathingExercise,1.5,False
1754141063.1635242,Europe/Berlin,closedApp,,instagram,,,False
1754141109.528977,Europe/Berlin,openedApp,Langeweile,instagram,breathingExercise,1.5,False
1754141201.480774,Europe/Berlin,closedApp,,instagram,,,False
1754141242.07195,Europe/Berlin,dismissedAppOpening,,instagram,breathingExercise,1.5,False
1754163573.270403,Europe/Berlin,openedApp,Crush stalken,instagram,breathingExercise,1.5,False
1754163623.2412848,Europe/Berlin,closedApp,,instagram,,,False
1754228399.8436298,Europe/Berlin,openedApp,Auf dem Laufenden bleiben,instagram,breathingExercise,1.5,False
1754229004.522656,Europe/Berlin,closedApp,,instagram,,,False
1754234118.094847,Europe/Berlin,openedApp,Langeweile,instagram,breathingExercise,1.5,False
1754234337.209241,Europe/Berlin,closedApp,,instagram,,,False
1754241182.451158,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1754241333.995965,Europe/Berlin,closedApp,,instagram,,,False
1754245213.6764832,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1754245373.251597,Europe/Berlin,closedApp,,instagram,,,False
1754249135.923953,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1754249193.943887,Europe/Berlin,closedApp,,instagram,,,False
1754250781.288816,Europe/Berlin,openedApp,Nachricht / Schreiben,instagram,breathingExercise,1.5,False
1754250797.553802,Europe/Berlin,closedApp,,instagram,,,False
