purpose,isReIntervention,timezone,resolution,app,interventionType,timestamp,interventionDuration
bored and handle anxiety,False,Europe/Rome,openedApp,instagram,breathingExercise,1748426388.281635,1.5
bored,False,Europe/Rome,openedApp,instagram,breathingExercise,1748440859.8936439,1.5
,False,Europe/Rome,dismissedAppOpening,instagram,journaling,1748440939.021975,
,False,Europe/Rome,dismissedAppOpening,instagram,journaling,1748446319.2475882,
need to buy something,False,Europe/Rome,openedApp,amazon,breathingExercise,1748500603.851959,1.5
bored,False,Europe/Rome,openedApp,instagram,breathingExercise,1748507983.369926,1.5
passing time,False,Europe/Rome,openedApp,instagram,breathingExercise,1748509609.732257,1.5
bored,False,Europe/Rome,openedApp,instagram,breathingExercise,1748523458.185816,1.5
,False,Europe/Rome,dismissedAppOpening,instagram,journaling,1748523609.728732,
bored,False,Europe/Rome,openedApp,instagram,breathingExercise,1748523625.208225,1.5
,False,Europe/Rome,dismissedAppOpening,amazon,journaling,1748523935.7437959,
,False,Europe/Rome,dismissedAppOpening,amazon,journaling,1748523982.001186,
scroll,False,Europe/Rome,openedApp,amazon,breathingExercise,1748523999.483914,1.5
need buy something,False,Europe/Rome,openedApp,amazon,breathingExercise,1748524118.587551,1.5
u,False,Europe/Rome,openedApp,amazon,breathingExercise,1748535317.3010712,1.5
ii,False,Europe/Rome,openedApp,instagram,breathingExercise,1748539507.312567,1.5
h,False,Europe/Rome,openedApp,instagram,breathingExercise,1748539758.748188,1.5
b,False,Europe/Rome,openedApp,instagram,breathingExercise,1748539880.829793,1.5
b,False,Europe/Rome,openedApp,instagram,breathingExercise,1748539958.388957,1.5
h,False,Europe/Rome,openedApp,instagram,breathingExercise,1748540073.918046,1.5
j,False,Europe/Rome,openedApp,instagram,breathingExercise,1748540194.135855,1.5
h,False,Europe/Rome,openedApp,instagram,breathingExercise,1748545936.3790321,1.5
,False,Europe/Rome,dismissedAppOpening,amazon,journaling,1748590290.202464,
,False,Europe/Rome,dismissedAppOpening,amazon,journaling,1748590311.8415852,
h,False,Europe/Rome,openedApp,amazon,breathingExercise,1748590328.687279,1.5
n,False,Europe/Rome,openedApp,amazon,breathingExercise,1748590579.478483,1.5
h,False,Europe/Rome,openedApp,instagram,breathingExercise,1748590967.5243769,1.5
,False,Europe/Rome,dismissedAppOpening,instagram,journaling,1748591391.2625809,
g,False,Europe/Rome,openedApp,instagram,breathingExercise,1748591403.0012798,1.5
n,False,Europe/Rome,openedApp,instagram,breathingExercise,1748592858.679213,1.5
j,False,Europe/Rome,openedApp,amazon,breathingExercise,1748593604.773633,1.5
h,False,Europe/Rome,openedApp,amazon,breathingExercise,1748593796.969279,1.5
v,False,Europe/Rome,openedApp,linkedin,breathingExercise,1748594593.623874,1.5
,False,Europe/Rome,dismissedAppOpening,instagram,journaling,1748595051.75627,
n,False,Europe/Rome,openedApp,instagram,breathingExercise,1748603176.4162369,1.5
k,False,Europe/Rome,openedApp,instagram,breathingExercise,1748603412.330636,1.5
g,False,Europe/Rome,openedApp,instagram,breathingExercise,1748604114.15552,1.5
n,False,Europe/Rome,openedApp,instagram,breathingExercise,1748616488.961062,1.5
i,False,Europe/Rome,openedApp,instagram,breathingExercise,1748617174.430033,1.5
b,False,Europe/Rome,openedApp,instagram,breathingExercise,1748636193.0515862,1.5
h,False,Europe/Rome,openedApp,instagram,breathingExercise,1748638358.762343,1.5
,False,Europe/Rome,dismissedAppOpening,instagram,breathingExercise,1748686743.64572,1.5
Intrigued ,False,Europe/Rome,openedApp,instagram,breathingExercise,1748706041.6331558,1.5
j,False,Europe/Rome,openedApp,instagram,breathingExercise,1748763427.058372,1.5
n,False,Europe/Rome,openedApp,instagram,breathingExercise,1748765848.3892899,1.5
g,False,Europe/Rome,openedApp,instagram,breathingExercise,1748766249.95099,1.5
c,False,Europe/Rome,openedApp,instagram,breathingExercise,1748766360.8753839,1.5
h,False,Europe/Rome,openedApp,instagram,breathingExercise,1748766444.5947561,1.5
i,False,Europe/Rome,openedApp,instagram,breathingExercise,1748766626.998608,1.5
,False,Europe/Rome,dismissedAppOpening,instagram,breathingExercise,1748795014.394631,1.5
n,False,Europe/Rome,openedApp,instagram,breathingExercise,1748795071.142724,1.5
j,False,Europe/Rome,openedApp,amazon,breathingExercise,1748808527.289922,1.5
h,False,Europe/Rome,openedApp,instagram,breathingExercise,1748853338.209538,1.5
j,False,Europe/Rome,openedApp,instagram,breathingExercise,1748853461.106852,1.5
,False,Europe/Rome,dismissedAppOpening,instagram,journaling,1748853622.189578,
h,False,Europe/Rome,openedApp,instagram,breathingExercise,1749030837.3009648,1.5
g,False,Europe/Rome,openedApp,instagram,breathingExercise,1749043505.6567168,1.5
j,False,Europe/Rome,openedApp,instagram,breathingExercise,1749043581.429641,1.5
,False,Europe/Rome,dismissedAppOpening,instagram,journaling,1749043866.141752,
b,False,Europe/Rome,openedApp,amazon,breathingExercise,1749109522.518215,1.5
t,False,Europe/Rome,openedApp,instagram,breathingExercise,1749113468.31812,1.5
hh,False,Europe/Rome,openedApp,instagram,breathingExercise,1749143604.45802,1.5
f,False,Europe/Rome,openedApp,instagram,breathingExercise,1749211636.769501,1.5
h,False,Europe/Rome,openedApp,instagram,breathingExercise,1749214594.62201,1.5
n,False,Europe/Rome,openedApp,instagram,breathingExercise,1749228857.342424,1.5
