timezone,interventionType,app,resolution,isReIntervention,interventionDuration,timestamp,timeIntervalUntilReIntervention
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750866513.565656,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750902479.4459949,780.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750903165.393828,60.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750903349.698474,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750903579.006702,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750903639.386362,420.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750904763.197206,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750904822.206955,600.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750904934.838951,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750904970.133358,600.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750937426.911308,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750937446.384469,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750937484.611156,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750937567.130137,180.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1750962186.2935119,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750962200.523792,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1750966455.992478,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751000690.667669,300.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751020232.741256,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751038183.677347,120.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751038213.121189,60.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1751047628.049675,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1751047633.443615,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751053234.538958,420.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1751053409.881771,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751053423.1771588,720.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1751076334.5445108,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1751079344.024246,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751116622.519963,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751134875.0615702,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751164701.561826,60.0
America/Toronto,breathingExercise,instagram,openedApp,True,1.5,1751164784.288248,240.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751218419.393709,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1751218503.506373,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751218513.339394,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751218772.196111,1320.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751239868.083928,360.0
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1751239974.70245,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1751239978.996144,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1751239983.47585,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1751239986.228255,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1751239988.995785,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,1.5,1751239992.05195,
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751295483.034391,300.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751295530.872612,420.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751312542.07297,480.0
America/Toronto,breathingExercise,instagram,openedApp,True,1.5,1751340138.8530521,540.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751341227.343433,660.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751341902.812098,420.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751370873.1237888,360.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751371396.539017,480.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751372446.562292,420.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751429177.561616,420.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751429722.1228771,540.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751430071.803714,480.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751430320.147986,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751504142.5754251,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,1.5,1751517020.442169,420.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751542978.067673,60.0
America/Toronto,breathingExercise,instagram,openedApp,True,3.0,1751569272.073741,60.0
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751570219.739727,
America/Toronto,breathingExercise,instagram,openedApp,False,3.0,1751570293.889841,
