timezone,interventionType,app,resolution,isReIntervention,interventionDuration,timestamp,timeIntervalUntilReIntervention
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753192178.428287,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753192212.730243,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753200408.566729,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753200786.640043,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753201496.44015,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753225931.471562,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753226093.0364342,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753229954.259165,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753230427.801602,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753231123.178627,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753266970.8365731,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753278874.801025,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753278992.22009,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753279031.910584,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753298583.306538,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753299840.985826,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753299863.716059,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753324826.2150779,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753324854.728854,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753358452.9635282,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753358477.7506452,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753385185.294026,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753385210.4387221,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753385768.738589,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753394896.284658,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753416181.301194,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753439428.2888541,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753443571.192864,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753443597.6062078,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753444823.347106,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753474486.997169,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753474604.790776,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753498443.960407,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753528899.2099462,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753534238.731608,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753534954.4296699,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753544456.855958,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753544460.535341,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753545941.0323849,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753571318.2564158,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753574337.811939,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753589009.2080178,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753593132.240696,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753629896.6999578,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753653914.826544,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753655455.628172,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753711653.048514,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753712690.642308,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753725167.018302,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753740892.2756329,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753740911.831514,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753742554.56076,
America/Toronto,breathingExercise,instagram,dismissedAppOpening,False,6.0,1753754076.90763,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753754095.352628,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753811492.447108,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753837262.280939,
America/Toronto,breathingExercise,instagram,openedApp,False,6.0,1753872068.018578,
