interventionDuration,timestamp,timezone,app,isReIntervention,resolution,interventionType,purpose
1.5,1753469238.298693,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753470781.360338,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753470789.762871,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753470887.87111,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753471993.15186,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753472181.9792318,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753473737.6246948,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753476515.977662,Europe/Rome,instagram,False,openedApp,breathingExercise,Post something
1.5,1753479107.9370952,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753481261.624284,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753481349.943009,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753481353.786649,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753481356.614536,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753481487.6978831,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753481828.301355,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753482476.233032,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753482680.394851,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753482687.0529652,Europe/Rome,instagram,False,openedApp,breathingExercise,Post something
1.5,1753482832.733111,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753482847.555132,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753509219.8432,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753509805.8718429,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753511205.749671,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753511954.685762,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753512240.4723,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753516721.1746402,Europe/Rome,instagram,False,openedApp,breathingExercise,Message
1.5,1753518638.268147,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753518732.5167608,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753519164.666729,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753519839.2598271,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753519874.2955651,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753521871.168407,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753523123.475672,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753524690.021055,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753524850.344046,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753525003.034769,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753525118.936857,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753526742.588016,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753527510.405879,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753528622.8068352,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753529708.235547,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753531757.6745281,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753531763.852957,Europe/Rome,instagram,False,openedApp,breathingExercise,Work
1.5,1753532428.914367,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753532594.8069448,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753532714.91335,Europe/Rome,instagram,False,openedApp,breathingExercise,Work
1.5,1753532983.539639,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753533400.711067,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753533427.904922,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753534055.038272,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753534479.3161201,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753534823.8907928,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753534831.100569,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753536066.9111419,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753536073.1205978,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753538171.5316281,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753538633.952489,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753538673.539394,Europe/Rome,instagram,False,openedApp,breathingExercise,Can’t sleep
1.5,1753538925.867595,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753538928.108427,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753538937.489272,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753544678.6601949,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753545133.222225,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753545154.173337,Europe/Rome,instagram,False,openedApp,breathingExercise,Post something
1.5,1753545182.718027,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753545184.902309,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753545187.677701,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753545264.276103,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753546744.620707,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753546747.079752,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753546821.539485,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753546826.406558,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753546833.0312319,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753546923.060117,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753546938.370856,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753546944.957576,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753547020.986126,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753547026.984754,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753547085.740056,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753547111.31031,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753547283.6386309,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753547330.7869701,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753547724.368966,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753547733.947011,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753547863.002039,Europe/Rome,instagram,False,openedApp,breathingExercise,Post something
1.5,1753548992.222985,Europe/Rome,instagram,False,openedApp,breathingExercise,Work
1.5,1753550403.50259,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753550461.791549,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753551774.212946,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753552697.19563,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753552962.153131,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753553453.908629,Europe/Rome,instagram,False,openedApp,breathingExercise,Escape / Avoid
1.5,1753554740.7619262,Europe/Rome,instagram,False,openedApp,breathingExercise,Bored
1.5,1753556347.616691,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753556349.999691,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753556352.297299,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753556623.612019,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753557769.7073069,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753559096.038049,Europe/Rome,instagram,False,openedApp,breathingExercise,Toilet
1.5,1753560820.568944,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753565296.51798,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753565305.716269,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753565930.5315819,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753567190.140822,Europe/Rome,instagram,False,openedApp,breathingExercise,Stay In the Loop
1.5,1753567603.3497438,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753569591.323314,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753569647.432728,Europe/Rome,instagram,False,openedApp,breathingExercise,Escape / Avoid
1.5,1753570079.012861,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753570103.7059178,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753570109.375321,Europe/Rome,instagram,False,openedApp,breathingExercise,Work
1.5,1753571024.466888,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753572646.477868,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753572776.638783,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753572783.3981218,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753572999.002954,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753604331.680902,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753604416.776902,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753605064.682632,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753605404.463687,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753605412.474677,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753605902.801484,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753605976.4124389,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753606012.2277842,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753607082.838498,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753607531.120336,Europe/Rome,instagram,False,openedApp,breathingExercise,Post something
1.5,1753607646.345233,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753608052.317291,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753609219.941185,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753609790.436541,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753610565.1010032,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753611450.5454988,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753611760.6637878,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753612169.5754719,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753613194.211643,Europe/Rome,instagram,False,openedApp,breathingExercise,Post something
1.5,1753614483.910074,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753614558.891491,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753614721.5879478,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753615020.8498669,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753616102.714418,Europe/Rome,instagram,False,openedApp,breathingExercise,Toilet
1.5,1753616176.7136621,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753616291.323854,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753617825.873234,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753627397.973098,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753631371.7754722,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753638922.987059,Europe/Rome,instagram,False,openedApp,breathingExercise,Bored
1.5,1753639156.9137712,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753639158.940611,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753639169.038255,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753639171.320761,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753639173.220864,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753639175.163591,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753639180.783241,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753639381.307074,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753639391.540649,Europe/Rome,instagram,False,openedApp,breathingExercise,Post something
1.5,1753639575.683278,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753639670.623287,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753639677.259661,Europe/Rome,instagram,False,openedApp,breathingExercise,Bored
1.5,1753640004.1514668,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753640012.583008,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753640140.2782931,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753640278.0458732,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753640762.39718,Europe/Rome,instagram,False,openedApp,breathingExercise,Escape / Avoid
1.5,1753640880.786144,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753640886.349608,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753641141.563173,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753642185.2240372,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753642292.642961,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753643031.329215,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753643132.69952,Europe/Rome,instagram,False,openedApp,breathingExercise,Post something
1.5,1753644141.603384,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753644191.468147,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753644996.470834,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753645002.41336,Europe/Rome,instagram,False,openedApp,breathingExercise,Work
1.5,1753645372.090563,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753645468.9784188,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753645782.023345,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753645944.944812,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753647240.424067,Europe/Rome,instagram,False,openedApp,breathingExercise,Post something
1.5,1753647469.416891,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753649779.44208,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753649983.1113849,Europe/Rome,instagram,False,openedApp,breathingExercise,Post something
1.5,1753650780.725548,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753650812.329125,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753650857.1425781,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753651110.411452,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753651394.46953,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753652039.058826,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753652767.815234,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753682893.240151,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753683787.417068,Europe/Rome,instagram,False,openedApp,breathingExercise,Work
1.5,1753686121.877068,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753686907.7089791,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753686915.775679,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753689448.551803,Europe/Rome,instagram,False,openedApp,breathingExercise,Bored
1.5,1753689850.625119,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753689852.969737,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753691057.073403,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753691726.421051,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753691729.571042,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753691736.159982,Europe/Rome,instagram,False,openedApp,breathingExercise,Check likes
1.5,1753692294.591362,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753692335.011365,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753692337.354056,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753693443.927182,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753695860.560132,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753697555.052258,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753697790.226012,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753697971.098078,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753698060.332433,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753698961.5272899,Europe/Rome,instagram,False,openedApp,breathingExercise,Bored
1.5,1753699864.695178,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753700148.859551,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753700392.885062,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753700630.54396,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753700685.7120261,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753702584.770335,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753704280.228883,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753704456.2276711,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753705983.535408,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753708941.5693998,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753710205.804484,Europe/Rome,instagram,False,openedApp,breathingExercise,Entertainment
1.5,1753710937.100579,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753715505.812357,Europe/Rome,instagram,False,openedApp,breathingExercise,Relax
1.5,1753720359.752835,Europe/Rome,instagram,False,openedApp,breathingExercise,Post something
1.5,1753720607.627036,Europe/Rome,instagram,False,openedApp,breathingExercise,Bored
1.5,1753721029.2269921,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753721344.189214,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753721768.8768969,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
1.5,1753723127.840627,Europe/Rome,instagram,False,openedApp,breathingExercise,Bored
1.5,1753723558.750463,Europe/Rome,instagram,False,openedApp,breathingExercise,Escape / Avoid
1.5,1753725089.431272,Europe/Rome,instagram,False,dismissedAppOpening,breathingExercise,
