timestamp,interventionType,resolution,app,isReIntervention,timezone,interventionDuration,purpose
1749676835.567523,breathingExercise,dismissedAppOpening,facebook,False,Europe/Dublin,1.5,
1749677107.468432,breathingExercise,openedApp,facebook,False,Europe/Dublin,1.5,Message
1749677878.280232,breathingExercise,dismissedAppOpening,instagram,False,Europe/Dublin,1.5,
1749678272.592825,breathingExercise,dismissedAppOpening,facebook,False,Europe/Dublin,1.5,
1749680349.277148,breathingExercise,dismissedAppOpening,instagram,False,Europe/Dublin,1.5,
1749680438.629426,breathingExercise,dismissedAppOpening,instagram,False,Europe/Dublin,1.5,
1749683205.3494701,breathingExercise,dismissedAppOpening,facebook,False,Europe/Dublin,1.5,
1749683315.9643679,breathingExercise,dismissedAppOpening,facebook,False,Europe/Dublin,1.5,
1749683327.475587,breathingExercise,dismissedAppOpening,facebook,False,Europe/Dublin,1.5,
1749683336.1508331,breathingExercise,openedApp,instagram,False,Europe/Dublin,1.5,Message
1749711043.2781448,breathingExercise,dismissedAppOpening,facebook,False,Europe/Dublin,1.5,
1749711051.258627,breathingExercise,openedApp,facebook,False,Europe/Dublin,1.5,Stay In the Loop
1749711413.244361,breathingExercise,openedApp,instagram,False,Europe/Dublin,1.5,Stay In the Loop
1749715009.207921,breathingExercise,openedApp,facebook,False,Europe/Dublin,1.5,Stay In the Loop
1749715028.073484,breathingExercise,openedApp,instagram,False,Europe/Dublin,1.5,Message
1749716108.1620178,breathingExercise,openedApp,instagram,False,Europe/Dublin,1.5,Stay In the Loop
1749721031.7644181,breathingExercise,dismissedAppOpening,facebook,False,Europe/Dublin,1.5,
1749721246.530163,breathingExercise,dismissedAppOpening,facebook,False,Europe/Dublin,1.5,
1749721254.395207,breathingExercise,openedApp,facebook,False,Europe/Dublin,1.5,Message
1749721342.3567119,breathingExercise,openedApp,facebook,False,Europe/Dublin,1.5,Message
1749721540.141202,breathingExercise,openedApp,facebook,False,Europe/Dublin,1.5,Message
1749725277.497448,breathingExercise,openedApp,facebook,False,Europe/Dublin,1.5,Message
1749725871.1831598,breathingExercise,dismissedAppOpening,instagram,False,Europe/Dublin,1.5,
1749725885.2716432,breathingExercise,openedApp,facebook,False,Europe/Dublin,1.5,Message
1749732974.631532,breathingExercise,openedApp,facebook,False,Europe/Dublin,1.5,Message
1749734198.2008939,breathingExercise,openedApp,facebook,False,Europe/Dublin,1.5,Message
1749734768.375792,breathingExercise,dismissedAppOpening,instagram,False,Europe/Dublin,1.5,
1749736970.1904058,breathingExercise,openedApp,facebook,False,Europe/Dublin,1.5,Message
1749738466.153486,breathingExercise,openedApp,instagram,False,Europe/Dublin,1.5,Message
1749738523.899672,breathingExercise,openedApp,facebook,False,Europe/Dublin,1.5,Message
1749738912.130072,breathingExercise,openedApp,facebook,False,Europe/Dublin,1.5,Stay In the Loop
1749738963.093374,breathingExercise,dismissedAppOpening,instagram,False,Europe/Dublin,1.5,
1749743482.977627,breathingExercise,openedApp,facebook,False,Europe/Dublin,1.5,Message
1749743537.936373,breathingExercise,dismissedAppOpening,instagram,False,Europe/Dublin,1.5,
1749744862.3005772,breathingExercise,dismissedAppOpening,instagram,False,Europe/Dublin,1.5,
1749751520.034857,breathingExercise,openedApp,facebook,False,Europe/Dublin,1.5,Message
1749754789.901918,breathingExercise,openedApp,facebook,False,Europe/Dublin,1.5,Bored
1749755256.108893,breathingExercise,openedApp,facebook,False,Europe/Dublin,1.5,Message
1749755626.085071,breathingExercise,openedApp,facebook,False,Europe/Dublin,1.5,Message
1749756564.871533,breathingExercise,openedApp,instagram,False,Europe/Dublin,1.5,Bored
1749757509.418339,breathingExercise,dismissedAppOpening,instagram,False,Europe/Dublin,1.5,
1749757717.782762,breathingExercise,openedApp,instagram,False,Europe/Dublin,1.5,Entertainment
1749758045.044255,breathingExercise,openedApp,instagram,False,Europe/Dublin,1.5,Entertainment
1749759534.648368,breathingExercise,openedApp,instagram,False,Europe/Dublin,1.5,Entertainment
1749759730.8124819,breathingExercise,openedApp,instagram,False,Europe/Dublin,1.5,Entertainment
1749760139.995964,breathingExercise,dismissedAppOpening,instagram,False,Europe/Dublin,1.5,
1749766503.601677,breathingExercise,dismissedAppOpening,facebook,False,Europe/Dublin,1.5,
1749769302.775814,breathingExercise,openedApp,facebook,False,Europe/Dublin,1.5,Message
1749769457.459653,breathingExercise,openedApp,instagram,False,Europe/Dublin,1.5,Entertainment
1749796132.4712958,breathingExercise,dismissedAppOpening,instagram,False,Europe/Dublin,1.5,
1749796245.457001,breathingExercise,dismissedAppOpening,facebook,False,Europe/Dublin,1.5,
1749797944.011153,breathingExercise,openedApp,facebook,False,Europe/Dublin,1.5,Message
