interventionDuration,purpose,timeIntervalUntilReIntervention,timestamp,isReIntervention,timezone,resolution,app,interventionType
1.5,Search Info,300.0,1748573533.629662,False,America/New_York,openedApp,tikTok,breathingExercise
,,,1748573671.2899508,False,America/New_York,closedApp,tikTok,
1.5,Search Info,300.0,1748573995.8350081,True,America/New_York,openedApp,tikTok,breathingExercise
,,,1748573984.426248,False,America/New_York,closedApp,tikTok,
,,,1748574046.8972468,False,America/New_York,closedApp,tikTok,
1.5,Search Info,300.0,1748574057.287274,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748574132.6671991,False,America/New_York,closedApp,instagram,
1.5,Message,240.0,1748577942.69234,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748577995.1356258,False,America/New_York,closedApp,instagram,
,,,1748578217.8939738,False,America/New_York,closedApp,instagram,
1.5,Stay In the Loop,300.0,1748578542.806427,False,America/New_York,openedApp,tikTok,breathingExercise
,,,1748578850.199335,False,America/New_York,closedApp,tikTok,
,,,1748579368.786632,False,America/New_York,closedApp,tikTok,
,,,1748579399.7811608,False,America/New_York,closedApp,tikTok,
1.5,,,1748579404.420429,False,America/New_York,dismissedAppOpening,tikTok,breathingExercise
1.5,Bored,300.0,1748579544.86974,False,America/New_York,openedApp,tikTok,breathingExercise
,,,1748579851.652673,False,America/New_York,closedApp,tikTok,
1.5,Bored,300.0,1748580740.132051,False,America/New_York,openedApp,tikTok,breathingExercise
,,,1748580842.037551,False,America/New_York,closedApp,tikTok,
1.5,Search Info,60.0,1748580849.868753,False,America/New_York,openedApp,twitter,breathingExercise
,,,1748581144.2629762,False,America/New_York,closedApp,tikTok,
,,,1748580938.822973,False,America/New_York,closedApp,twitter,
1.5,Can’t sleep,300.0,1748582340.8196301,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748582649.6362948,False,America/New_York,closedApp,instagram,
,,,1748582761.493156,False,America/New_York,closedApp,instagram,
1.5,Search Info,300.0,1748584168.3347058,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748584234.108037,False,America/New_York,closedApp,instagram,
,,,1748584239.066354,False,America/New_York,closedApp,instagram,
1.5,Message,300.0,1748618435.086473,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748618615.486415,False,America/New_York,closedApp,instagram,
,,,1748618633.938832,False,America/New_York,closedApp,instagram,
1.5,Stay In the Loop,300.0,1748618660.906129,False,America/New_York,openedApp,twitter,breathingExercise
,,,1748618904.083008,False,America/New_York,closedApp,twitter,
1.5,,,1748622195.562591,False,America/New_York,dismissedAppOpening,twitter,breathingExercise
1.5,Entertainment,300.0,1748626307.633302,False,America/New_York,openedApp,instagram,breathingExercise
1.5,Entertainment,300.0,1748626623.074325,True,America/New_York,openedApp,instagram,breathingExercise
,,,1748626616.473647,False,America/New_York,closedApp,instagram,
,,,1748626925.335078,False,America/New_York,closedApp,instagram,
1.5,,,1748626937.5408192,False,America/New_York,dismissedAppOpening,twitter,breathingExercise
1.5,Stay In the Loop,300.0,1748626955.706184,False,America/New_York,openedApp,twitter,breathingExercise
1.5,Escape / Avoid,300.0,1748627270.416004,True,America/New_York,openedApp,twitter,breathingExercise
,,,1748627262.5414538,False,America/New_York,closedApp,twitter,
,,,1748627558.5610042,False,America/New_York,closedApp,twitter,
1.5,Stay In the Loop,300.0,1748649850.5631552,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748650104.576548,False,America/New_York,closedApp,instagram,
,,,1748650226.0895581,False,America/New_York,closedApp,instagram,
1.5,Search Info,240.0,1748651043.52735,False,America/New_York,openedApp,twitter,breathingExercise
,,,1748651106.935677,False,America/New_York,closedApp,twitter,
,,,1748651273.552967,False,America/New_York,closedApp,twitter,
1.5,Message,300.0,1748657529.902995,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748657655.702779,False,America/New_York,closedApp,instagram,
1.5,Bored,300.0,1748657914.884561,False,America/New_York,openedApp,twitter,breathingExercise
,,,1748658037.415452,False,America/New_York,closedApp,twitter,
,,,1748658161.617604,False,America/New_York,closedApp,twitter,
1.5,Bored,300.0,1748659418.671154,False,America/New_York,openedApp,twitter,breathingExercise
,,,1748659713.281307,False,America/New_York,closedApp,twitter,
1.5,Bored,300.0,1748659731.936954,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748659892.30949,False,America/New_York,closedApp,instagram,
1.5,Stay In the Loop,300.0,1748660194.692853,False,America/New_York,openedApp,tikTok,breathingExercise
1.5,Escape / Avoid,300.0,1748660511.409274,True,America/New_York,openedApp,tikTok,breathingExercise
,,,1748660503.558968,False,America/New_York,closedApp,tikTok,
,,,1748660814.483673,False,America/New_York,closedApp,tikTok,
1.5,Bored,300.0,1748660834.703438,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748661019.1485581,False,America/New_York,closedApp,instagram,
1.5,Entertainment,300.0,1748661567.562031,False,America/New_York,openedApp,tikTok,breathingExercise
,,,1748661844.577849,False,America/New_York,closedApp,tikTok,
,,,1748661879.047049,False,America/New_York,closedApp,tikTok,
1.5,Bored,300.0,1748661887.379654,True,America/New_York,openedApp,tikTok,breathingExercise
1.5,,,1748662192.209453,True,America/New_York,dismissedAppOpening,tikTok,breathingExercise
,,,1748662189.261228,False,America/New_York,closedApp,tikTok,
1.5,Message,300.0,1748665942.993527,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748666250.4536161,False,America/New_York,closedApp,instagram,
,,,1748666265.467238,False,America/New_York,closedApp,instagram,
1.5,Escape / Avoid,300.0,1748666277.629586,False,America/New_York,openedApp,tikTok,breathingExercise
1.5,Escape / Avoid,300.0,1748666594.2672338,True,America/New_York,openedApp,tikTok,breathingExercise
,,,1748666586.7722468,False,America/New_York,closedApp,tikTok,
1.5,Escape / Avoid,300.0,1748666904.941117,True,America/New_York,openedApp,tikTok,breathingExercise
,,,1748666897.7665071,False,America/New_York,closedApp,tikTok,
,,,1748666931.10039,False,America/New_York,closedApp,tikTok,
,,,1748667287.197881,False,America/New_York,closedApp,tikTok,
1.5,Escape / Avoid,300.0,1748668589.501347,False,America/New_York,openedApp,tikTok,breathingExercise
1.5,Can’t sleep,300.0,1748668903.792666,True,America/New_York,openedApp,tikTok,breathingExercise
,,,1748668897.912529,False,America/New_York,closedApp,tikTok,
1.5,Can’t sleep,300.0,1748669216.930622,True,America/New_York,openedApp,tikTok,breathingExercise
,,,1748669209.261873,False,America/New_York,closedApp,tikTok,
,,,1748669519.765564,False,America/New_York,closedApp,tikTok,
1.5,Escape / Avoid,300.0,1748671702.63627,False,America/New_York,openedApp,twitter,breathingExercise
1.5,Can’t sleep,300.0,1748672016.5912042,True,America/New_York,openedApp,twitter,breathingExercise
,,,1748672010.078205,False,America/New_York,closedApp,twitter,
,,,1748672322.3450952,False,America/New_York,closedApp,twitter,
1.5,Message,300.0,1748706759.4935331,False,America/New_York,openedApp,instagram,breathingExercise
1.5,Stay In the Loop,300.0,1748707077.587553,True,America/New_York,openedApp,instagram,breathingExercise
,,,1748707067.07463,False,America/New_York,closedApp,instagram,
,,,1748707255.8405461,False,America/New_York,closedApp,instagram,
,,,1748707427.854782,False,America/New_York,closedApp,instagram,
1.5,Stay In the Loop,300.0,1748707436.4608068,False,America/New_York,openedApp,twitter,breathingExercise
,,,1748707737.306252,False,America/New_York,closedApp,twitter,
1.5,,,1748708540.816138,False,America/New_York,dismissedAppOpening,instagram,breathingExercise
1.5,Stay In the Loop,300.0,1748711886.3593678,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748712192.379652,False,America/New_York,closedApp,instagram,
1.5,Entertainment,300.0,1748714478.7401528,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748714650.7589478,False,America/New_York,closedApp,instagram,
1.5,,,1748717240.111481,False,America/New_York,dismissedAppOpening,instagram,breathingExercise
1.5,Message,180.0,1748724369.7134972,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748724389.680725,False,America/New_York,closedApp,instagram,
1.5,Message,300.0,1748726092.1729488,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748726183.1166248,False,America/New_York,closedApp,instagram,
,,,1748726252.595588,False,America/New_York,closedApp,instagram,
,,,1748726463.1150842,False,America/New_York,closedApp,instagram,
,,,1748726516.110003,False,America/New_York,closedApp,instagram,
1.5,Message,300.0,1748727100.2522779,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748727162.914472,False,America/New_York,closedApp,instagram,
,,,1748727205.184133,False,America/New_York,closedApp,instagram,
,,,1748727233.256853,False,America/New_York,closedApp,instagram,
1.5,Message,120.0,1748729366.2614331,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748729442.306226,False,America/New_York,closedApp,instagram,
1.5,Message,180.0,1748730304.425911,False,America/New_York,openedApp,instagram,breathingExercise
1.5,Message,180.0,1748731926.1124349,False,America/New_York,openedApp,instagram,breathingExercise
1.5,Message,300.0,1748732631.957758,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748732653.7475119,False,America/New_York,closedApp,instagram,
,,,1748732677.4644818,False,America/New_York,closedApp,instagram,
,,,1748732784.830452,False,America/New_York,closedApp,instagram,
,,,1748732928.5452862,False,America/New_York,closedApp,instagram,
1.5,Message,180.0,1748733389.846548,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748733433.578327,False,America/New_York,closedApp,instagram,
,,,1748733500.22338,False,America/New_York,closedApp,instagram,
1.5,Search Info,300.0,1748733614.652127,True,America/New_York,openedApp,instagram,breathingExercise
,,,1748733610.88101,False,America/New_York,closedApp,instagram,
,,,1748733651.4183788,False,America/New_York,closedApp,instagram,
1.5,,,1748733745.062751,False,America/New_York,dismissedAppOpening,twitter,breathingExercise
1.5,Message,180.0,1748734266.325475,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748734287.309238,False,America/New_York,closedApp,instagram,
1.5,Message,300.0,1748737575.534813,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748737616.5245318,False,America/New_York,closedApp,instagram,
,,,1748737684.5711389,False,America/New_York,closedApp,instagram,
,,,1748737790.2860088,False,America/New_York,closedApp,instagram,
1.5,Message,240.0,1748738127.7006989,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748738144.935018,False,America/New_York,closedApp,instagram,
1.5,Message,300.0,1748738571.248374,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748738698.085166,False,America/New_York,closedApp,instagram,
1.5,Message,300.0,1748739146.164289,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748739330.314568,False,America/New_York,closedApp,instagram,
1.5,Message,300.0,1748740075.435051,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748740119.532857,False,America/New_York,closedApp,instagram,
1.5,Search Info,300.0,1748741385.967404,False,America/New_York,openedApp,instagram,breathingExercise
,,,1748741403.722786,False,America/New_York,closedApp,instagram,
