interventionType,app,interventionDuration,resolution,timezone,isReIntervention,timestamp,purpose,timeIntervalUntilReIntervention,terminationReason
breathingExercise,shortcuts,40.0,openedApp,Europe/Paris,0.0,1749105704.060483,,,
,instagram,,closedApp,Europe/Paris,0.0,1749116155.033562,,,
,instagram,,closedApp,Europe/Paris,0.0,1749116419.3406081,,,
breathingExercise,shortcuts,40.0,openedApp,Europe/Paris,0.0,1749118430.234098,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749118704.847207,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749119852.648267,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749120759.823893,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749121098.301383,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,0.0,1749139770.683099,Se détendre,300.0,
,instagram,,closedApp,Europe/Paris,0.0,1749140076.766141,,,
breathingExercise,instagram,1.5,dismissedAppOpening,Europe/Paris,0.0,1749140264.574786,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,0.0,1749150859.363456,Publier quelque chose,300.0,
,instagram,,closedApp,Europe/Paris,0.0,1749150883.9826732,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,0.0,1749151099.102148,Se détendre,180.0,
,instagram,,closedApp,Europe/Paris,0.0,1749151285.10354,,,
breathingExercise,582C1373-FB66-43B7-94F7-4406178CFBE4,1.5,openedApp,Europe/Paris,0.0,1749152291.405826,Se détendre,,
breathingExercise,tikTok,1.5,openedApp,Europe/Paris,0.0,1749152311.475152,Se détendre,,
,tikTok,,closedApp,Europe/Paris,0.0,1749152399.52194,,,
breathingExercise,582C1373-FB66-43B7-94F7-4406178CFBE4,1.5,openedApp,Europe/Paris,0.0,1749155412.745366,Se détendre,,
breathingExercise,tinder,1.5,dismissedAppOpening,Europe/Paris,0.0,1749155493.385723,,,
,instagram,,closedApp,Europe/Paris,0.0,1749194724.1998692,,,
,instagram,,closedApp,Europe/Paris,0.0,1749194730.851764,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,1.0,1749233366.139298,,240.0,
,instagram,,closedApp,Europe/Paris,0.0,1749233241.388568,,,
,instagram,,closedApp,Europe/Paris,0.0,1749233360.6117349,,,
,instagram,,closedApp,Europe/Paris,0.0,1749233608.19396,,,
breathingExercise,snapchat,1.5,openedApp,Europe/Paris,0.0,1749244064.020987,,,
breathingExercise,snapchat,1.5,dismissedAppOpening,Europe/Paris,0.0,1749246760.572844,,,
,snapchat,,closedApp,Europe/Paris,0.0,1749244583.004171,,,
,snapchat,,closedApp,Europe/Paris,0.0,1749244754.310789,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,0.0,1749278697.703248,,180.0,
,instagram,,closedApp,Europe/Paris,0.0,1749278884.00312,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,0.0,1749280504.089068,,240.0,
,instagram,,closedApp,Europe/Paris,0.0,1749280749.218398,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,0.0,1749280758.607913,,300.0,
,instagram,,closedApp,Europe/Paris,0.0,1749281052.756403,,,
,instagram,,closedApp,Europe/Paris,0.0,1749281406.634667,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,1.0,1749281413.231967,,300.0,
breathingExercise,582C1373-FB66-43B7-94F7-4406178CFBE4,1.5,openedApp,Europe/Paris,0.0,1749295011.5373201,,,
breathingExercise,tikTok,1.5,openedApp,Europe/Paris,0.0,1749295026.353734,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749295457.454829,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749295837.1516662,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749296515.086873,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749296716.258024,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,0.0,1749297958.627633,,360.0,
,instagram,,closedApp,Europe/Paris,0.0,1749298069.697037,,,
breathingExercise,tikTok,1.5,openedApp,Europe/Paris,0.0,1749299291.59058,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749299323.4637141,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749299381.397956,,,
breathingExercise,snapchat,1.5,openedApp,Europe/Paris,0.0,1749317467.0790029,,,
,snapchat,,closedApp,Europe/Paris,0.0,1749317519.685679,,,
,snapchat,,closedApp,Europe/Paris,0.0,1749318283.6741529,,,
journaling,brave,,dismissedAppOpening,Europe/Paris,0.0,1749340859.80637,,,
,brave,,closedApp,Europe/Paris,0.0,1749341110.8255959,,,
,brave,,closedApp,Europe/Paris,0.0,1749343438.9227772,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,0.0,1749364811.042383,,180.0,
,instagram,,closedApp,Europe/Paris,0.0,1749364995.6109328,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,0.0,1749366711.464157,,240.0,
,instagram,,closedApp,Europe/Paris,0.0,1749366960.002599,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,1.0,1749366965.398474,,360.0,
,instagram,,closedApp,Europe/Paris,0.0,1749367322.2511659,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,1.0,1749367327.457594,,180.0,
,instagram,,closedApp,Europe/Paris,0.0,1749367503.621427,,,
breathingExercise,instagram,1.5,openedApp,Europe/Paris,0.0,1749381626.06315,,420.0,
,instagram,,closedApp,Europe/Paris,0.0,1749382025.1281,,,
breathingExercise,tikTok,1.5,openedApp,Europe/Paris,0.0,1749382031.84308,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749382210.480238,,,
breathingExercise,tikTok,1.5,openedApp,Europe/Paris,0.0,1749382439.8770661,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749382462.550993,,,
breathingExercise,brave,1.5,openedApp,Europe/Paris,0.0,1749401531.759807,,,
,brave,,closedApp,Europe/Paris,0.0,1749402504.6061568,,,
,brave,,closedApp,Europe/Paris,0.0,1749403044.565388,,,
breathingExercise,tikTok,1.5,openedApp,Europe/Paris,0.0,1749447938.404743,,,
,instagram,,closedApp,Europe/Paris,0.0,1749457442.189826,,,
,instagram,,closedApp,Europe/Paris,0.0,1749458847.460923,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749449769.942719,,,
,snapchat,,closedApp,Europe/Paris,0.0,1749462047.474615,,,
,snapchat,,closedApp,Europe/Paris,0.0,1749462317.873174,,,
,instagram,,closedApp,Europe/Paris,0.0,1749484109.236675,,,
,instagram,,closedApp,Europe/Paris,0.0,1749484215.018066,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749469209.515996,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749470629.7032518,,,
,youtube,,closedApp,Europe/Paris,0.0,1749466226.067009,,,
,youtube,,closedApp,Europe/Paris,0.0,1749466433.481059,,,
,instagram,,closedApp,Europe/Paris,0.0,1749495639.287736,,,
breathingExercise,brave,1.5,dismissedAppOpening,Europe/Paris,0.0,1749503731.381662,,,
breathingExercise,appleTV,1.5,dismissedAppOpening,Europe/Paris,0.0,1749503798.64086,,,
breathingExercise,tikTok,1.5,dismissedAppOpening,Europe/Paris,0.0,1749504785.208994,,,
breathingExercise,tikTok,1.5,openedApp,Europe/Paris,0.0,1749504788.9302459,,,
,instagram,,closedApp,Europe/Paris,0.0,1749539275.707222,,,
,instagram,,closedApp,Europe/Paris,0.0,1749539348.5907578,,,
,instagram,,closedApp,Europe/Paris,0.0,1749539416.5327091,,,
,instagram,,closedApp,Europe/Paris,0.0,1749539652.2152848,,,
,instagram,,closedApp,Europe/Paris,0.0,1749539729.943552,,,
,instagram,,closedApp,Europe/Paris,0.0,1749539781.082955,,,
,instagram,,closedApp,Europe/Paris,0.0,1749539811.9663138,,,
,instagram,,closedApp,Europe/Paris,0.0,1749539892.884104,,,
,instagram,,closedApp,Europe/Paris,0.0,1749539955.803681,,,
,instagram,,closedApp,Europe/Paris,0.0,1749540106.787216,,,
,instagram,,closedApp,Europe/Paris,0.0,1749540163.271416,,,
,instagram,,closedApp,Europe/Paris,0.0,1749540335.612191,,,
,instagram,,closedApp,Europe/Paris,0.0,1749540362.987656,,,
,instagram,,closedApp,Europe/Paris,0.0,1749541506.189935,,,
,instagram,,closedApp,Europe/Paris,0.0,1749541540.522759,,,
,tikTok,,closedApp,Europe/Paris,0.0,1749541826.454098,,,
,brave,,closedApp,Europe/Paris,0.0,1749558459.81774,,,
,brave,,closedApp,Europe/Paris,0.0,1749558564.964785,,,
,brave,,closedApp,Europe/Paris,0.0,1749558935.2447128,,,
,brave,,closedApp,Europe/Paris,0.0,1749560329.918614,,,
,instagram,,closedApp,Europe/Paris,0.0,1749626311.276287,,,
,brave,,closedApp,Europe/Paris,0.0,1749627134.380614,,,
,brave,,closedApp,Europe/Paris,0.0,1749627191.789154,,,
,brave,,closedApp,Europe/Paris,0.0,1749627251.0437732,,,
,brave,,closedApp,Europe/Paris,0.0,1749627982.087106,,,
,brave,,closedApp,Europe/Paris,0.0,1749628341.401236,,,
,brave,,closedApp,Europe/Paris,0.0,1749628448.459272,,,
,brave,,closedApp,Europe/Paris,0.0,1749628567.241699,,,
,brave,,closedApp,Europe/Paris,0.0,1749630201.055331,,,
,brave,,closedApp,Europe/Paris,0.0,1749632360.8532882,,,
,brave,,closedApp,Europe/Paris,0.0,1749633033.7429662,,,
breathingExercise,brave,1.5,openedApp,Europe/Paris,0.0,1749647559.8587809,,,
