resolution,app,timestamp,interventionType,isReIntervention,timezone,interventionDuration,terminationReason
dismissedAppOpening,instagram,1748618130.0939689,breathingExercise,0.0,Europe/Berlin,1.5,
,,1748618213.945238,,,,,terminatedByUser
