interventionDuration,isReIntervention,timezone,app,interventionType,timestamp,resolution,timeIntervalUntilReIntervention
1.5,False,America/Bogota,instagram,breathingExercise,1751421234.723604,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751423443.590642,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751423572.375581,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751423591.142521,openedApp,300.0
1.5,False,America/Bogota,instagram,breathingExercise,1751423715.860642,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751425150.070926,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751425153.660439,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751425157.826796,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751425496.481637,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751431941.267585,openedApp,300.0
1.5,False,America/Bogota,instagram,breathingExercise,1751432033.002917,openedApp,360.0
1.5,False,America/Bogota,instagram,breathingExercise,1751432291.7341828,openedApp,600.0
1.5,False,America/Bogota,instagram,breathingExercise,1751432767.4260302,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751432807.506911,openedApp,360.0
1.5,False,America/Bogota,instagram,breathingExercise,1751462139.146611,openedApp,360.0
1.5,False,America/Bogota,instagram,breathingExercise,1751464556.536642,openedApp,360.0
1.5,False,America/Bogota,instagram,breathingExercise,1751467265.496265,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751467400.870753,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751467747.9340491,openedApp,540.0
1.5,False,America/Bogota,instagram,breathingExercise,1751468906.154747,openedApp,60.0
1.5,False,America/Bogota,instagram,breathingExercise,1751479941.453156,openedApp,660.0
1.5,False,America/Bogota,instagram,breathingExercise,1751480320.850968,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751480330.113227,openedApp,720.0
1.5,False,America/Bogota,instagram,breathingExercise,1751480553.713042,openedApp,900.0
1.5,False,America/Bogota,instagram,breathingExercise,1751482681.685636,openedApp,600.0
1.5,False,America/Bogota,instagram,breathingExercise,1751482703.659919,openedApp,540.0
1.5,False,America/Bogota,instagram,breathingExercise,1751483087.4185529,openedApp,660.0
1.5,False,America/Bogota,instagram,breathingExercise,1751484022.332746,openedApp,840.0
1.5,False,America/Bogota,instagram,breathingExercise,1751484412.344396,openedApp,840.0
1.5,False,America/Bogota,instagram,breathingExercise,1751485033.177758,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751490712.316483,openedApp,660.0
1.5,False,America/Bogota,instagram,breathingExercise,1751494105.682948,openedApp,780.0
1.5,False,America/Bogota,instagram,breathingExercise,1751494352.650743,openedApp,720.0
1.5,False,America/Bogota,instagram,breathingExercise,1751495038.039938,openedApp,720.0
1.5,False,America/Bogota,instagram,breathingExercise,1751495343.560063,openedApp,960.0
1.5,False,America/Bogota,instagram,breathingExercise,1751497301.825094,openedApp,480.0
1.5,False,America/Bogota,instagram,breathingExercise,1751500152.185862,openedApp,240.0
1.5,False,America/Bogota,instagram,breathingExercise,1751500519.788176,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751511974.164146,openedApp,720.0
1.5,False,America/Bogota,instagram,breathingExercise,1751512748.2628179,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751512759.544536,openedApp,720.0
1.5,False,America/Bogota,instagram,breathingExercise,1751513283.3112211,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751513294.540173,openedApp,480.0
1.5,False,America/Bogota,instagram,breathingExercise,1751513896.164079,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751514428.185926,dismissedAppOpening,
1.5,False,America/Bogota,instagram,breathingExercise,1751517258.4747748,openedApp,660.0
1.5,False,America/Bogota,instagram,breathingExercise,1751519084.210791,openedApp,600.0
1.5,False,America/Bogota,instagram,breathingExercise,1751549545.234373,openedApp,360.0
1.5,False,America/Bogota,instagram,breathingExercise,1751555281.471902,openedApp,540.0
