timestamp,interventionDuration,app,interventionType,isReIntervention,timezone,resolution,purpose,timeIntervalUntilReIntervention,terminationReason
1749071112.6003199,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749071117.457227,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749071122.1009278,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749071145.0442529,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Message,60.0,
1749071228.9424958,1.5,instagram,breathingExercise,1.0,Europe/Dublin,dismissedAppOpening,,,
1749071236.0294561,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749072654.19552,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Relax,300.0,
1749072988.292186,1.5,instagram,breathingExercise,1.0,Europe/Dublin,openedApp,Message,60.0,
1749073089.950986,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749073101.113965,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749073150.684352,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Entertainment,600.0,
1749073787.088759,1.5,instagram,breathingExercise,1.0,Europe/Dublin,openedApp,One more minute ,180.0,
1749073999.1314878,1.5,instagram,breathingExercise,1.0,Europe/Dublin,dismissedAppOpening,,,
1749074123.19293,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749074136.518168,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749074477.67148,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749081976.69775,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Message,300.0,
1749082211.181912,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Message,600.0,
1749083338.129981,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749083472.840742,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749085264.514971,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749116761.457829,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Message,60.0,
1749124648.944901,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749125193.876058,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749125236.157346,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749125249.044899,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749125264.8102698,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749131176.800612,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Relax,1200.0,
1749131177.151341,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749132424.679545,1.5,instagram,breathingExercise,1.0,Europe/Dublin,dismissedAppOpening,,,
1749135198.272241,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749135219.51891,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749135223.6690269,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749136163.5266728,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749136169.363185,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749138917.929318,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749143351.764229,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749143521.561565,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749143614.470465,1.5,instagram,breathingExercise,0.0,Europe/Dublin,dismissedAppOpening,,,
1749143629.923767,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Stay In the Loop,300.0,
1749143692.1000772,1.5,instagram,breathingExercise,0.0,Europe/Dublin,openedApp,Stay In the Loop,60.0,
1749144028.609209,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
1749145916.5629559,,instagram,structured,0.0,Europe/Dublin,dismissedByStructuredIntervention,,,
