timestamp,app,resolution,isReIntervention,interventionDuration,timezone,interventionType
1750309573.48014,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750309761.098689,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750311614.3163052,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750311948.2523432,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750312927.659873,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750320397.0874639,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750320627.461333,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750330647.906424,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750332259.982215,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750344507.4931068,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750344537.995205,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750344627.884409,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750344716.296949,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750344773.970412,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750351260.6671,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750353997.8429,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750355411.4925408,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750392425.3880029,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750392615.0136409,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750394587.288274,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750395467.30213,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750397518.866102,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750397601.6816769,instagram,dismissedAppOpening,False,1.5,Asia/Kolkata,breathingExercise
1750402121.582096,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750402375.491434,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750402644.391468,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750402966.8505712,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750403515.741171,instagram,dismissedAppOpening,False,1.5,Asia/Kolkata,breathingExercise
1750403523.9455218,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750403719.54356,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750404062.777504,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750404134.1658258,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750405107.7955298,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750405172.2157311,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750405329.445353,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750409747.230761,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750428819.8243551,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750429178.053685,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750430030.624131,instagram,dismissedAppOpening,False,1.5,Asia/Kolkata,breathingExercise
1750430111.156125,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750434966.5603929,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750435741.346033,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750436715.708881,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750438821.4566941,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750438934.391797,instagram,dismissedAppOpening,False,1.5,Asia/Kolkata,breathingExercise
1750446666.181639,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750449044.776295,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750449119.91063,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750449144.670775,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750449316.286569,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750449370.783081,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750449444.080525,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750449660.7881389,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750449712.741836,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750449898.5825238,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750450205.869868,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750450557.766356,instagram,dismissedAppOpening,False,1.5,Asia/Kolkata,breathingExercise
1750453410.853581,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750476658.048249,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750478461.043262,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
1750479980.747154,instagram,openedApp,False,1.5,Asia/Kolkata,breathingExercise
