timestamp,interventionType,app,timezone,resolution,isReIntervention,interventionDuration,purpose
1750100935.0248852,breathingExercise,strava,Europe/Oslo,openedApp,False,1.5,Post something
1750104288.8759289,breathingExercise,facebook,Europe/Oslo,openedApp,False,1.5,Search Info
1750142338.245456,,strava,Europe/Oslo,openedApp,False,,
1750142518.245456,,strava,Europe/Oslo,closedApp,False,,
1750142518.245456,,strava,Europe/Oslo,dismissedAppOpening,False,,
1750143276.027405,breathingExercise,tikTok,Europe/Oslo,openedApp,False,1.5,Breastfeeding
1750143873.020884,,instagram,Europe/Oslo,openedApp,False,,
1750144173.020884,,instagram,Europe/Oslo,closedApp,False,,
1750144173.020884,,instagram,Europe/Oslo,dismissedAppOpening,False,,
1750143694.324966,,tikTok,Europe/Oslo,openedApp,False,,
1750144294.324967,,tikTok,Europe/Oslo,closedApp,False,,
1750144294.324967,,tikTok,Europe/Oslo,dismissedAppOpening,False,,
1750144946.16623,breathingExercise,tikTok,Europe/Oslo,openedApp,False,1.5,Breastfeeding
1750160857.180523,,facebook,Europe/Oslo,openedApp,False,,
1750160977.180523,,facebook,Europe/Oslo,closedApp,False,,
1750160977.180523,,facebook,Europe/Oslo,dismissedAppOpening,False,,
1750161497.107749,breathingExercise,instagram,Europe/Oslo,openedApp,False,1.5,Breastfeeding
1750163792.760176,breathingExercise,facebook,Europe/Oslo,openedApp,False,1.5,Search Info
1750166161.971977,breathingExercise,instagram,Europe/Oslo,openedApp,False,1.5,Search Info
1750167205.026789,breathingExercise,tikTok,Europe/Oslo,openedApp,False,1.5,Breastfeeding
1750167589.5281081,,facebook,Europe/Oslo,openedApp,False,,
1750167709.528109,,facebook,Europe/Oslo,closedApp,False,,
1750167709.528109,,facebook,Europe/Oslo,dismissedAppOpening,False,,
1750181268.810358,breathingExercise,tikTok,Europe/Oslo,openedApp,False,1.5,Breastfeeding
1750185580.79146,breathingExercise,tikTok,Europe/Oslo,openedApp,False,1.5,Entertainment
1750231587.121505,breathingExercise,strava,Europe/Oslo,openedApp,False,1.5,Post something
1750240951.981538,,instagram,Europe/Oslo,openedApp,False,,
1750241251.981538,,instagram,Europe/Oslo,closedApp,False,,
1750241251.981538,,instagram,Europe/Oslo,dismissedAppOpening,False,,
1750254534.443707,breathingExercise,instagram,Europe/Oslo,openedApp,False,1.5,Breastfeeding
1750268107.898623,breathingExercise,instagram,Europe/Oslo,openedApp,False,1.5,Stay In the Loop
1750268687.9183931,breathingExercise,tikTok,Europe/Oslo,openedApp,False,1.5,Entertainment
1750270428.790113,,instagram,Europe/Oslo,openedApp,False,,
1750270728.790113,,instagram,Europe/Oslo,closedApp,False,,
1750270728.790113,,instagram,Europe/Oslo,dismissedAppOpening,False,,
1750272518.550551,breathingExercise,instagram,Europe/Oslo,openedApp,False,1.5,Entertainment
1750314823.122353,breathingExercise,instagram,Europe/Oslo,openedApp,False,1.5,Breastfeeding
1750336737.834436,breathingExercise,instagram,Europe/Oslo,openedApp,False,1.5,Search Info
1750339061.742618,,strava,Europe/Oslo,openedApp,False,,
1750339421.742618,,strava,Europe/Oslo,closedApp,False,,
1750339421.742618,,strava,Europe/Oslo,dismissedAppOpening,False,,
1750339127.8007479,,safari,Europe/Oslo,openedApp,False,,
1750339727.8007479,,safari,Europe/Oslo,closedApp,False,,
1750339727.8007479,,safari,Europe/Oslo,dismissedAppOpening,False,,
1750340217.208243,breathingExercise,tikTok,Europe/Oslo,dismissedAppOpening,False,1.5,
1750352191.7324529,breathingExercise,instagram,Europe/Oslo,openedApp,False,1.5,Breastfeeding
1750359704.826974,,strava,Europe/Oslo,openedApp,False,,
1750360064.826974,,strava,Europe/Oslo,closedApp,False,,
1750360064.826974,,strava,Europe/Oslo,dismissedAppOpening,False,,
1750364445.354121,,tikTok,Europe/Oslo,openedApp,False,,
1750365045.354121,,tikTok,Europe/Oslo,closedApp,False,,
1750365045.354121,,tikTok,Europe/Oslo,dismissedAppOpening,False,,
1750366113.146295,breathingExercise,tikTok,Europe/Oslo,openedApp,False,1.5,Stay In the Loop
1750426272.1022558,,instagram,Europe/Oslo,openedApp,False,,
1750426572.1022558,,instagram,Europe/Oslo,closedApp,False,,
1750426572.1022558,,instagram,Europe/Oslo,dismissedAppOpening,False,,
1750439548.519153,breathingExercise,tikTok,Europe/Oslo,openedApp,False,1.5,Breastfeeding
1750495062.0795631,breathingExercise,strava,Europe/Oslo,openedApp,False,1.5,Post something
1750577255.485299,breathingExercise,safari,Europe/Oslo,openedApp,False,1.5,Search Info
1750596705.704886,breathingExercise,instagram,Europe/Oslo,openedApp,False,1.5,Search Info
1750616288.253979,,safari,Europe/Oslo,openedApp,False,,
1750616888.2539802,,safari,Europe/Oslo,closedApp,False,,
1750616888.2539802,,safari,Europe/Oslo,dismissedAppOpening,False,,
1750617079.951498,breathingExercise,safari,Europe/Oslo,openedApp,False,1.5,Stay In the Loop
1750618154.99973,breathingExercise,instagram,Europe/Oslo,dismissedAppOpening,False,1.5,
1750618181.131486,breathingExercise,instagram,Europe/Oslo,openedApp,False,1.5,Search Info
1750684217.760594,breathingExercise,safari,Europe/Oslo,openedApp,False,1.5,Search Info
1750685348.0014749,breathingExercise,safari,Europe/Oslo,openedApp,False,1.5,Search Info
1750699516.925407,breathingExercise,tikTok,Europe/Oslo,openedApp,False,1.5,Stay In the Loop
1750705782.385775,breathingExercise,strava,Europe/Oslo,dismissedAppOpening,False,1.5,
1750705917.1678128,breathingExercise,strava,Europe/Oslo,openedApp,False,1.5,Post something
1750706536.571554,breathingExercise,instagram,Europe/Oslo,openedApp,False,1.5,Post something
1750705373.882934,,strava,Europe/Oslo,openedApp,False,,
1750705733.882934,,strava,Europe/Oslo,closedApp,False,,
1750705733.882934,,strava,Europe/Oslo,dismissedAppOpening,False,,
1750758323.586359,breathingExercise,tikTok,Europe/Oslo,openedApp,False,1.5,Breastfeeding
1750793070.2399092,breathingExercise,tikTok,Europe/Oslo,openedApp,False,1.5,Search Info
1750844441.7605839,breathingExercise,instagram,Europe/Oslo,openedApp,False,1.5,Relax
1750873835.050943,breathingExercise,instagram,Europe/Oslo,openedApp,False,1.5,Search Info
1750876412.4691238,breathingExercise,instagram,Europe/Oslo,dismissedAppOpening,False,1.5,
1750922647.5983748,breathingExercise,safari,Europe/Oslo,openedApp,False,1.5,Search Info
1750924104.50322,breathingExercise,instagram,Europe/Oslo,openedApp,False,1.5,Search Info
1750935490.9216099,breathingExercise,strava,Europe/Oslo,openedApp,False,1.5,Search Info
1750935973.6102881,breathingExercise,strava,Europe/Oslo,openedApp,False,1.5,Search Info
1750936554.634472,,instagram,Europe/Oslo,openedApp,False,,
1750936854.6344728,,instagram,Europe/Oslo,closedApp,False,,
1750936854.6344728,,instagram,Europe/Oslo,dismissedAppOpening,False,,
1750937472.0093179,breathingExercise,tikTok,Europe/Oslo,openedApp,False,1.5,Breastfeeding
1750938382.6944342,breathingExercise,strava,Europe/Oslo,openedApp,False,1.5,Entertainment
