timezone,app,resolution,timestamp,isReIntervention,interventionType,interventionDuration,purpose
America/Monterrey,whastapp,openedApp,1750199359.956682,False,breathingExercise,1.5,messages 
America/Monterrey,instagram,openedApp,1750199575.993978,False,breathingExercise,1.5,messages
America/Monterrey,whastapp,closedApp,1750200065.363565,False,,,
America/Monterrey,instagram,openedApp,1750200079.45861,False,breathingExercise,1.5,test
America/Monterrey,instagram,dismissedAppOpening,1750200413.8566751,False,breathingExercise,1.5,
America/Monterrey,whastapp,closedApp,1750201350.420282,False,,,
America/Monterrey,whastapp,closedApp,1750201566.862561,False,,,
America/Monterrey,whastapp,closedApp,1750201603.576641,False,,,
America/Monterrey,instagram,dismissedAppOpening,1750201624.1724029,False,breathingExercise,1.5,
America/Monterrey,instagram,openedApp,1750201641.6613889,False,breathingExercise,1.5,check
America/Monterrey,whastapp,closedApp,1750204648.069866,False,,,
America/Monterrey,whastapp,closedApp,1750204748.1944861,False,,,
America/Monterrey,instagram,openedApp,1750204792.9042912,False,breathingExercise,1.5,check
America/Monterrey,whastapp,closedApp,1750204847.8050609,False,,,
America/Monterrey,whastapp,openedApp,1750205114.5688019,False,breathingExercise,1.5,test
America/Monterrey,whastapp,dismissedAppOpening,1750205663.049552,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750206705.879208,False,breathingExercise,1.5,video 
America/Monterrey,whastapp,openedApp,1750206925.807139,False,breathingExercise,1.5,meditación
America/Monterrey,instagram,dismissedAppOpening,1750206955.018614,False,breathingExercise,1.5,
America/Monterrey,instagram,dismissedAppOpening,1750213069.749342,False,journaling,,
America/Monterrey,instagram,openedApp,1750213371.0198379,False,breathingExercise,1.5,say good night to friends
America/Monterrey,whastapp,openedApp,1750213573.049906,False,breathingExercise,1.5,say good night tonfeoends and family 
America/Monterrey,whastapp,openedApp,1750214091.442709,False,breathingExercise,1.5,recibi bbva
America/Monterrey,whastapp,openedApp,1750215705.077524,False,breathingExercise,1.5,last
America/Monterrey,twitter,openedApp,1750215892.724632,False,breathingExercise,1.5,weather
America/Monterrey,whastapp,openedApp,1750216025.908029,False,breathingExercise,1.5,h
America/Monterrey,instagram,openedApp,1750217665.504415,False,breathingExercise,1.5,check
America/Monterrey,whastapp,dismissedAppOpening,1750218773.109559,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750219108.3229342,False,breathingExercise,1.5,whatsapp
America/Monterrey,instagram,dismissedAppOpening,1750219347.717814,False,breathingExercise,1.5,
America/Monterrey,instagram,dismissedAppOpening,1750219440.255657,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750220775.433714,False,breathingExercise,1.5,last
America/Monterrey,whastapp,dismissedAppOpening,1750220979.8286,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750221008.1012158,False,breathingExercise,1.5,reply
America/Monterrey,facebook,dismissedAppOpening,1750221041.5202088,False,breathingExercise,1.5,
America/Monterrey,facebook,dismissedAppOpening,1750221045.314781,False,breathingExercise,1.5,
America/Monterrey,instagram,dismissedAppOpening,1750222279.987699,False,breathingExercise,1.5,
America/Monterrey,instagram,openedApp,1750223908.595818,False,breathingExercise,1.5,deep
America/Monterrey,whastapp,openedApp,1750223956.674059,False,breathingExercise,1.5,deep
America/Monterrey,facebook,dismissedAppOpening,1750251110.411992,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750251571.865483,False,breathingExercise,1.5,
America/Monterrey,instagram,openedApp,1750251598.392585,False,breathingExercise,1.5,morning check. 
America/Monterrey,whastapp,openedApp,1750251717.4066892,False,breathingExercise,1.5,mornkng check
America/Monterrey,whastapp,dismissedAppOpening,1750251957.482912,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750252759.470173,False,breathingExercise,1.5,Lorena
America/Monterrey,whastapp,openedApp,1750254766.36171,False,breathingExercise,1.5,reply
America/Monterrey,instagram,dismissedAppOpening,1750259886.812736,False,breathingExercise,1.5,
America/Monterrey,instagram,dismissedAppOpening,1750260311.8632169,False,breathingExercise,1.5,
America/Monterrey,facebookMessenger,dismissedAppOpening,1750262461.8417978,False,breathingExercise,1.5,
America/Monterrey,instagram,openedApp,1750262563.2107291,False,breathingExercise,1.5,morning check 
America/Monterrey,whastapp,openedApp,1750262897.953423,False,breathingExercise,1.5,check messages 
America/Monterrey,facebookMessenger,openedApp,1750263033.607269,False,breathingExercise,1.5,morning check
America/Monterrey,facebook,openedApp,1750263051.900614,False,breathingExercise,1.5,mornkng check
America/Monterrey,whastapp,dismissedAppOpening,1750263227.2023869,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750263231.686301,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750263234.16426,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750263256.803153,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750263333.511538,False,breathingExercise,1.5,
America/Monterrey,instagram,dismissedAppOpening,1750265338.5214128,False,breathingExercise,1.5,
America/Monterrey,twitter,dismissedAppOpening,1750266891.098431,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750266935.464289,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750266954.7265658,False,breathingExercise,1.5,check mensajes 
America/Monterrey,whastapp,openedApp,1750267156.523652,False,breathingExercise,1.5,reply
America/Monterrey,instagram,dismissedAppOpening,1750267414.9279618,False,breathingExercise,1.5,
America/Monterrey,whastapp,dismissedAppOpening,1750267468.663979,False,breathingExercise,1.5,
America/Monterrey,whastapp,openedApp,1750272057.224887,False,breathingExercise,1.5,Mensaje a Gus
America/Monterrey,instagram,dismissedAppOpening,1750272095.261743,False,breathingExercise,1.5,
