timezone,timestamp,resolution,app,interventionType,isReIntervention,interventionDuration,purpose,terminationReason
Europe/Zurich,1753212039.995946,openedApp,tikTok,breathingExercise,0.0,1.5,Search Info,
Europe/Zurich,1753294424.2263741,openedApp,tikTok,breathingExercise,0.0,1.5,Search Info,
Europe/Zurich,1753211575.504837,openedApp,tikTok,,0.0,,,
Europe/Zurich,1753211815.504838,closedApp,tikTok,,0.0,,,
Europe/Zurich,1753211815.504838,dismissedAppOpening,tikTok,,0.0,,,
Europe/Zurich,1753212203.71453,openedApp,tikTok,,0.0,,,
Europe/Zurich,1753212443.71453,closedApp,tikTok,,0.0,,,
Europe/Zurich,1753212443.71453,dismissedAppOpening,tikTok,,0.0,,,
Europe/Zurich,1753339944.847893,openedApp,tikTok,breathingExercise,0.0,1.5,Stay In the Loop,
Europe/Zurich,1753453923.890022,openedApp,tikTok,,0.0,,,
Europe/Zurich,1753454163.890023,closedApp,tikTok,,0.0,,,
Europe/Zurich,1753454163.890023,dismissedAppOpening,tikTok,,0.0,,,
Europe/Zurich,1753453924.0382671,openedApp,tikTok,,0.0,,,
Europe/Zurich,1753454164.0382671,closedApp,tikTok,,0.0,,,
Europe/Zurich,1753454164.0382671,dismissedAppOpening,tikTok,,0.0,,,
Europe/Zurich,1753544104.654736,openedApp,tikTok,,0.0,,,
Europe/Zurich,1753544344.654737,closedApp,tikTok,,0.0,,,
Europe/Zurich,1753544344.654737,dismissedAppOpening,tikTok,,0.0,,,
Europe/Zurich,1753572566.102572,openedApp,tikTok,,0.0,,,
Europe/Zurich,1753572806.102573,closedApp,tikTok,,0.0,,,
Europe/Zurich,1753572806.102573,dismissedAppOpening,tikTok,,0.0,,,
Europe/Zurich,1753572824.852834,openedApp,tikTok,breathingExercise,0.0,1.5,Stay In the Loop,
Europe/Zurich,1753645988.210888,openedApp,tikTok,breathingExercise,0.0,1.5,Search Info,
Europe/Zurich,1753739411.43151,openedApp,tikTok,,0.0,,,
Europe/Zurich,1753739651.43151,closedApp,tikTok,,0.0,,,
Europe/Zurich,1753739651.43151,dismissedAppOpening,tikTok,,0.0,,,
Europe/Zurich,1753742181.504912,openedApp,tikTok,,0.0,,,
Europe/Zurich,1753742421.504912,closedApp,tikTok,,0.0,,,
Europe/Zurich,1753742421.504912,dismissedAppOpening,tikTok,,0.0,,,
,1753959069.561068,,,,,,,terminatedByUser
