timestamp,interventionDuration,timezone,app,resolution,interventionType,isReIntervention
1752962504.911011,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1752963252.7483602,1.5,America/Mexico_City,tikTok,dismissedAppOpening,breathingExercise,False
1752963271.159143,1.5,America/Mexico_City,tikTok,dismissedAppOpening,breathingExercise,False
1752963324.290549,1.5,America/Mexico_City,tikTok,dismissedAppOpening,breathingExercise,False
1752963334.2078938,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1752965739.540586,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1752967638.111587,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1752967893.047648,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1752975734.221558,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1752982449.249528,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1752983450.8370872,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1752984048.797826,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1752985436.70185,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1752992700.768781,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1752993423.678866,1.5,America/Mexico_City,tikTok,dismissedAppOpening,breathingExercise,False
1753024905.292723,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753032968.9032822,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753033935.91821,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753037362.8516579,1.5,America/Mexico_City,tikTok,dismissedAppOpening,breathingExercise,False
1753038211.465833,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753038489.5945091,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753040548.782693,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753044304.609511,1.5,America/Mexico_City,tikTok,dismissedAppOpening,breathingExercise,False
1753044311.823309,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753048893.041868,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753050422.206907,1.5,America/Mexico_City,tikTok,dismissedAppOpening,breathingExercise,False
1753050510.236669,1.5,America/Mexico_City,tikTok,dismissedAppOpening,breathingExercise,False
1753053986.5310512,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753054060.80779,1.5,America/Mexico_City,tikTok,dismissedAppOpening,breathingExercise,False
1753054202.554229,1.5,America/Mexico_City,tikTok,dismissedAppOpening,breathingExercise,False
1753054289.3981261,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753054309.316609,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753055837.5694752,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753055881.130307,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753056412.2196832,1.5,America/Mexico_City,tikTok,dismissedAppOpening,breathingExercise,False
1753056422.691391,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753056488.23735,1.5,America/Mexico_City,tikTok,dismissedAppOpening,breathingExercise,False
1753056587.406666,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753057285.765905,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753058367.8781118,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753065590.611579,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753080047.289593,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753080440.460681,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753108911.479103,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753121044.267714,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753121216.1477408,1.5,America/Mexico_City,tikTok,dismissedAppOpening,breathingExercise,False
1753147627.981563,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753148943.507626,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753149749.156462,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753150167.0903149,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753151091.138701,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753151456.4528499,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753153767.7116308,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753154581.041209,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753154601.2395868,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753155023.642438,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753155594.477834,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753160343.0966082,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753181870.541662,1.5,America/Mexico_City,tikTok,dismissedAppOpening,breathingExercise,False
1753182583.0904841,1.5,America/Mexico_City,tikTok,dismissedAppOpening,breathingExercise,False
1753183054.855423,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753199440.6257749,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753199591.471488,1.5,America/Mexico_City,tikTok,dismissedAppOpening,breathingExercise,False
1753201283.1394,1.5,America/Mexico_City,tikTok,dismissedAppOpening,breathingExercise,False
1753201289.91449,1.5,America/Mexico_City,tikTok,dismissedAppOpening,breathingExercise,False
1753201297.0718222,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753201386.435307,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753202271.467916,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753202696.116117,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753203236.233599,1.5,America/Mexico_City,tikTok,dismissedAppOpening,breathingExercise,False
1753219619.742394,1.5,America/Mexico_City,tikTok,dismissedAppOpening,breathingExercise,False
1753219684.0258741,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753221386.79656,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753221695.92536,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753221727.571037,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753221742.896795,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753221852.3823218,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753222767.827532,1.5,America/Mexico_City,tikTok,dismissedAppOpening,breathingExercise,False
1753222832.334538,1.5,America/Mexico_City,tikTok,dismissedAppOpening,breathingExercise,False
1753227657.847404,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753236498.508034,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753236698.84221,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753237387.4956899,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753238478.241053,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753238933.796545,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753240791.329373,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753241803.110631,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753245526.079183,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753281542.220442,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753324204.2454681,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753325223.081483,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753326259.057671,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753326324.140023,1.5,America/Mexico_City,tikTok,dismissedAppOpening,breathingExercise,False
1753326443.026226,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753331251.2060552,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753335668.6376982,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753335740.829805,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753336713.738021,1.5,America/Mexico_City,tikTok,dismissedAppOpening,breathingExercise,False
1753336738.355875,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753410660.657862,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753411667.56713,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753412010.581919,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753412282.324794,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753412628.813836,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753414674.3079019,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753415067.69293,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
1753415131.911833,1.5,America/Mexico_City,tikTok,openedApp,breathingExercise,False
