timezone,isReIntervention,interventionType,timestamp,resolution,interventionDuration,app
Europe/Berlin,False,breathingExercise,1750667127.552322,openedApp,1.5,instagram
Europe/Berlin,False,breathingExercise,1750667272.327335,openedApp,1.5,instagram
Europe/Berlin,False,breathingExercise,1750667294.114387,openedApp,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750667309.4214811,dismissedAppOpening,1.5,instagram
Europe/Berlin,False,breathingExercise,1750669555.895138,openedApp,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750670513.522023,openedApp,1.5,instagram
Europe/Berlin,False,breathingExercise,1750671116.885705,openedApp,1.5,instagram
Europe/Berlin,False,breathingExercise,1750671184.571862,openedApp,1.5,instagram
Europe/Berlin,False,breathingExercise,1750677448.378285,openedApp,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750684181.986702,openedApp,1.5,instagram
Europe/Berlin,False,breathingExercise,1750691018.275897,openedApp,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750691035.972486,openedApp,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750691137.12311,openedApp,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750691846.032886,openedApp,1.5,instagram
Europe/Berlin,False,breathingExercise,1750691928.7005038,openedApp,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750692260.450578,openedApp,1.5,instagram
Europe/Berlin,False,breathingExercise,1750692343.342787,dismissedAppOpening,1.5,instagram
Europe/Berlin,False,breathingExercise,1750692348.342771,openedApp,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750692460.063644,dismissedAppOpening,1.5,instagram
Europe/Berlin,False,breathingExercise,1750692462.994484,dismissedAppOpening,1.5,instagram
Europe/Berlin,False,breathingExercise,1750692488.451168,openedApp,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750693323.576848,openedApp,1.5,instagram
Europe/Berlin,False,breathingExercise,1750693355.2583241,dismissedAppOpening,1.5,instagram
Europe/Berlin,False,breathingExercise,1750693385.135077,openedApp,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750693538.7956529,dismissedAppOpening,1.5,instagram
Europe/Berlin,False,breathingExercise,1750693588.486991,openedApp,1.5,instagram
Europe/Berlin,False,breathingExercise,1750693798.880738,openedApp,1.5,instagram
Europe/Berlin,False,breathingExercise,1750694572.2531981,openedApp,1.5,instagram
Europe/Berlin,False,breathingExercise,1750694676.488545,openedApp,1.5,instagram
Europe/Berlin,False,breathingExercise,1750694769.1742048,openedApp,1.5,instagram
Europe/Berlin,False,breathingExercise,1750694887.250804,openedApp,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750695570.3397388,openedApp,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750696259.733403,openedApp,1.5,instagram
Europe/Berlin,False,breathingExercise,1750697565.570067,openedApp,1.5,instagram
Europe/Berlin,False,breathingExercise,1750697704.745261,dismissedAppOpening,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750697711.0936198,openedApp,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750697956.3098412,openedApp,1.5,instagram
Europe/Berlin,False,breathingExercise,1750700806.867919,openedApp,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750701193.817909,openedApp,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750701375.229934,openedApp,1.5,instagram
Europe/Berlin,False,breathingExercise,1750701679.05859,openedApp,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750701809.344843,openedApp,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750703892.908136,openedApp,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750704206.524612,openedApp,1.5,instagram
Europe/Berlin,False,breathingExercise,1750705322.346212,openedApp,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750706741.170765,openedApp,1.5,instagram
Europe/Berlin,False,breathingExercise,1750706755.072437,dismissedAppOpening,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750708394.995764,openedApp,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750708589.125804,openedApp,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750708870.2263641,dismissedAppOpening,1.5,instagram
Europe/Berlin,False,breathingExercise,1750709524.00464,dismissedAppOpening,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750709530.28516,openedApp,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750709549.889044,dismissedAppOpening,1.5,instagram
Europe/Berlin,False,breathingExercise,1750741237.5856938,dismissedAppOpening,1.5,instagram
Europe/Berlin,False,breathingExercise,1750741948.256192,openedApp,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750743662.597746,openedApp,1.5,instagram
Europe/Berlin,False,breathingExercise,1750744136.183601,dismissedAppOpening,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750744141.284909,openedApp,1.5,instagram
Europe/Berlin,False,breathingExercise,1750744329.071801,openedApp,1.5,instagram
Europe/Berlin,False,breathingExercise,1750744817.130791,dismissedAppOpening,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750744826.306295,openedApp,1.5,tikTok
Europe/Berlin,False,breathingExercise,1750756498.436775,dismissedAppOpening,1.5,instagram
