timezone,purpose,resolution,interventionDuration,isReIntervention,interventionType,app,timestamp
America/Chicago,Bored,openedApp,1.5,False,breathingExercise,facebook,1751574327.343869
America/Chicago,,dismissedAppOpening,1.5,False,breathingExercise,instagram,1751578664.6878738
America/Chicago,Stay In the Loop,openedApp,1.5,False,breathingExercise,facebook,1751634824.338656
America/Chicago,Bored,openedApp,1.5,False,breathingExercise,facebook,1751634978.614417
America/Chicago,Bored,openedApp,1.5,False,breathingExercise,facebook,1751635058.0162458
America/Chicago,Relax,openedApp,1.5,False,breathingExercise,instagram,1751726195.818171
America/Chicago,Relax,openedApp,1.5,False,breathingExercise,instagram,1751726685.008477
America/Chicago,Relax,openedApp,1.5,False,breathingExercise,facebook,1751728063.9272819
America/Chicago,Search Info,openedApp,1.5,False,breathingExercise,facebook,1751728835.957164
America/Chicago,,dismissedAppOpening,,False,journaling,facebook,1751733685.300349
America/Chicago,,dismissedAppOpening,,False,journaling,facebook,1751745946.189605
America/Chicago,,dismissedAppOpening,,False,journaling,instagram,1751745947.157361
America/Chicago,Message,openedApp,1.5,False,breathingExercise,instagram,1751746034.78023
America/Chicago,Stay In the Loop,openedApp,1.5,False,breathingExercise,facebook,1751759441.87311
America/Chicago,Escape / Avoid,openedApp,1.5,False,breathingExercise,instagram,1751765411.346185
America/Chicago,Relax,openedApp,1.5,False,breathingExercise,instagram,1751848086.56397
America/Chicago,Stay In the Loop,openedApp,1.5,False,breathingExercise,instagram,1751853837.508335
America/Chicago,Entertainment,openedApp,1.5,False,breathingExercise,instagram,1751918152.645049
America/Chicago,Entertainment,openedApp,1.5,False,breathingExercise,facebook,1751932073.8848228
America/Chicago,Relax,openedApp,1.5,False,breathingExercise,instagram,1751937960.981121
America/Chicago,Can’t sleep,openedApp,1.5,False,breathingExercise,instagram,1751943724.029111
America/Chicago,Entertainment,openedApp,1.5,False,breathingExercise,instagram,1752011955.5075722
America/Chicago,Entertainment,openedApp,1.5,False,breathingExercise,instagram,1752011983.140266
America/Chicago,Escape / Avoid,openedApp,1.5,False,breathingExercise,facebook,1752015519.432095
America/Chicago,Escape / Avoid,openedApp,1.5,False,breathingExercise,instagram,1752106140.7108278
America/Chicago,Escape / Avoid,openedApp,1.5,False,breathingExercise,facebook,1752109681.231643
America/Chicago,,dismissedAppOpening,1.5,False,breathingExercise,instagram,1752111238.046083
America/Chicago,Escape / Avoid,openedApp,1.5,False,breathingExercise,facebook,1752112960.31735
America/Chicago,Entertainment,openedApp,1.5,False,breathingExercise,instagram,1752163583.014899
America/Chicago,Entertainment,openedApp,1.5,False,breathingExercise,instagram,1752185839.0232282
America/Chicago,Relax,openedApp,1.5,False,breathingExercise,facebook,1752201430.9020162
America/Chicago,Escape / Avoid,openedApp,1.5,False,breathingExercise,facebook,1752249333.961761
America/Chicago,Escape / Avoid,openedApp,1.5,False,breathingExercise,facebook,1752249539.521575
America/Chicago,Escape / Avoid,openedApp,1.5,False,breathingExercise,facebook,1752250723.271909
America/Chicago,,dismissedAppOpening,1.5,False,breathingExercise,facebook,1752252451.1092691
America/Chicago,,dismissedAppOpening,1.5,False,breathingExercise,instagram,1752252516.144623
America/Chicago,Escape / Avoid,openedApp,1.5,False,breathingExercise,instagram,1752254680.6092958
America/Chicago,Relax,openedApp,1.5,False,breathingExercise,instagram,1752272396.443691
America/Chicago,Relax,openedApp,1.5,False,breathingExercise,facebook,1752288389.359675
America/Chicago,Escape / Avoid,openedApp,1.5,False,breathingExercise,instagram,1752319566.062855
America/Chicago,Entertainment,openedApp,1.5,False,breathingExercise,facebook,1752320114.576035
America/Chicago,Entertainment,openedApp,1.5,False,breathingExercise,facebook,1752321256.461797
America/Chicago,Stay In the Loop,openedApp,1.5,False,breathingExercise,instagram,1752321620.646146
America/Chicago,Stay In the Loop,openedApp,1.5,False,breathingExercise,instagram,1752325811.3924751
America/Chicago,Entertainment,openedApp,1.5,False,breathingExercise,instagram,1752327739.945636
America/Chicago,Relax,openedApp,1.5,False,breathingExercise,facebook,1752355748.498085
America/Chicago,,dismissedAppOpening,1.5,False,breathingExercise,facebook,1752421713.848741
America/Chicago,Entertainment,openedApp,1.5,False,breathingExercise,instagram,1752422075.306665
America/Chicago,Bored,openedApp,1.5,False,breathingExercise,instagram,1752431218.73498
America/Chicago,Relax,openedApp,1.5,False,breathingExercise,facebook,1752442591.277684
America/Chicago,Entertainment,openedApp,1.5,False,breathingExercise,instagram,1752455963.46171
America/Chicago,Post something,openedApp,1.5,False,breathingExercise,instagram,1752497848.667458
America/Chicago,Post something,openedApp,1.5,False,breathingExercise,instagram,1752498266.443222
America/Chicago,Stay In the Loop,openedApp,1.5,False,breathingExercise,facebook,1752501221.4634871
America/Chicago,Escape / Avoid,openedApp,1.5,False,breathingExercise,instagram,1752505335.755578
America/Chicago,Escape / Avoid,openedApp,1.5,False,breathingExercise,facebook,1752511333.784383
America/Chicago,Escape / Avoid,openedApp,1.5,False,breathingExercise,facebook,1752513146.7645621
America/Chicago,Entertainment,openedApp,1.5,False,breathingExercise,facebook,1752520227.4831991
America/Chicago,Escape / Avoid,openedApp,1.5,False,breathingExercise,instagram,1752525845.2154
America/Chicago,Entertainment,openedApp,1.5,False,breathingExercise,facebook,1752526958.0546908
America/Chicago,Bored,openedApp,1.5,False,breathingExercise,instagram,1752530775.125387
America/Chicago,Toilet,openedApp,1.5,False,breathingExercise,instagram,1752534785.5459008
America/Chicago,Entertainment,openedApp,1.5,False,breathingExercise,facebook,1752542455.863267
America/Chicago,Entertainment,openedApp,1.5,False,breathingExercise,facebook,1752542728.369226
America/Chicago,Bored,openedApp,1.5,False,breathingExercise,instagram,1752586687.360048
America/Chicago,Stay In the Loop,openedApp,1.5,False,breathingExercise,facebook,1752592602.6025171
America/Chicago,Escape / Avoid,openedApp,1.5,False,breathingExercise,instagram,1752603772.547484
America/Chicago,Entertainment,openedApp,1.5,False,breathingExercise,facebook,1752607400.800051
America/Chicago,Entertainment,openedApp,1.5,False,breathingExercise,instagram,1752607933.6750998
