timestamp,app,timezone,isReIntervention,interventionDuration,resolution,interventionType
1753267263.4388452,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753267351.130488,instagram,Pacific/Auckland,False,1.5,dismissedAppOpening,breathingExercise
1753305872.853461,instagram,Pacific/Auckland,False,1.5,dismissedAppOpening,breathingExercise
1753305881.6532722,instagram,Pacific/Auckland,False,1.5,dismissedAppOpening,breathingExercise
1753307535.858381,instagram,Pacific/Auckland,False,1.5,dismissedAppOpening,breathingExercise
1753307786.82584,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753326610.402124,instagram,Pacific/Auckland,False,1.5,dismissedAppOpening,breathingExercise
1753327472.926948,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753332559.172845,instagram,Pacific/Auckland,False,1.5,dismissedAppOpening,breathingExercise
1753336342.425881,instagram,Pacific/Auckland,False,1.5,dismissedAppOpening,breathingExercise
1753336354.645066,instagram,Pacific/Auckland,False,1.5,dismissedAppOpening,breathingExercise
1753386208.1472769,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753412404.324616,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753412645.725051,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753429191.951493,instagram,Pacific/Auckland,False,1.5,dismissedAppOpening,breathingExercise
1753429221.348896,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753437550.822829,instagram,Pacific/Auckland,False,1.5,dismissedAppOpening,breathingExercise
1753437572.466814,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753475132.8960981,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753476667.774601,instagram,Pacific/Auckland,False,1.5,dismissedAppOpening,breathingExercise
1753477584.360701,instagram,Pacific/Auckland,False,1.5,dismissedAppOpening,breathingExercise
1753477868.699784,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753482585.490376,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753482700.80345,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753483822.610138,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753493723.355675,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753493851.987601,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753493988.288484,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753495858.085546,instagram,Pacific/Auckland,False,1.5,dismissedAppOpening,breathingExercise
1753517736.174469,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753518892.8234801,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753526902.765765,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753527310.46615,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753527698.0656881,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753528021.063462,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753558056.2346349,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753564826.121159,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753567625.428874,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753569039.335922,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753570135.947867,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753570537.5913072,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753570821.511204,instagram,Pacific/Auckland,False,1.5,dismissedAppOpening,breathingExercise
1753570953.476237,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753573464.5495582,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753573629.792948,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753573693.105346,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753573833.034308,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753583154.4112701,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753585475.090682,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753598673.547478,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753599005.16155,instagram,Pacific/Auckland,False,1.5,dismissedAppOpening,breathingExercise
1753603187.8400412,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753603492.068666,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753604895.945981,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753604936.4409409,instagram,Pacific/Auckland,False,1.5,dismissedAppOpening,breathingExercise
1753607978.9307818,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753609388.8669639,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753613129.267906,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753613959.180685,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753645245.023223,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753665012.8091521,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753665078.69136,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753665295.8638182,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753665347.30659,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753688174.3582149,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753688205.538635,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753698200.449455,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753699945.546813,instagram,Pacific/Auckland,False,1.5,dismissedAppOpening,breathingExercise
1753699999.970653,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753700131.77536,instagram,Pacific/Auckland,False,1.5,openedApp,breathingExercise
1753701617.6455832,instagram,Pacific/Auckland,False,1.5,dismissedAppOpening,breathingExercise
