contrast,odds.ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value,p
CCC / ABC,0.99,0.219,Inf,0.643,1.526,1,-0.044,0.965,0.965
CCC / ACC,0.918,0.2,Inf,0.599,1.406,1,-0.395,0.693,0.693
CCC / BCC,0.717,0.16,Inf,0.463,1.11,1,-1.491,0.136,0.136
ABC / ACC,0.927,0.203,Inf,0.603,1.425,1,-0.347,0.728,0.728
ABC / BCC,0.724,0.163,Inf,0.466,1.125,1,-1.436,0.151,0.151
ACC / BCC,0.781,0.173,Inf,0.506,1.207,1,-1.112,0.266,0.266
